fileName,groupName,attributeName,attributeValue
Aids2.csv,T.categ:blood,age,37
Aids2.csv,T.categ:blood,age,54
Aids2.csv,T.categ:blood,age,25
Aids2.csv,T.categ:blood,age,44
Aids2.csv,T.categ:blood,age,25
Aids2.csv,T.categ:blood,age,55
Aids2.csv,T.categ:blood,age,70
Aids2.csv,T.categ:blood,age,16
Aids2.csv,T.categ:blood,age,69
Aids2.csv,T.categ:blood,age,52
Aids2.csv,T.categ:blood,age,56
Aids2.csv,T.categ:blood,age,57
Aids2.csv,T.categ:blood,age,17
Aids2.csv,T.categ:blood,age,57
Aids2.csv,T.categ:blood,age,71
Aids2.csv,T.categ:blood,age,58
Aids2.csv,T.categ:blood,age,12
Aids2.csv,T.categ:blood,age,11
Aids2.csv,T.categ:blood,age,58
Aids2.csv,T.categ:blood,age,47
Aids2.csv,T.categ:blood,age,67
Aids2.csv,T.categ:blood,age,57
Aids2.csv,T.categ:blood,age,60
Aids2.csv,T.categ:blood,age,29
Aids2.csv,T.categ:blood,age,22
Aids2.csv,T.categ:blood,age,39
Aids2.csv,T.categ:blood,age,50
Aids2.csv,T.categ:blood,age,39
Aids2.csv,T.categ:blood,age,40
Aids2.csv,T.categ:blood,age,3
Aids2.csv,T.categ:blood,age,59
Aids2.csv,T.categ:blood,age,69
Aids2.csv,T.categ:blood,age,27
Aids2.csv,T.categ:blood,age,41
Aids2.csv,T.categ:blood,age,63
Aids2.csv,T.categ:blood,age,65
Aids2.csv,T.categ:blood,age,65
Aids2.csv,T.categ:blood,age,5
Aids2.csv,T.categ:blood,age,30
Aids2.csv,T.categ:blood,age,51
Aids2.csv,T.categ:blood,age,32
Aids2.csv,T.categ:blood,age,18
Aids2.csv,T.categ:blood,age,46
Aids2.csv,T.categ:blood,age,24
Aids2.csv,T.categ:blood,age,5
Aids2.csv,T.categ:blood,age,35
Aids2.csv,T.categ:blood,age,69
Aids2.csv,T.categ:blood,age,58
Aids2.csv,T.categ:blood,age,44
Aids2.csv,T.categ:blood,age,69
Aids2.csv,T.categ:blood,age,46
Aids2.csv,T.categ:blood,age,42
Aids2.csv,T.categ:blood,age,52
Aids2.csv,T.categ:blood,age,26
Aids2.csv,T.categ:blood,age,53
Aids2.csv,T.categ:blood,age,64
Aids2.csv,T.categ:blood,age,16
Aids2.csv,T.categ:blood,age,56
Aids2.csv,T.categ:blood,age,42
Aids2.csv,T.categ:blood,age,63
Aids2.csv,T.categ:blood,age,55
Aids2.csv,T.categ:blood,age,34
Aids2.csv,T.categ:blood,age,72
Aids2.csv,T.categ:blood,age,73
Aids2.csv,T.categ:blood,age,80
Aids2.csv,T.categ:blood,age,59
Aids2.csv,T.categ:blood,age,73
Aids2.csv,T.categ:blood,age,46
Aids2.csv,T.categ:blood,age,39
Aids2.csv,T.categ:blood,age,50
Aids2.csv,T.categ:blood,age,0
Aids2.csv,T.categ:blood,age,0
Aids2.csv,T.categ:blood,age,1
Aids2.csv,T.categ:blood,age,0
Aids2.csv,T.categ:blood,age,45
Aids2.csv,T.categ:blood,age,66
Aids2.csv,T.categ:blood,age,59
Aids2.csv,T.categ:blood,age,3
Aids2.csv,T.categ:blood,age,56
Aids2.csv,T.categ:blood,age,44
Aids2.csv,T.categ:blood,age,73
Aids2.csv,T.categ:blood,age,60
Aids2.csv,T.categ:blood,age,32
Aids2.csv,T.categ:blood,age,63
Aids2.csv,T.categ:blood,age,40
Aids2.csv,T.categ:blood,age,66
Aids2.csv,T.categ:blood,age,69
Aids2.csv,T.categ:blood,age,42
Aids2.csv,T.categ:blood,age,17
Aids2.csv,T.categ:blood,age,58
Aids2.csv,T.categ:blood,age,49
Aids2.csv,T.categ:blood,age,46
Aids2.csv,T.categ:blood,age,31
Aids2.csv,T.categ:blood,age,41
Aids2.csv,T.categ:het,age,26
Aids2.csv,T.categ:het,age,39
Aids2.csv,T.categ:het,age,35
Aids2.csv,T.categ:het,age,31
Aids2.csv,T.categ:het,age,74
Aids2.csv,T.categ:het,age,63
Aids2.csv,T.categ:het,age,42
Aids2.csv,T.categ:het,age,49
Aids2.csv,T.categ:het,age,50
Aids2.csv,T.categ:het,age,34
Aids2.csv,T.categ:het,age,35
Aids2.csv,T.categ:het,age,58
Aids2.csv,T.categ:het,age,33
Aids2.csv,T.categ:het,age,27
Aids2.csv,T.categ:het,age,65
Aids2.csv,T.categ:het,age,42
Aids2.csv,T.categ:het,age,29
Aids2.csv,T.categ:het,age,37
Aids2.csv,T.categ:het,age,25
Aids2.csv,T.categ:het,age,37
Aids2.csv,T.categ:het,age,25
Aids2.csv,T.categ:het,age,47
Aids2.csv,T.categ:het,age,33
Aids2.csv,T.categ:het,age,35
Aids2.csv,T.categ:het,age,40
Aids2.csv,T.categ:het,age,30
Aids2.csv,T.categ:het,age,21
Aids2.csv,T.categ:het,age,50
Aids2.csv,T.categ:het,age,24
Aids2.csv,T.categ:het,age,25
Aids2.csv,T.categ:het,age,49
Aids2.csv,T.categ:het,age,38
Aids2.csv,T.categ:het,age,37
Aids2.csv,T.categ:het,age,30
Aids2.csv,T.categ:het,age,54
Aids2.csv,T.categ:het,age,52
Aids2.csv,T.categ:het,age,26
Aids2.csv,T.categ:het,age,29
Aids2.csv,T.categ:het,age,40
Aids2.csv,T.categ:het,age,46
Aids2.csv,T.categ:het,age,34
