fileName,groupName,attributeName,attributeValue
Airline.csv,pf:low,year,1
Airline.csv,pf:low,year,2
Airline.csv,pf:low,year,3
Airline.csv,pf:low,year,4
Airline.csv,pf:low,year,5
Airline.csv,pf:low,year,6
Airline.csv,pf:low,year,7
Airline.csv,pf:low,year,8
Airline.csv,pf:low,year,1
Airline.csv,pf:low,year,2
Airline.csv,pf:low,year,3
Airline.csv,pf:low,year,4
Airline.csv,pf:low,year,5
Airline.csv,pf:low,year,6
Airline.csv,pf:low,year,7
Airline.csv,pf:low,year,8
Airline.csv,pf:low,year,1
Airline.csv,pf:low,year,2
Airline.csv,pf:low,year,3
Airline.csv,pf:low,year,4
Airline.csv,pf:low,year,5
Airline.csv,pf:low,year,6
Airline.csv,pf:low,year,7
Airline.csv,pf:low,year,8
Airline.csv,pf:low,year,1
Airline.csv,pf:low,year,2
Airline.csv,pf:low,year,3
Airline.csv,pf:low,year,4
Airline.csv,pf:low,year,5
Airline.csv,pf:low,year,6
Airline.csv,pf:low,year,7
Airline.csv,pf:low,year,1
Airline.csv,pf:low,year,2
Airline.csv,pf:low,year,3
Airline.csv,pf:low,year,4
Airline.csv,pf:low,year,5
Airline.csv,pf:low,year,6
Airline.csv,pf:low,year,7
Airline.csv,pf:low,year,1
Airline.csv,pf:low,year,2
Airline.csv,pf:low,year,3
Airline.csv,pf:low,year,4
Airline.csv,pf:low,year,5
Airline.csv,pf:low,year,6
Airline.csv,pf:low,year,7
Airline.csv,pf:high,year,9
Airline.csv,pf:high,year,10
Airline.csv,pf:high,year,11
Airline.csv,pf:high,year,12
Airline.csv,pf:high,year,13
Airline.csv,pf:high,year,14
Airline.csv,pf:high,year,15
Airline.csv,pf:high,year,9
Airline.csv,pf:high,year,10
Airline.csv,pf:high,year,11
Airline.csv,pf:high,year,12
Airline.csv,pf:high,year,13
Airline.csv,pf:high,year,14
Airline.csv,pf:high,year,15
Airline.csv,pf:high,year,9
Airline.csv,pf:high,year,10
Airline.csv,pf:high,year,11
Airline.csv,pf:high,year,12
Airline.csv,pf:high,year,13
Airline.csv,pf:high,year,14
Airline.csv,pf:high,year,15
Airline.csv,pf:high,year,8
Airline.csv,pf:high,year,9
Airline.csv,pf:high,year,10
Airline.csv,pf:high,year,11
Airline.csv,pf:high,year,12
Airline.csv,pf:high,year,13
Airline.csv,pf:high,year,14
Airline.csv,pf:high,year,15
Airline.csv,pf:high,year,8
Airline.csv,pf:high,year,9
Airline.csv,pf:high,year,10
Airline.csv,pf:high,year,11
Airline.csv,pf:high,year,12
Airline.csv,pf:high,year,13
Airline.csv,pf:high,year,14
Airline.csv,pf:high,year,15
Airline.csv,pf:high,year,8
Airline.csv,pf:high,year,9
Airline.csv,pf:high,year,10
Airline.csv,pf:high,year,11
Airline.csv,pf:high,year,12
Airline.csv,pf:high,year,13
Airline.csv,pf:high,year,14
Airline.csv,pf:high,year,15
