fileName,groupName,attributeName,attributeValue
Airline.csv,year:low,pf,106650
Airline.csv,year:low,pf,110307
Airline.csv,year:low,pf,110574
Airline.csv,year:low,pf,121974
Airline.csv,year:low,pf,196606
Airline.csv,year:low,pf,265609
Airline.csv,year:low,pf,263451
Airline.csv,year:low,pf,103795
Airline.csv,year:low,pf,111477
Airline.csv,year:low,pf,118664
Airline.csv,year:low,pf,114797
Airline.csv,year:low,pf,215322
Airline.csv,year:low,pf,281704
Airline.csv,year:low,pf,304818
Airline.csv,year:low,pf,118788
Airline.csv,year:low,pf,123798
Airline.csv,year:low,pf,122882
Airline.csv,year:low,pf,131274
Airline.csv,year:low,pf,222037
Airline.csv,year:low,pf,278721
Airline.csv,year:low,pf,306564
Airline.csv,year:low,pf,114987
Airline.csv,year:low,pf,120501
Airline.csv,year:low,pf,121908
Airline.csv,year:low,pf,127220
Airline.csv,year:low,pf,209405
Airline.csv,year:low,pf,263148
Airline.csv,year:low,pf,316724
Airline.csv,year:low,pf,118222
Airline.csv,year:low,pf,116223
Airline.csv,year:low,pf,115853
Airline.csv,year:low,pf,129372
Airline.csv,year:low,pf,243266
Airline.csv,year:low,pf,277930
Airline.csv,year:low,pf,317273
Airline.csv,year:low,pf,117112
Airline.csv,year:low,pf,119420
Airline.csv,year:low,pf,116087
Airline.csv,year:low,pf,122997
Airline.csv,year:low,pf,194309
Airline.csv,year:low,pf,307923
Airline.csv,year:low,pf,323595
Airline.csv,year:high,pf,316411
Airline.csv,year:high,pf,384110
Airline.csv,year:high,pf,569251
Airline.csv,year:high,pf,871636
Airline.csv,year:high,pf,997239
Airline.csv,year:high,pf,938002
Airline.csv,year:high,pf,859572
Airline.csv,year:high,pf,823411
Airline.csv,year:high,pf,348609
Airline.csv,year:high,pf,374579
Airline.csv,year:high,pf,544109
Airline.csv,year:high,pf,853356
Airline.csv,year:high,pf,1003200
Airline.csv,year:high,pf,941977
Airline.csv,year:high,pf,856533
Airline.csv,year:high,pf,821361
Airline.csv,year:high,pf,356073
Airline.csv,year:high,pf,378311
Airline.csv,year:high,pf,555267
Airline.csv,year:high,pf,850322
Airline.csv,year:high,pf,1015610
Airline.csv,year:high,pf,954508
Airline.csv,year:high,pf,886999
Airline.csv,year:high,pf,844079
Airline.csv,year:high,pf,363598
Airline.csv,year:high,pf,389436
Airline.csv,year:high,pf,547376
Airline.csv,year:high,pf,850418
Airline.csv,year:high,pf,1011170
Airline.csv,year:high,pf,951934
Airline.csv,year:high,pf,881323
Airline.csv,year:high,pf,831374
Airline.csv,year:high,pf,358794
Airline.csv,year:high,pf,397667
Airline.csv,year:high,pf,566672
Airline.csv,year:high,pf,848393
Airline.csv,year:high,pf,1005740
Airline.csv,year:high,pf,958231
Airline.csv,year:high,pf,872924
Airline.csv,year:high,pf,844622
Airline.csv,year:high,pf,363081
Airline.csv,year:high,pf,386422
Airline.csv,year:high,pf,564867
Airline.csv,year:high,pf,874818
Airline.csv,year:high,pf,1013170
Airline.csv,year:high,pf,930477
Airline.csv,year:high,pf,851676
Airline.csv,year:high,pf,819476
