fileName,groupName,attributeName,attributeValue
Angell.csv,moral:low,region,W
Angell.csv,moral:low,region,MW
Angell.csv,moral:low,region,W
Angell.csv,moral:low,region,W
Angell.csv,moral:low,region,MW
Angell.csv,moral:low,region,MW
Angell.csv,moral:low,region,W
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:low,region,S
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,W
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,W
Angell.csv,moral:high,region,E
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,MW
Angell.csv,moral:high,region,MW
