fileName,groupName,attributeName,attributeValue
Backpack.csv,BackpackWeight:low,BodyWeight,125
Backpack.csv,BackpackWeight:low,BodyWeight,195
Backpack.csv,BackpackWeight:low,BodyWeight,120
Backpack.csv,BackpackWeight:low,BodyWeight,155
Backpack.csv,BackpackWeight:low,BodyWeight,180
Backpack.csv,BackpackWeight:low,BodyWeight,240
Backpack.csv,BackpackWeight:low,BodyWeight,170
Backpack.csv,BackpackWeight:low,BodyWeight,185
Backpack.csv,BackpackWeight:low,BodyWeight,130
Backpack.csv,BackpackWeight:low,BodyWeight,120
Backpack.csv,BackpackWeight:low,BodyWeight,135
Backpack.csv,BackpackWeight:low,BodyWeight,105
Backpack.csv,BackpackWeight:low,BodyWeight,125
Backpack.csv,BackpackWeight:low,BodyWeight,165
Backpack.csv,BackpackWeight:low,BodyWeight,270
Backpack.csv,BackpackWeight:low,BodyWeight,150
Backpack.csv,BackpackWeight:low,BodyWeight,140
Backpack.csv,BackpackWeight:low,BodyWeight,165
Backpack.csv,BackpackWeight:low,BodyWeight,145
Backpack.csv,BackpackWeight:low,BodyWeight,135
Backpack.csv,BackpackWeight:low,BodyWeight,145
Backpack.csv,BackpackWeight:low,BodyWeight,155
Backpack.csv,BackpackWeight:low,BodyWeight,143
Backpack.csv,BackpackWeight:low,BodyWeight,145
Backpack.csv,BackpackWeight:low,BodyWeight,130
Backpack.csv,BackpackWeight:low,BodyWeight,140
Backpack.csv,BackpackWeight:low,BodyWeight,115
Backpack.csv,BackpackWeight:low,BodyWeight,128
Backpack.csv,BackpackWeight:low,BodyWeight,150
Backpack.csv,BackpackWeight:low,BodyWeight,150
Backpack.csv,BackpackWeight:low,BodyWeight,155
Backpack.csv,BackpackWeight:low,BodyWeight,130
Backpack.csv,BackpackWeight:low,BodyWeight,185
Backpack.csv,BackpackWeight:low,BodyWeight,140
Backpack.csv,BackpackWeight:low,BodyWeight,175
Backpack.csv,BackpackWeight:low,BodyWeight,150
Backpack.csv,BackpackWeight:low,BodyWeight,140
Backpack.csv,BackpackWeight:low,BodyWeight,125
Backpack.csv,BackpackWeight:low,BodyWeight,125
Backpack.csv,BackpackWeight:low,BodyWeight,180
Backpack.csv,BackpackWeight:low,BodyWeight,160
Backpack.csv,BackpackWeight:low,BodyWeight,105
Backpack.csv,BackpackWeight:low,BodyWeight,125
Backpack.csv,BackpackWeight:low,BodyWeight,120
Backpack.csv,BackpackWeight:low,BodyWeight,115
Backpack.csv,BackpackWeight:low,BodyWeight,110
Backpack.csv,BackpackWeight:low,BodyWeight,128
Backpack.csv,BackpackWeight:low,BodyWeight,195
Backpack.csv,BackpackWeight:low,BodyWeight,140
Backpack.csv,BackpackWeight:high,BodyWeight,160
Backpack.csv,BackpackWeight:high,BodyWeight,170
Backpack.csv,BackpackWeight:high,BodyWeight,170
Backpack.csv,BackpackWeight:high,BodyWeight,125
Backpack.csv,BackpackWeight:high,BodyWeight,175
Backpack.csv,BackpackWeight:high,BodyWeight,145
Backpack.csv,BackpackWeight:high,BodyWeight,170
Backpack.csv,BackpackWeight:high,BodyWeight,117
Backpack.csv,BackpackWeight:high,BodyWeight,145
Backpack.csv,BackpackWeight:high,BodyWeight,205
Backpack.csv,BackpackWeight:high,BodyWeight,160
Backpack.csv,BackpackWeight:high,BodyWeight,190
Backpack.csv,BackpackWeight:high,BodyWeight,120
Backpack.csv,BackpackWeight:high,BodyWeight,165
Backpack.csv,BackpackWeight:high,BodyWeight,145
Backpack.csv,BackpackWeight:high,BodyWeight,140
Backpack.csv,BackpackWeight:high,BodyWeight,160
Backpack.csv,BackpackWeight:high,BodyWeight,135
Backpack.csv,BackpackWeight:high,BodyWeight,165
Backpack.csv,BackpackWeight:high,BodyWeight,220
Backpack.csv,BackpackWeight:high,BodyWeight,170
Backpack.csv,BackpackWeight:high,BodyWeight,116
Backpack.csv,BackpackWeight:high,BodyWeight,190
Backpack.csv,BackpackWeight:high,BodyWeight,145
Backpack.csv,BackpackWeight:high,BodyWeight,144
Backpack.csv,BackpackWeight:high,BodyWeight,125
Backpack.csv,BackpackWeight:high,BodyWeight,180
Backpack.csv,BackpackWeight:high,BodyWeight,220
Backpack.csv,BackpackWeight:high,BodyWeight,195
Backpack.csv,BackpackWeight:high,BodyWeight,127
Backpack.csv,BackpackWeight:high,BodyWeight,150
Backpack.csv,BackpackWeight:high,BodyWeight,180
Backpack.csv,BackpackWeight:high,BodyWeight,150
Backpack.csv,BackpackWeight:high,BodyWeight,125
Backpack.csv,BackpackWeight:high,BodyWeight,144
Backpack.csv,BackpackWeight:high,BodyWeight,130
Backpack.csv,BackpackWeight:high,BodyWeight,175
Backpack.csv,BackpackWeight:high,BodyWeight,145
Backpack.csv,BackpackWeight:high,BodyWeight,130
Backpack.csv,BackpackWeight:high,BodyWeight,135
Backpack.csv,BackpackWeight:high,BodyWeight,135
Backpack.csv,BackpackWeight:high,BodyWeight,170
Backpack.csv,BackpackWeight:high,BodyWeight,175
Backpack.csv,BackpackWeight:high,BodyWeight,150
Backpack.csv,BackpackWeight:high,BodyWeight,160
Backpack.csv,BackpackWeight:high,BodyWeight,168
Backpack.csv,BackpackWeight:high,BodyWeight,155
Backpack.csv,BackpackWeight:high,BodyWeight,210
Backpack.csv,BackpackWeight:high,BodyWeight,165
Backpack.csv,BackpackWeight:high,BodyWeight,130
Backpack.csv,BackpackWeight:high,BodyWeight,170
