fileName,groupName,attributeName,attributeValue
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Female
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:low,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Female
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
Backpack.csv,BackpackWeight:high,Sex,Male
