fileName,groupName,attributeName,attributeValue
Backpack.csv,Sex:Male,BodyWeight,195
Backpack.csv,Sex:Male,BodyWeight,155
Backpack.csv,Sex:Male,BodyWeight,240
Backpack.csv,Sex:Male,BodyWeight,170
Backpack.csv,Sex:Male,BodyWeight,160
Backpack.csv,Sex:Male,BodyWeight,170
Backpack.csv,Sex:Male,BodyWeight,170
Backpack.csv,Sex:Male,BodyWeight,175
Backpack.csv,Sex:Male,BodyWeight,165
Backpack.csv,Sex:Male,BodyWeight,170
Backpack.csv,Sex:Male,BodyWeight,145
Backpack.csv,Sex:Male,BodyWeight,270
Backpack.csv,Sex:Male,BodyWeight,160
Backpack.csv,Sex:Male,BodyWeight,150
Backpack.csv,Sex:Male,BodyWeight,190
Backpack.csv,Sex:Male,BodyWeight,145
Backpack.csv,Sex:Male,BodyWeight,160
Backpack.csv,Sex:Male,BodyWeight,155
Backpack.csv,Sex:Male,BodyWeight,220
Backpack.csv,Sex:Male,BodyWeight,170
Backpack.csv,Sex:Male,BodyWeight,155
Backpack.csv,Sex:Male,BodyWeight,190
Backpack.csv,Sex:Male,BodyWeight,185
Backpack.csv,Sex:Male,BodyWeight,175
Backpack.csv,Sex:Male,BodyWeight,180
Backpack.csv,Sex:Male,BodyWeight,220
Backpack.csv,Sex:Male,BodyWeight,195
Backpack.csv,Sex:Male,BodyWeight,125
Backpack.csv,Sex:Male,BodyWeight,180
Backpack.csv,Sex:Male,BodyWeight,180
Backpack.csv,Sex:Male,BodyWeight,150
Backpack.csv,Sex:Male,BodyWeight,160
Backpack.csv,Sex:Male,BodyWeight,135
Backpack.csv,Sex:Male,BodyWeight,170
Backpack.csv,Sex:Male,BodyWeight,175
Backpack.csv,Sex:Male,BodyWeight,150
Backpack.csv,Sex:Male,BodyWeight,160
Backpack.csv,Sex:Male,BodyWeight,168
Backpack.csv,Sex:Male,BodyWeight,155
Backpack.csv,Sex:Male,BodyWeight,210
Backpack.csv,Sex:Male,BodyWeight,165
Backpack.csv,Sex:Male,BodyWeight,195
Backpack.csv,Sex:Male,BodyWeight,130
Backpack.csv,Sex:Male,BodyWeight,140
Backpack.csv,Sex:Male,BodyWeight,170
Backpack.csv,Sex:Female,BodyWeight,125
Backpack.csv,Sex:Female,BodyWeight,120
Backpack.csv,Sex:Female,BodyWeight,180
Backpack.csv,Sex:Female,BodyWeight,185
Backpack.csv,Sex:Female,BodyWeight,130
Backpack.csv,Sex:Female,BodyWeight,120
Backpack.csv,Sex:Female,BodyWeight,135
Backpack.csv,Sex:Female,BodyWeight,125
Backpack.csv,Sex:Female,BodyWeight,145
Backpack.csv,Sex:Female,BodyWeight,105
Backpack.csv,Sex:Female,BodyWeight,125
Backpack.csv,Sex:Female,BodyWeight,117
Backpack.csv,Sex:Female,BodyWeight,205
Backpack.csv,Sex:Female,BodyWeight,140
Backpack.csv,Sex:Female,BodyWeight,165
Backpack.csv,Sex:Female,BodyWeight,145
Backpack.csv,Sex:Female,BodyWeight,120
Backpack.csv,Sex:Female,BodyWeight,135
Backpack.csv,Sex:Female,BodyWeight,165
Backpack.csv,Sex:Female,BodyWeight,145
Backpack.csv,Sex:Female,BodyWeight,140
Backpack.csv,Sex:Female,BodyWeight,143
Backpack.csv,Sex:Female,BodyWeight,145
Backpack.csv,Sex:Female,BodyWeight,135
Backpack.csv,Sex:Female,BodyWeight,130
Backpack.csv,Sex:Female,BodyWeight,165
Backpack.csv,Sex:Female,BodyWeight,140
Backpack.csv,Sex:Female,BodyWeight,115
Backpack.csv,Sex:Female,BodyWeight,128
Backpack.csv,Sex:Female,BodyWeight,150
Backpack.csv,Sex:Female,BodyWeight,150
Backpack.csv,Sex:Female,BodyWeight,116
Backpack.csv,Sex:Female,BodyWeight,145
Backpack.csv,Sex:Female,BodyWeight,144
Backpack.csv,Sex:Female,BodyWeight,130
Backpack.csv,Sex:Female,BodyWeight,140
Backpack.csv,Sex:Female,BodyWeight,125
Backpack.csv,Sex:Female,BodyWeight,150
Backpack.csv,Sex:Female,BodyWeight,140
Backpack.csv,Sex:Female,BodyWeight,127
Backpack.csv,Sex:Female,BodyWeight,150
Backpack.csv,Sex:Female,BodyWeight,125
Backpack.csv,Sex:Female,BodyWeight,125
Backpack.csv,Sex:Female,BodyWeight,144
Backpack.csv,Sex:Female,BodyWeight,105
Backpack.csv,Sex:Female,BodyWeight,125
Backpack.csv,Sex:Female,BodyWeight,130
Backpack.csv,Sex:Female,BodyWeight,120
Backpack.csv,Sex:Female,BodyWeight,175
Backpack.csv,Sex:Female,BodyWeight,145
Backpack.csv,Sex:Female,BodyWeight,115
Backpack.csv,Sex:Female,BodyWeight,110
Backpack.csv,Sex:Female,BodyWeight,130
Backpack.csv,Sex:Female,BodyWeight,135
Backpack.csv,Sex:Female,BodyWeight,128
