fileName,groupName,attributeName,attributeValue
BirdNest.csv,Closed.:0,Length,20
BirdNest.csv,Closed.:0,Length,17
BirdNest.csv,Closed.:0,Length,15
BirdNest.csv,Closed.:0,Length,15
BirdNest.csv,Closed.:0,Length,18.5
BirdNest.csv,Closed.:0,Length,19
BirdNest.csv,Closed.:0,Length,17
BirdNest.csv,Closed.:0,Length,30.5
BirdNest.csv,Closed.:0,Length,26.5
BirdNest.csv,Closed.:0,Length,29.5
BirdNest.csv,Closed.:0,Length,31.5
BirdNest.csv,Closed.:0,Length,30.5
BirdNest.csv,Closed.:0,Length,11
BirdNest.csv,Closed.:0,Length,20
BirdNest.csv,Closed.:0,Length,18
BirdNest.csv,Closed.:0,Length,18
BirdNest.csv,Closed.:0,Length,25.5
BirdNest.csv,Closed.:0,Length,24
BirdNest.csv,Closed.:0,Length,23
BirdNest.csv,Closed.:0,Length,23
BirdNest.csv,Closed.:0,Length,25.5
BirdNest.csv,Closed.:0,Length,21.5
BirdNest.csv,Closed.:0,Length,29
BirdNest.csv,Closed.:0,Length,26.5
BirdNest.csv,Closed.:0,Length,30.5
BirdNest.csv,Closed.:0,Length,16.5
BirdNest.csv,Closed.:0,Length,16
BirdNest.csv,Closed.:0,Length,18
BirdNest.csv,Closed.:0,Length,18.5
BirdNest.csv,Closed.:0,Length,14
BirdNest.csv,Closed.:0,Length,15
BirdNest.csv,Closed.:0,Length,12
BirdNest.csv,Closed.:0,Length,12
BirdNest.csv,Closed.:0,Length,13
BirdNest.csv,Closed.:0,Length,13.5
BirdNest.csv,Closed.:0,Length,18
BirdNest.csv,Closed.:0,Length,14
BirdNest.csv,Closed.:0,Length,19.5
BirdNest.csv,Closed.:0,Length,21
BirdNest.csv,Closed.:0,Length,15
BirdNest.csv,Closed.:0,Length,15
BirdNest.csv,Closed.:0,Length,14.5
BirdNest.csv,Closed.:0,Length,15.5
BirdNest.csv,Closed.:0,Length,15.5
BirdNest.csv,Closed.:0,Length,14
BirdNest.csv,Closed.:0,Length,13.5
BirdNest.csv,Closed.:0,Length,15
BirdNest.csv,Closed.:0,Length,18
BirdNest.csv,Closed.:0,Length,17.5
BirdNest.csv,Closed.:0,Length,21
BirdNest.csv,Closed.:0,Length,18
BirdNest.csv,Closed.:0,Length,12
BirdNest.csv,Closed.:0,Length,13
BirdNest.csv,Closed.:0,Length,22.5
BirdNest.csv,Closed.:0,Length,15.5
BirdNest.csv,Closed.:0,Length,14.5
BirdNest.csv,Closed.:0,Length,13.5
BirdNest.csv,Closed.:1,Length,20
BirdNest.csv,Closed.:1,Length,20
BirdNest.csv,Closed.:1,Length,22.5
BirdNest.csv,Closed.:1,Length,17
BirdNest.csv,Closed.:1,Length,12.5
BirdNest.csv,Closed.:1,Length,13.5
BirdNest.csv,Closed.:1,Length,14
BirdNest.csv,Closed.:1,Length,13
BirdNest.csv,Closed.:1,Length,10.5
BirdNest.csv,Closed.:1,Length,14
BirdNest.csv,Closed.:1,Length,11
BirdNest.csv,Closed.:1,Length,10
BirdNest.csv,Closed.:1,Length,12
BirdNest.csv,Closed.:1,Length,14
BirdNest.csv,Closed.:1,Length,13
BirdNest.csv,Closed.:1,Length,20
BirdNest.csv,Closed.:1,Length,9
BirdNest.csv,Closed.:1,Length,10
BirdNest.csv,Closed.:1,Length,18
BirdNest.csv,Closed.:1,Length,18
BirdNest.csv,Closed.:1,Length,18
BirdNest.csv,Closed.:1,Length,19.5
BirdNest.csv,Closed.:1,Length,20
BirdNest.csv,Closed.:1,Length,14
BirdNest.csv,Closed.:1,Length,17
BirdNest.csv,Closed.:1,Length,15
