fileName,groupName,attributeName,attributeValue
BirdNest.csv,Nesttype:cup,Length,20
BirdNest.csv,Nesttype:cup,Length,17
BirdNest.csv,Nesttype:cup,Length,15
BirdNest.csv,Nesttype:cup,Length,15
BirdNest.csv,Nesttype:cup,Length,17
BirdNest.csv,Nesttype:cup,Length,30.5
BirdNest.csv,Nesttype:cup,Length,26.5
BirdNest.csv,Nesttype:cup,Length,29.5
BirdNest.csv,Nesttype:cup,Length,31.5
BirdNest.csv,Nesttype:cup,Length,30.5
BirdNest.csv,Nesttype:cup,Length,11
BirdNest.csv,Nesttype:cup,Length,20
BirdNest.csv,Nesttype:cup,Length,18
BirdNest.csv,Nesttype:cup,Length,18
BirdNest.csv,Nesttype:cup,Length,25.5
BirdNest.csv,Nesttype:cup,Length,24
BirdNest.csv,Nesttype:cup,Length,23
BirdNest.csv,Nesttype:cup,Length,23
BirdNest.csv,Nesttype:cup,Length,25.5
BirdNest.csv,Nesttype:cup,Length,21.5
BirdNest.csv,Nesttype:cup,Length,29
BirdNest.csv,Nesttype:cup,Length,26.5
BirdNest.csv,Nesttype:cup,Length,30.5
BirdNest.csv,Nesttype:cup,Length,16.5
BirdNest.csv,Nesttype:cup,Length,16
BirdNest.csv,Nesttype:cup,Length,18
BirdNest.csv,Nesttype:cup,Length,18.5
BirdNest.csv,Nesttype:cup,Length,14
BirdNest.csv,Nesttype:cup,Length,15
BirdNest.csv,Nesttype:cup,Length,12
BirdNest.csv,Nesttype:cup,Length,12
BirdNest.csv,Nesttype:cup,Length,13
BirdNest.csv,Nesttype:cup,Length,13.5
BirdNest.csv,Nesttype:cup,Length,18
BirdNest.csv,Nesttype:cup,Length,14
BirdNest.csv,Nesttype:cup,Length,19.5
BirdNest.csv,Nesttype:cup,Length,21
BirdNest.csv,Nesttype:cup,Length,15
BirdNest.csv,Nesttype:cup,Length,15
BirdNest.csv,Nesttype:cup,Length,14.5
BirdNest.csv,Nesttype:cup,Length,15.5
BirdNest.csv,Nesttype:cup,Length,15.5
BirdNest.csv,Nesttype:cup,Length,14
BirdNest.csv,Nesttype:cup,Length,13.5
BirdNest.csv,Nesttype:cup,Length,15
BirdNest.csv,Nesttype:cup,Length,18
BirdNest.csv,Nesttype:cup,Length,17.5
BirdNest.csv,Nesttype:cup,Length,21
BirdNest.csv,Nesttype:cup,Length,13
BirdNest.csv,Nesttype:cup,Length,22.5
BirdNest.csv,Nesttype:cup,Length,15.5
BirdNest.csv,Nesttype:cup,Length,14.5
BirdNest.csv,Nesttype:cup,Length,13.5
BirdNest.csv,Nesttype:cavity,Length,20
BirdNest.csv,Nesttype:cavity,Length,20
BirdNest.csv,Nesttype:cavity,Length,22.5
BirdNest.csv,Nesttype:cavity,Length,17
BirdNest.csv,Nesttype:cavity,Length,14
BirdNest.csv,Nesttype:cavity,Length,13
BirdNest.csv,Nesttype:cavity,Length,14
BirdNest.csv,Nesttype:cavity,Length,11
BirdNest.csv,Nesttype:cavity,Length,10
BirdNest.csv,Nesttype:cavity,Length,12
BirdNest.csv,Nesttype:cavity,Length,14
BirdNest.csv,Nesttype:cavity,Length,13
BirdNest.csv,Nesttype:cavity,Length,18
BirdNest.csv,Nesttype:cavity,Length,18
BirdNest.csv,Nesttype:cavity,Length,20
BirdNest.csv,Nesttype:cavity,Length,14
BirdNest.csv,Nesttype:cavity,Length,15
