fileName,groupName,attributeName,attributeValue
Boston.csv,black:low,age,100
Boston.csv,black:low,age,85.9
Boston.csv,black:low,age,39
Boston.csv,black:low,age,84.5
Boston.csv,black:low,age,29.3
Boston.csv,black:low,age,81.7
Boston.csv,black:low,age,36.6
Boston.csv,black:low,age,69.5
Boston.csv,black:low,age,98.1
Boston.csv,black:low,age,85.7
Boston.csv,black:low,age,90.3
Boston.csv,black:low,age,88.8
Boston.csv,black:low,age,94.4
Boston.csv,black:low,age,87.3
Boston.csv,black:low,age,94.1
Boston.csv,black:low,age,100
Boston.csv,black:low,age,82
Boston.csv,black:low,age,95
Boston.csv,black:low,age,96.9
Boston.csv,black:low,age,61.4
Boston.csv,black:low,age,2.9
Boston.csv,black:low,age,6.6
Boston.csv,black:low,age,40
Boston.csv,black:low,age,29.2
Boston.csv,black:low,age,93.4
Boston.csv,black:low,age,6.6
Boston.csv,black:low,age,17.5
Boston.csv,black:low,age,7.8
Boston.csv,black:low,age,6.2
Boston.csv,black:low,age,45
Boston.csv,black:low,age,74.5
Boston.csv,black:low,age,45.8
Boston.csv,black:low,age,53.7
Boston.csv,black:low,age,46.7
Boston.csv,black:low,age,57.8
Boston.csv,black:low,age,85.4
Boston.csv,black:low,age,85.2
Boston.csv,black:low,age,91.2
Boston.csv,black:low,age,84.2
Boston.csv,black:low,age,88.2
Boston.csv,black:low,age,73.1
Boston.csv,black:low,age,69.7
Boston.csv,black:low,age,84.1
Boston.csv,black:low,age,92.9
Boston.csv,black:low,age,97
Boston.csv,black:low,age,95.8
Boston.csv,black:low,age,88.4
Boston.csv,black:low,age,95.6
Boston.csv,black:low,age,97.9
Boston.csv,black:low,age,95.4
Boston.csv,black:low,age,98.4
Boston.csv,black:low,age,93.5
Boston.csv,black:low,age,93.6
Boston.csv,black:low,age,100
Boston.csv,black:low,age,100
Boston.csv,black:low,age,93.8
Boston.csv,black:low,age,94.9
Boston.csv,black:low,age,97.3
Boston.csv,black:low,age,100
Boston.csv,black:low,age,88
Boston.csv,black:low,age,98.5
Boston.csv,black:low,age,96
Boston.csv,black:low,age,82.6
Boston.csv,black:low,age,94
Boston.csv,black:low,age,97.4
Boston.csv,black:low,age,100
Boston.csv,black:low,age,100
Boston.csv,black:low,age,92.6
Boston.csv,black:low,age,90.8
Boston.csv,black:low,age,98.2
Boston.csv,black:low,age,93.9
Boston.csv,black:low,age,93
Boston.csv,black:low,age,96.2
Boston.csv,black:low,age,79.2
Boston.csv,black:low,age,96.1
Boston.csv,black:low,age,95.2
Boston.csv,black:low,age,94.6
Boston.csv,black:low,age,97.3
Boston.csv,black:low,age,33.1
Boston.csv,black:low,age,74.4
Boston.csv,black:low,age,89.8
Boston.csv,black:low,age,68.8
Boston.csv,black:low,age,29.1
Boston.csv,black:low,age,21.5
Boston.csv,black:low,age,30.8
Boston.csv,black:low,age,26.3
Boston.csv,black:low,age,18.8
Boston.csv,black:low,age,36.6
Boston.csv,black:low,age,13.9
Boston.csv,black:low,age,31.9
Boston.csv,black:low,age,72.7
Boston.csv,black:low,age,59.1
Boston.csv,black:low,age,53.8
Boston.csv,black:low,age,32.3
Boston.csv,black:low,age,9.8
Boston.csv,black:low,age,77.7
Boston.csv,black:low,age,78.3
Boston.csv,black:low,age,83
