fileName,groupName,attributeName,attributeValue
Boston.csv,crim:low,medv,24
Boston.csv,crim:low,medv,21.6
Boston.csv,crim:low,medv,34.7
Boston.csv,crim:low,medv,33.4
Boston.csv,crim:low,medv,36.2
Boston.csv,crim:low,medv,28.7
Boston.csv,crim:low,medv,22.9
Boston.csv,crim:low,medv,27.1
Boston.csv,crim:low,medv,16.5
Boston.csv,crim:low,medv,18.9
Boston.csv,crim:low,medv,15
Boston.csv,crim:low,medv,18.9
Boston.csv,crim:low,medv,21.7
Boston.csv,crim:low,medv,18.9
Boston.csv,crim:low,medv,20
Boston.csv,crim:low,medv,21
Boston.csv,crim:low,medv,24.7
Boston.csv,crim:low,medv,30.8
Boston.csv,crim:low,medv,34.9
Boston.csv,crim:low,medv,26.6
Boston.csv,crim:low,medv,25.3
Boston.csv,crim:low,medv,24.7
Boston.csv,crim:low,medv,21.2
Boston.csv,crim:low,medv,19.3
Boston.csv,crim:low,medv,20
Boston.csv,crim:low,medv,16.6
Boston.csv,crim:low,medv,14.4
Boston.csv,crim:low,medv,19.4
Boston.csv,crim:low,medv,19.7
Boston.csv,crim:low,medv,20.5
Boston.csv,crim:low,medv,25
Boston.csv,crim:low,medv,23.4
Boston.csv,crim:low,medv,18.9
Boston.csv,crim:low,medv,35.4
Boston.csv,crim:low,medv,24.7
Boston.csv,crim:low,medv,31.6
Boston.csv,crim:low,medv,23.3
Boston.csv,crim:low,medv,19.6
Boston.csv,crim:low,medv,18.7
Boston.csv,crim:low,medv,16
Boston.csv,crim:low,medv,22.2
Boston.csv,crim:low,medv,25
Boston.csv,crim:low,medv,33
Boston.csv,crim:low,medv,23.5
Boston.csv,crim:low,medv,19.4
Boston.csv,crim:low,medv,22
Boston.csv,crim:low,medv,17.4
Boston.csv,crim:low,medv,20.9
Boston.csv,crim:low,medv,24.2
Boston.csv,crim:low,medv,21.7
Boston.csv,crim:low,medv,22.8
Boston.csv,crim:low,medv,23.4
Boston.csv,crim:low,medv,24.1
Boston.csv,crim:low,medv,21.4
Boston.csv,crim:low,medv,20
Boston.csv,crim:low,medv,20.8
Boston.csv,crim:low,medv,21.2
Boston.csv,crim:low,medv,20.3
Boston.csv,crim:low,medv,28
Boston.csv,crim:low,medv,23.9
Boston.csv,crim:low,medv,24.8
Boston.csv,crim:low,medv,22.9
Boston.csv,crim:low,medv,23.9
Boston.csv,crim:low,medv,26.6
Boston.csv,crim:low,medv,22.5
Boston.csv,crim:low,medv,22.2
Boston.csv,crim:low,medv,23.6
Boston.csv,crim:low,medv,28.7
Boston.csv,crim:low,medv,22.6
Boston.csv,crim:low,medv,22
Boston.csv,crim:low,medv,22.9
Boston.csv,crim:low,medv,25
Boston.csv,crim:low,medv,20.6
Boston.csv,crim:low,medv,28.4
Boston.csv,crim:low,medv,21.4
Boston.csv,crim:low,medv,38.7
Boston.csv,crim:low,medv,43.8
Boston.csv,crim:low,medv,33.2
Boston.csv,crim:low,medv,27.5
Boston.csv,crim:low,medv,26.5
Boston.csv,crim:low,medv,18.6
Boston.csv,crim:low,medv,19.3
Boston.csv,crim:low,medv,20.1
Boston.csv,crim:low,medv,19.5
Boston.csv,crim:low,medv,19.5
Boston.csv,crim:low,medv,20.4
Boston.csv,crim:low,medv,19.8
Boston.csv,crim:low,medv,21.7
Boston.csv,crim:low,medv,22.8
Boston.csv,crim:low,medv,18.8
Boston.csv,crim:low,medv,18.7
Boston.csv,crim:low,medv,18.5
Boston.csv,crim:low,medv,18.3
Boston.csv,crim:low,medv,21.2
Boston.csv,crim:low,medv,19.2
