fileName,groupName,attributeName,attributeValue
Boston.csv,crim:low,nox,0.538
Boston.csv,crim:low,nox,0.469
Boston.csv,crim:low,nox,0.469
Boston.csv,crim:low,nox,0.458
Boston.csv,crim:low,nox,0.458
Boston.csv,crim:low,nox,0.458
Boston.csv,crim:low,nox,0.524
Boston.csv,crim:low,nox,0.524
Boston.csv,crim:low,nox,0.524
Boston.csv,crim:low,nox,0.524
Boston.csv,crim:low,nox,0.524
Boston.csv,crim:low,nox,0.524
Boston.csv,crim:low,nox,0.524
Boston.csv,crim:low,nox,0.499
Boston.csv,crim:low,nox,0.499
Boston.csv,crim:low,nox,0.499
Boston.csv,crim:low,nox,0.499
Boston.csv,crim:low,nox,0.428
Boston.csv,crim:low,nox,0.428
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.448
Boston.csv,crim:low,nox,0.439
Boston.csv,crim:low,nox,0.439
Boston.csv,crim:low,nox,0.439
Boston.csv,crim:low,nox,0.439
Boston.csv,crim:low,nox,0.41
Boston.csv,crim:low,nox,0.403
Boston.csv,crim:low,nox,0.41
Boston.csv,crim:low,nox,0.411
Boston.csv,crim:low,nox,0.453
Boston.csv,crim:low,nox,0.453
Boston.csv,crim:low,nox,0.453
Boston.csv,crim:low,nox,0.453
Boston.csv,crim:low,nox,0.453
Boston.csv,crim:low,nox,0.453
Boston.csv,crim:low,nox,0.4161
Boston.csv,crim:low,nox,0.398
Boston.csv,crim:low,nox,0.398
Boston.csv,crim:low,nox,0.409
Boston.csv,crim:low,nox,0.409
Boston.csv,crim:low,nox,0.409
Boston.csv,crim:low,nox,0.413
Boston.csv,crim:low,nox,0.413
Boston.csv,crim:low,nox,0.413
Boston.csv,crim:low,nox,0.413
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.426
Boston.csv,crim:low,nox,0.426
Boston.csv,crim:low,nox,0.426
Boston.csv,crim:low,nox,0.426
Boston.csv,crim:low,nox,0.449
Boston.csv,crim:low,nox,0.449
Boston.csv,crim:low,nox,0.449
Boston.csv,crim:low,nox,0.449
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.464
Boston.csv,crim:low,nox,0.464
Boston.csv,crim:low,nox,0.464
Boston.csv,crim:low,nox,0.445
Boston.csv,crim:low,nox,0.445
Boston.csv,crim:low,nox,0.445
Boston.csv,crim:low,nox,0.445
Boston.csv,crim:low,nox,0.445
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.52
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.547
Boston.csv,crim:low,nox,0.581
Boston.csv,crim:low,nox,0.581
Boston.csv,crim:low,nox,0.581
Boston.csv,crim:low,nox,0.581
Boston.csv,crim:low,nox,0.581
Boston.csv,crim:low,nox,0.581
Boston.csv,crim:low,nox,0.624
Boston.csv,crim:low,nox,0.51
Boston.csv,crim:low,nox,0.51
Boston.csv,crim:low,nox,0.51
Boston.csv,crim:low,nox,0.51
Boston.csv,crim:low,nox,0.51
Boston.csv,crim:low,nox,0.51
Boston.csv,crim:low,nox,0.51
Boston.csv,crim:low,nox,0.488
Boston.csv,crim:low,nox,0.488
Boston.csv,crim:low,nox,0.488
Boston.csv,crim:low,nox,0.488
Boston.csv,crim:low,nox,0.488
Boston.csv,crim:low,nox,0.488
Boston.csv,crim:low,nox,0.488
Boston.csv,crim:low,nox,0.488
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.401
Boston.csv,crim:low,nox,0.401
Boston.csv,crim:low,nox,0.422
Boston.csv,crim:low,nox,0.404
Boston.csv,crim:low,nox,0.404
Boston.csv,crim:low,nox,0.404
Boston.csv,crim:low,nox,0.403
Boston.csv,crim:low,nox,0.403
Boston.csv,crim:low,nox,0.415
Boston.csv,crim:low,nox,0.415
Boston.csv,crim:low,nox,0.4161
Boston.csv,crim:low,nox,0.4161
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.489
Boston.csv,crim:low,nox,0.55
Boston.csv,crim:low,nox,0.55
Boston.csv,crim:low,nox,0.55
Boston.csv,crim:low,nox,0.55
Boston.csv,crim:low,nox,0.428
Boston.csv,crim:low,nox,0.428
Boston.csv,crim:low,nox,0.428
Boston.csv,crim:low,nox,0.428
Boston.csv,crim:low,nox,0.428
Boston.csv,crim:low,nox,0.428
Boston.csv,crim:low,nox,0.431
Boston.csv,crim:low,nox,0.431
Boston.csv,crim:low,nox,0.431
Boston.csv,crim:low,nox,0.431
Boston.csv,crim:low,nox,0.431
Boston.csv,crim:low,nox,0.431
Boston.csv,crim:low,nox,0.431
Boston.csv,crim:low,nox,0.431
Boston.csv,crim:low,nox,0.392
Boston.csv,crim:low,nox,0.392
Boston.csv,crim:low,nox,0.394
Boston.csv,crim:low,nox,0.464
Boston.csv,crim:low,nox,0.464
Boston.csv,crim:low,nox,0.464
Boston.csv,crim:low,nox,0.464
Boston.csv,crim:low,nox,0.447
Boston.csv,crim:low,nox,0.447
Boston.csv,crim:low,nox,0.447
Boston.csv,crim:low,nox,0.447
Boston.csv,crim:low,nox,0.447
Boston.csv,crim:low,nox,0.4429
Boston.csv,crim:low,nox,0.4429
Boston.csv,crim:low,nox,0.4429
Boston.csv,crim:low,nox,0.4429
Boston.csv,crim:low,nox,0.401
Boston.csv,crim:low,nox,0.4
Boston.csv,crim:low,nox,0.389
Boston.csv,crim:low,nox,0.385
Boston.csv,crim:low,nox,0.405
Boston.csv,crim:low,nox,0.405
Boston.csv,crim:low,nox,0.405
Boston.csv,crim:low,nox,0.411
Boston.csv,crim:low,nox,0.411
Boston.csv,crim:low,nox,0.411
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.437
Boston.csv,crim:low,nox,0.4
Boston.csv,crim:low,nox,0.4
Boston.csv,crim:low,nox,0.4
Boston.csv,crim:low,nox,0.433
Boston.csv,crim:low,nox,0.433
Boston.csv,crim:low,nox,0.433
Boston.csv,crim:low,nox,0.472
Boston.csv,crim:low,nox,0.472
Boston.csv,crim:low,nox,0.472
Boston.csv,crim:low,nox,0.472
Boston.csv,crim:low,nox,0.544
Boston.csv,crim:low,nox,0.544
Boston.csv,crim:low,nox,0.493
Boston.csv,crim:low,nox,0.493
Boston.csv,crim:low,nox,0.493
Boston.csv,crim:low,nox,0.493
Boston.csv,crim:low,nox,0.46
Boston.csv,crim:low,nox,0.46
Boston.csv,crim:low,nox,0.46
Boston.csv,crim:low,nox,0.4379
Boston.csv,crim:low,nox,0.4379
Boston.csv,crim:low,nox,0.515
Boston.csv,crim:low,nox,0.515
Boston.csv,crim:low,nox,0.515
Boston.csv,crim:low,nox,0.515
Boston.csv,crim:low,nox,0.515
Boston.csv,crim:low,nox,0.515
Boston.csv,crim:low,nox,0.515
Boston.csv,crim:low,nox,0.515
Boston.csv,crim:low,nox,0.442
Boston.csv,crim:low,nox,0.518
Boston.csv,crim:low,nox,0.484
Boston.csv,crim:low,nox,0.484
Boston.csv,crim:low,nox,0.442
Boston.csv,crim:low,nox,0.442
Boston.csv,crim:low,nox,0.429
Boston.csv,crim:low,nox,0.435
Boston.csv,crim:low,nox,0.429
Boston.csv,crim:low,nox,0.429
Boston.csv,crim:low,nox,0.411
Boston.csv,crim:low,nox,0.411
Boston.csv,crim:low,nox,0.41
Boston.csv,crim:low,nox,0.413
Boston.csv,crim:low,nox,0.413
Boston.csv,crim:low,nox,0.609
Boston.csv,crim:low,nox,0.609
Boston.csv,crim:low,nox,0.609
Boston.csv,crim:low,nox,0.609
Boston.csv,crim:low,nox,0.609
Boston.csv,crim:low,nox,0.585
Boston.csv,crim:low,nox,0.585
Boston.csv,crim:low,nox,0.585
Boston.csv,crim:low,nox,0.585
Boston.csv,crim:low,nox,0.585
Boston.csv,crim:low,nox,0.573
Boston.csv,crim:low,nox,0.573
Boston.csv,crim:low,nox,0.573
Boston.csv,crim:low,nox,0.573
Boston.csv,crim:low,nox,0.573
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.538
Boston.csv,crim:high,nox,0.52
Boston.csv,crim:high,nox,0.581
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.624
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.871
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.605
Boston.csv,crim:high,nox,0.489
Boston.csv,crim:high,nox,0.489
Boston.csv,crim:high,nox,0.489
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.504
Boston.csv,crim:high,nox,0.504
Boston.csv,crim:high,nox,0.504
Boston.csv,crim:high,nox,0.504
Boston.csv,crim:high,nox,0.504
Boston.csv,crim:high,nox,0.504
Boston.csv,crim:high,nox,0.504
Boston.csv,crim:high,nox,0.504
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.507
Boston.csv,crim:high,nox,0.431
Boston.csv,crim:high,nox,0.431
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.647
Boston.csv,crim:high,nox,0.575
Boston.csv,crim:high,nox,0.575
Boston.csv,crim:high,nox,0.464
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.544
Boston.csv,crim:high,nox,0.493
Boston.csv,crim:high,nox,0.493
Boston.csv,crim:high,nox,0.493
Boston.csv,crim:high,nox,0.493
Boston.csv,crim:high,nox,0.77
Boston.csv,crim:high,nox,0.77
Boston.csv,crim:high,nox,0.77
Boston.csv,crim:high,nox,0.77
Boston.csv,crim:high,nox,0.77
Boston.csv,crim:high,nox,0.77
Boston.csv,crim:high,nox,0.77
Boston.csv,crim:high,nox,0.77
Boston.csv,crim:high,nox,0.718
Boston.csv,crim:high,nox,0.718
Boston.csv,crim:high,nox,0.718
Boston.csv,crim:high,nox,0.631
Boston.csv,crim:high,nox,0.631
Boston.csv,crim:high,nox,0.631
Boston.csv,crim:high,nox,0.631
Boston.csv,crim:high,nox,0.631
Boston.csv,crim:high,nox,0.668
Boston.csv,crim:high,nox,0.668
Boston.csv,crim:high,nox,0.668
Boston.csv,crim:high,nox,0.671
Boston.csv,crim:high,nox,0.671
Boston.csv,crim:high,nox,0.671
Boston.csv,crim:high,nox,0.671
Boston.csv,crim:high,nox,0.671
Boston.csv,crim:high,nox,0.671
Boston.csv,crim:high,nox,0.671
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.7
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.659
Boston.csv,crim:high,nox,0.659
Boston.csv,crim:high,nox,0.597
Boston.csv,crim:high,nox,0.597
Boston.csv,crim:high,nox,0.597
Boston.csv,crim:high,nox,0.597
Boston.csv,crim:high,nox,0.597
Boston.csv,crim:high,nox,0.597
Boston.csv,crim:high,nox,0.693
Boston.csv,crim:high,nox,0.679
Boston.csv,crim:high,nox,0.679
Boston.csv,crim:high,nox,0.679
Boston.csv,crim:high,nox,0.679
Boston.csv,crim:high,nox,0.718
Boston.csv,crim:high,nox,0.718
Boston.csv,crim:high,nox,0.718
Boston.csv,crim:high,nox,0.614
Boston.csv,crim:high,nox,0.614
Boston.csv,crim:high,nox,0.584
Boston.csv,crim:high,nox,0.679
Boston.csv,crim:high,nox,0.584
Boston.csv,crim:high,nox,0.679
Boston.csv,crim:high,nox,0.679
Boston.csv,crim:high,nox,0.679
Boston.csv,crim:high,nox,0.584
Boston.csv,crim:high,nox,0.584
Boston.csv,crim:high,nox,0.584
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.74
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.713
Boston.csv,crim:high,nox,0.655
Boston.csv,crim:high,nox,0.655
Boston.csv,crim:high,nox,0.655
Boston.csv,crim:high,nox,0.584
Boston.csv,crim:high,nox,0.58
Boston.csv,crim:high,nox,0.58
Boston.csv,crim:high,nox,0.58
Boston.csv,crim:high,nox,0.532
Boston.csv,crim:high,nox,0.58
Boston.csv,crim:high,nox,0.614
Boston.csv,crim:high,nox,0.584
Boston.csv,crim:high,nox,0.584
Boston.csv,crim:high,nox,0.614
Boston.csv,crim:high,nox,0.614
Boston.csv,crim:high,nox,0.614
Boston.csv,crim:high,nox,0.614
Boston.csv,crim:high,nox,0.532
Boston.csv,crim:high,nox,0.532
Boston.csv,crim:high,nox,0.532
Boston.csv,crim:high,nox,0.532
Boston.csv,crim:high,nox,0.583
Boston.csv,crim:high,nox,0.583
Boston.csv,crim:high,nox,0.583
Boston.csv,crim:high,nox,0.583
Boston.csv,crim:high,nox,0.585
Boston.csv,crim:high,nox,0.585
Boston.csv,crim:high,nox,0.585
