fileName,groupName,attributeName,attributeValue
Capm.csv,rfood:low,rdur,0.87
Capm.csv,rfood:low,rdur,-2.28
Capm.csv,rfood:low,rdur,-5.09
Capm.csv,rfood:low,rdur,-4.23
Capm.csv,rfood:low,rdur,-2.34
Capm.csv,rfood:low,rdur,-6.85
Capm.csv,rfood:low,rdur,1.83
Capm.csv,rfood:low,rdur,-0.42
Capm.csv,rfood:low,rdur,-9.65
Capm.csv,rfood:low,rdur,0.07
Capm.csv,rfood:low,rdur,-8.04
Capm.csv,rfood:low,rdur,-8.93
Capm.csv,rfood:low,rdur,-11.07
Capm.csv,rfood:low,rdur,1.81
Capm.csv,rfood:low,rdur,-7.75
Capm.csv,rfood:low,rdur,-2.79
Capm.csv,rfood:low,rdur,-5.37
Capm.csv,rfood:low,rdur,-0.25
Capm.csv,rfood:low,rdur,-0.52
Capm.csv,rfood:low,rdur,-1.7
Capm.csv,rfood:low,rdur,-0.41
Capm.csv,rfood:low,rdur,-2.3
Capm.csv,rfood:low,rdur,-2.06
Capm.csv,rfood:low,rdur,-1.37
Capm.csv,rfood:low,rdur,-1.34
Capm.csv,rfood:low,rdur,0.03
Capm.csv,rfood:low,rdur,-5.86
Capm.csv,rfood:low,rdur,7.6
Capm.csv,rfood:low,rdur,1.47
Capm.csv,rfood:low,rdur,2.57
Capm.csv,rfood:low,rdur,0.24
Capm.csv,rfood:low,rdur,2.56
Capm.csv,rfood:low,rdur,6.36
Capm.csv,rfood:low,rdur,-8.48
Capm.csv,rfood:low,rdur,-0.24
Capm.csv,rfood:low,rdur,-3.86
Capm.csv,rfood:low,rdur,-9.89
Capm.csv,rfood:low,rdur,-5.46
Capm.csv,rfood:low,rdur,-2.03
Capm.csv,rfood:low,rdur,-7.08
Capm.csv,rfood:low,rdur,-0.56
Capm.csv,rfood:low,rdur,-0.78
Capm.csv,rfood:low,rdur,1.78
Capm.csv,rfood:low,rdur,-9.64
Capm.csv,rfood:low,rdur,-3.76
Capm.csv,rfood:low,rdur,2.85
Capm.csv,rfood:low,rdur,-3.31
Capm.csv,rfood:low,rdur,-5.86
Capm.csv,rfood:low,rdur,0.43
Capm.csv,rfood:low,rdur,-6.31
Capm.csv,rfood:low,rdur,-0.87
Capm.csv,rfood:low,rdur,-6
Capm.csv,rfood:low,rdur,1.89
Capm.csv,rfood:low,rdur,-3.17
Capm.csv,rfood:low,rdur,-4.93
Capm.csv,rfood:low,rdur,-0.88
Capm.csv,rfood:low,rdur,-3.69
Capm.csv,rfood:low,rdur,-0.79
Capm.csv,rfood:low,rdur,-8.2
Capm.csv,rfood:low,rdur,-1
Capm.csv,rfood:low,rdur,-9.34
Capm.csv,rfood:low,rdur,-10.36
Capm.csv,rfood:low,rdur,-6.05
Capm.csv,rfood:low,rdur,5.35
Capm.csv,rfood:low,rdur,-2.08
Capm.csv,rfood:low,rdur,-1.1
Capm.csv,rfood:low,rdur,1.77
Capm.csv,rfood:low,rdur,-7.17
Capm.csv,rfood:low,rdur,0.75
Capm.csv,rfood:low,rdur,-5.04
Capm.csv,rfood:low,rdur,1.71
Capm.csv,rfood:low,rdur,3.41
Capm.csv,rfood:low,rdur,3.99
Capm.csv,rfood:low,rdur,3.39
Capm.csv,rfood:low,rdur,-1.04
Capm.csv,rfood:low,rdur,-0.73
Capm.csv,rfood:low,rdur,1.31
Capm.csv,rfood:low,rdur,-6.34
Capm.csv,rfood:low,rdur,-1.79
Capm.csv,rfood:low,rdur,-2.14
Capm.csv,rfood:low,rdur,-7.46
Capm.csv,rfood:low,rdur,-0.36
Capm.csv,rfood:low,rdur,0.47
Capm.csv,rfood:low,rdur,-4.2
Capm.csv,rfood:low,rdur,-1.32
Capm.csv,rfood:low,rdur,-13.77
Capm.csv,rfood:low,rdur,-1.81
Capm.csv,rfood:low,rdur,-3.75
Capm.csv,rfood:low,rdur,-1.04
Capm.csv,rfood:low,rdur,-6.29
Capm.csv,rfood:low,rdur,-0.59
Capm.csv,rfood:low,rdur,-2.41
Capm.csv,rfood:low,rdur,-14.38
Capm.csv,rfood:low,rdur,-11.18
Capm.csv,rfood:low,rdur,-18.97
Capm.csv,rfood:low,rdur,-7.77
Capm.csv,rfood:low,rdur,-8.2
Capm.csv,rfood:low,rdur,8.07
Capm.csv,rfood:low,rdur,-8.25
Capm.csv,rfood:low,rdur,-4.16
Capm.csv,rfood:low,rdur,-4.47
Capm.csv,rfood:low,rdur,-2.7
Capm.csv,rfood:low,rdur,-0.74
