fileName,groupName,attributeName,attributeValue
Caschool.csv,testscr:low,distcod,61549
Caschool.csv,testscr:low,distcod,61457
Caschool.csv,testscr:low,distcod,61523
Caschool.csv,testscr:low,distcod,62042
Caschool.csv,testscr:low,distcod,68536
Caschool.csv,testscr:low,distcod,63834
Caschool.csv,testscr:low,distcod,62331
Caschool.csv,testscr:low,distcod,67306
Caschool.csv,testscr:low,distcod,65722
Caschool.csv,testscr:low,distcod,62174
Caschool.csv,testscr:low,distcod,71795
Caschool.csv,testscr:low,distcod,72181
Caschool.csv,testscr:low,distcod,72298
Caschool.csv,testscr:low,distcod,72041
Caschool.csv,testscr:low,distcod,63594
Caschool.csv,testscr:low,distcod,63370
Caschool.csv,testscr:low,distcod,64709
Caschool.csv,testscr:low,distcod,63560
Caschool.csv,testscr:low,distcod,63230
Caschool.csv,testscr:low,distcod,72058
Caschool.csv,testscr:low,distcod,63842
Caschool.csv,testscr:low,distcod,71811
Caschool.csv,testscr:low,distcod,65748
Caschool.csv,testscr:low,distcod,72272
Caschool.csv,testscr:low,distcod,65961
Caschool.csv,testscr:low,distcod,63313
Caschool.csv,testscr:low,distcod,72199
Caschool.csv,testscr:low,distcod,72215
Caschool.csv,testscr:low,distcod,68379
Caschool.csv,testscr:low,distcod,75440
Caschool.csv,testscr:low,distcod,64816
Caschool.csv,testscr:low,distcod,66050
Caschool.csv,testscr:low,distcod,67819
Caschool.csv,testscr:low,distcod,64758
Caschool.csv,testscr:low,distcod,65870
Caschool.csv,testscr:low,distcod,62380
Caschool.csv,testscr:low,distcod,68999
Caschool.csv,testscr:low,distcod,63578
Caschool.csv,testscr:low,distcod,72538
Caschool.csv,testscr:low,distcod,65680
Caschool.csv,testscr:low,distcod,63461
Caschool.csv,testscr:low,distcod,63404
Caschool.csv,testscr:low,distcod,67199
Caschool.csv,testscr:low,distcod,65078
Caschool.csv,testscr:low,distcod,69369
Caschool.csv,testscr:low,distcod,63438
Caschool.csv,testscr:low,distcod,63321
Caschool.csv,testscr:low,distcod,69450
Caschool.csv,testscr:low,distcod,64592
Caschool.csv,testscr:low,distcod,65193
Caschool.csv,testscr:low,distcod,66142
Caschool.csv,testscr:low,distcod,69120
Caschool.csv,testscr:low,distcod,65110
Caschool.csv,testscr:low,distcod,64477
Caschool.csv,testscr:low,distcod,64691
Caschool.csv,testscr:low,distcod,67421
Caschool.csv,testscr:low,distcod,66191
Caschool.csv,testscr:low,distcod,72561
Caschool.csv,testscr:low,distcod,72157
Caschool.csv,testscr:low,distcod,67397
Caschool.csv,testscr:low,distcod,66423
Caschool.csv,testscr:low,distcod,63974
Caschool.csv,testscr:low,distcod,63875
Caschool.csv,testscr:low,distcod,63339
Caschool.csv,testscr:low,distcod,65037
Caschool.csv,testscr:low,distcod,63917
Caschool.csv,testscr:low,distcod,68221
Caschool.csv,testscr:low,distcod,70904
Caschool.csv,testscr:low,distcod,63420
Caschool.csv,testscr:low,distcod,64642
Caschool.csv,testscr:low,distcod,63966
Caschool.csv,testscr:low,distcod,65771
Caschool.csv,testscr:low,distcod,69203
Caschool.csv,testscr:low,distcod,67694
Caschool.csv,testscr:low,distcod,61705
Caschool.csv,testscr:low,distcod,63008
Caschool.csv,testscr:low,distcod,70417
Caschool.csv,testscr:low,distcod,70409
Caschool.csv,testscr:low,distcod,72587
Caschool.csv,testscr:low,distcod,62539
Caschool.csv,testscr:low,distcod,65631
Caschool.csv,testscr:low,distcod,65862
Caschool.csv,testscr:low,distcod,62356
Caschool.csv,testscr:low,distcod,75051
Caschool.csv,testscr:low,distcod,67231
Caschool.csv,testscr:low,distcod,64501
Caschool.csv,testscr:low,distcod,63503
Caschool.csv,testscr:low,distcod,72033
Caschool.csv,testscr:low,distcod,67322
Caschool.csv,testscr:low,distcod,64048
Caschool.csv,testscr:low,distcod,69542
Caschool.csv,testscr:low,distcod,61382
Caschool.csv,testscr:low,distcod,68858
Caschool.csv,testscr:low,distcod,72017
Caschool.csv,testscr:low,distcod,65151
