fileName,groupName,attributeName,attributeValue
Crime.csv,density:low,wfed,318.96
Crime.csv,density:low,wfed,314.61
Crime.csv,density:low,wfed,330.5
Crime.csv,density:low,wfed,340.43
Crime.csv,density:low,wfed,373.06
Crime.csv,density:low,wfed,383.78
Crime.csv,density:low,wfed,358.98
Crime.csv,density:low,wfed,348.27
Crime.csv,density:low,wfed,355.16
Crime.csv,density:low,wfed,367.8
Crime.csv,density:low,wfed,365.41
Crime.csv,density:low,wfed,392.05
Crime.csv,density:low,wfed,392.36
Crime.csv,density:low,wfed,412.15
Crime.csv,density:low,wfed,270.57
Crime.csv,density:low,wfed,287.12
Crime.csv,density:low,wfed,316.5
Crime.csv,density:low,wfed,318.89
Crime.csv,density:low,wfed,348.6
Crime.csv,density:low,wfed,365.11
Crime.csv,density:low,wfed,377.35
Crime.csv,density:low,wfed,266.62
Crime.csv,density:low,wfed,290.17
Crime.csv,density:low,wfed,325.86
Crime.csv,density:low,wfed,340.77
Crime.csv,density:low,wfed,365.97
Crime.csv,density:low,wfed,367.85
Crime.csv,density:low,wfed,391.48
Crime.csv,density:low,wfed,377.75
Crime.csv,density:low,wfed,381.69
Crime.csv,density:low,wfed,389.8
Crime.csv,density:low,wfed,392.41
Crime.csv,density:low,wfed,427.7
Crime.csv,density:low,wfed,439.48
Crime.csv,density:low,wfed,449.84
Crime.csv,density:low,wfed,320
Crime.csv,density:low,wfed,347.44
Crime.csv,density:low,wfed,344.49
Crime.csv,density:low,wfed,360.26
Crime.csv,density:low,wfed,380.33
Crime.csv,density:low,wfed,405.7
Crime.csv,density:low,wfed,416.49
Crime.csv,density:low,wfed,319.78
Crime.csv,density:low,wfed,338.7
Crime.csv,density:low,wfed,355.36
Crime.csv,density:low,wfed,356.43
Crime.csv,density:low,wfed,377.22
Crime.csv,density:low,wfed,379.9
Crime.csv,density:low,wfed,389.51
Crime.csv,density:low,wfed,375.85
Crime.csv,density:low,wfed,368.82
Crime.csv,density:low,wfed,359.84
Crime.csv,density:low,wfed,403.76
Crime.csv,density:low,wfed,426.73
Crime.csv,density:low,wfed,408.63
Crime.csv,density:low,wfed,403.15
