fileName,groupName,attributeName,attributeValue
Davis.csv,repht:low,height,161
Davis.csv,repht:low,height,161
Davis.csv,repht:low,height,157
Davis.csv,repht:low,height,170
Davis.csv,repht:low,height,167
Davis.csv,repht:low,height,57
Davis.csv,repht:low,height,161
Davis.csv,repht:low,height,168
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,168
Davis.csv,repht:low,height,171
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,169
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,157
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,164
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,164
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,160
Davis.csv,repht:low,height,162
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,162
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,164
Davis.csv,repht:low,height,158
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,160
Davis.csv,repht:low,height,160
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,167
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,162
Davis.csv,repht:low,height,161
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,169
Davis.csv,repht:low,height,159
Davis.csv,repht:low,height,164
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,164
Davis.csv,repht:low,height,152
Davis.csv,repht:low,height,167
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,167
Davis.csv,repht:low,height,168
Davis.csv,repht:low,height,169
Davis.csv,repht:low,height,167
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,157
Davis.csv,repht:low,height,157
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,160
Davis.csv,repht:low,height,148
Davis.csv,repht:low,height,162
Davis.csv,repht:low,height,172
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,160
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,157
Davis.csv,repht:low,height,168
Davis.csv,repht:low,height,162
Davis.csv,repht:low,height,150
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,169
Davis.csv,repht:low,height,167
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,161
Davis.csv,repht:low,height,162
Davis.csv,repht:low,height,163
Davis.csv,repht:low,height,159
Davis.csv,repht:low,height,170
Davis.csv,repht:low,height,166
Davis.csv,repht:low,height,158
Davis.csv,repht:low,height,169
Davis.csv,repht:low,height,168
Davis.csv,repht:low,height,170
Davis.csv,repht:low,height,165
Davis.csv,repht:low,height,162
Davis.csv,repht:low,height,172
Davis.csv,repht:low,height,169
Davis.csv,repht:low,height,158
Davis.csv,repht:low,height,164
Davis.csv,repht:low,height,156
Davis.csv,repht:low,height,164
Davis.csv,repht:high,height,182
Davis.csv,repht:high,height,177
Davis.csv,repht:high,height,186
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,171
Davis.csv,repht:high,height,175
Davis.csv,repht:high,height,187
Davis.csv,repht:high,height,197
Davis.csv,repht:high,height,175
Davis.csv,repht:high,height,180
Davis.csv,repht:high,height,170
Davis.csv,repht:high,height,175
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,183
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,169
Davis.csv,repht:high,height,176
Davis.csv,repht:high,height,174
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,187
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,183
Davis.csv,repht:high,height,179
Davis.csv,repht:high,height,174
Davis.csv,repht:high,height,182
Davis.csv,repht:high,height,169
Davis.csv,repht:high,height,185
Davis.csv,repht:high,height,176
Davis.csv,repht:high,height,183
Davis.csv,repht:high,height,172
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,177
Davis.csv,repht:high,height,180
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,189
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,175
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,182
Davis.csv,repht:high,height,183
Davis.csv,repht:high,height,168
Davis.csv,repht:high,height,169
Davis.csv,repht:high,height,170
Davis.csv,repht:high,height,182
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,184
Davis.csv,repht:high,height,180
Davis.csv,repht:high,height,189
Davis.csv,repht:high,height,185
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,175
Davis.csv,repht:high,height,183
Davis.csv,repht:high,height,179
Davis.csv,repht:high,height,174
Davis.csv,repht:high,height,179
Davis.csv,repht:high,height,184
Davis.csv,repht:high,height,184
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,171
Davis.csv,repht:high,height,185
Davis.csv,repht:high,height,177
Davis.csv,repht:high,height,188
Davis.csv,repht:high,height,191
Davis.csv,repht:high,height,175
Davis.csv,repht:high,height,176
Davis.csv,repht:high,height,171
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,184
Davis.csv,repht:high,height,172
Davis.csv,repht:high,height,172
Davis.csv,repht:high,height,191
Davis.csv,repht:high,height,170
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,178
Davis.csv,repht:high,height,174
Davis.csv,repht:high,height,176
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,183
Davis.csv,repht:high,height,185
Davis.csv,repht:high,height,173
Davis.csv,repht:high,height,175
Davis.csv,repht:high,height,180
Davis.csv,repht:high,height,181
Davis.csv,repht:high,height,177
