fileName,groupName,attributeName,attributeValue
Davis.csv,repht:low,repwt,51
Davis.csv,repht:low,repwt,54
Davis.csv,repht:low,repwt,59
Davis.csv,repht:low,repwt,76
Davis.csv,repht:low,repwt,77
Davis.csv,repht:low,repwt,56
Davis.csv,repht:low,repwt,52
Davis.csv,repht:low,repwt,64
Davis.csv,repht:low,repwt,57
Davis.csv,repht:low,repwt,66
Davis.csv,repht:low,repwt,62
Davis.csv,repht:low,repwt,59
Davis.csv,repht:low,repwt,50
Davis.csv,repht:low,repwt,61
Davis.csv,repht:low,repwt,60
Davis.csv,repht:low,repwt,41
Davis.csv,repht:low,repwt,71
Davis.csv,repht:low,repwt,52
Davis.csv,repht:low,repwt,54
Davis.csv,repht:low,repwt,53
Davis.csv,repht:low,repwt,59
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,75
Davis.csv,repht:low,repwt,57
Davis.csv,repht:low,repwt,69
Davis.csv,repht:low,repwt,59
Davis.csv,repht:low,repwt,63
Davis.csv,repht:low,repwt,62
Davis.csv,repht:low,repwt,51
Davis.csv,repht:low,repwt,54
Davis.csv,repht:low,repwt,57
Davis.csv,repht:low,repwt,50
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,64
Davis.csv,repht:low,repwt,60
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,53
Davis.csv,repht:low,repwt,59
Davis.csv,repht:low,repwt,56
Davis.csv,repht:low,repwt,56
Davis.csv,repht:low,repwt,57
Davis.csv,repht:low,repwt,50
Davis.csv,repht:low,repwt,52
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,47
Davis.csv,repht:low,repwt,45
Davis.csv,repht:low,repwt,51
Davis.csv,repht:low,repwt,51
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,64
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,77
Davis.csv,repht:low,repwt,62
Davis.csv,repht:low,repwt,76
Davis.csv,repht:low,repwt,73
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,45
Davis.csv,repht:low,repwt,44
Davis.csv,repht:low,repwt,61
Davis.csv,repht:low,repwt,53
Davis.csv,repht:low,repwt,47
Davis.csv,repht:low,repwt,53
Davis.csv,repht:low,repwt,62
Davis.csv,repht:low,repwt,53
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,58
Davis.csv,repht:low,repwt,47
Davis.csv,repht:low,repwt,45
Davis.csv,repht:low,repwt,44
Davis.csv,repht:low,repwt,58
Davis.csv,repht:low,repwt,56
Davis.csv,repht:low,repwt,50
Davis.csv,repht:low,repwt,54
Davis.csv,repht:low,repwt,52
Davis.csv,repht:low,repwt,58
Davis.csv,repht:low,repwt,59
Davis.csv,repht:low,repwt,62
Davis.csv,repht:low,repwt,66
Davis.csv,repht:low,repwt,50
Davis.csv,repht:low,repwt,75
Davis.csv,repht:low,repwt,64
Davis.csv,repht:low,repwt,67
Davis.csv,repht:low,repwt,59
Davis.csv,repht:low,repwt,56
Davis.csv,repht:low,repwt,55
Davis.csv,repht:low,repwt,54
Davis.csv,repht:low,repwt,49
Davis.csv,repht:low,repwt,59
Davis.csv,repht:low,repwt,51
Davis.csv,repht:low,repwt,61
Davis.csv,repht:high,repwt,77
Davis.csv,repht:high,repwt,70
Davis.csv,repht:high,repwt,73
Davis.csv,repht:high,repwt,71
Davis.csv,repht:high,repwt,64
Davis.csv,repht:high,repwt,75
Davis.csv,repht:high,repwt,101
Davis.csv,repht:high,repwt,75
Davis.csv,repht:high,repwt,61
Davis.csv,repht:high,repwt,124
Davis.csv,repht:high,repwt,61
Davis.csv,repht:high,repwt,66
Davis.csv,repht:high,repwt,70
Davis.csv,repht:high,repwt,100
Davis.csv,repht:high,repwt,73
Davis.csv,repht:high,repwt,76
Davis.csv,repht:high,repwt,63
Davis.csv,repht:high,repwt,65
Davis.csv,repht:high,repwt,69
Davis.csv,repht:high,repwt,86
Davis.csv,repht:high,repwt,67
Davis.csv,repht:high,repwt,80
Davis.csv,repht:high,repwt,80
Davis.csv,repht:high,repwt,82
Davis.csv,repht:high,repwt,56
Davis.csv,repht:high,repwt,85
Davis.csv,repht:high,repwt,73
Davis.csv,repht:high,repwt,107
Davis.csv,repht:high,repwt,64
Davis.csv,repht:high,repwt,74
Davis.csv,repht:high,repwt,70
Davis.csv,repht:high,repwt,58
Davis.csv,repht:high,repwt,71
Davis.csv,repht:high,repwt,76
Davis.csv,repht:high,repwt,75
Davis.csv,repht:high,repwt,98
Davis.csv,repht:high,repwt,76
Davis.csv,repht:high,repwt,61
Davis.csv,repht:high,repwt,66
Davis.csv,repht:high,repwt,70
Davis.csv,repht:high,repwt,70
Davis.csv,repht:high,repwt,56
Davis.csv,repht:high,repwt,52
