fileName,groupName,attributeName,attributeValue
Davis.csv,repht:low,weight,58
Davis.csv,repht:low,weight,53
Davis.csv,repht:low,weight,59
Davis.csv,repht:low,weight,76
Davis.csv,repht:low,weight,76
Davis.csv,repht:low,weight,166
Davis.csv,repht:low,weight,51
Davis.csv,repht:low,weight,64
Davis.csv,repht:low,weight,52
Davis.csv,repht:low,weight,65
Davis.csv,repht:low,weight,62
Davis.csv,repht:low,weight,54
Davis.csv,repht:low,weight,50
Davis.csv,repht:low,weight,63
Davis.csv,repht:low,weight,58
Davis.csv,repht:low,weight,39
Davis.csv,repht:low,weight,71
Davis.csv,repht:low,weight,52
Davis.csv,repht:low,weight,56
Davis.csv,repht:low,weight,54
Davis.csv,repht:low,weight,63
Davis.csv,repht:low,weight,54
Davis.csv,repht:low,weight,75
Davis.csv,repht:low,weight,56
Davis.csv,repht:low,weight,68
Davis.csv,repht:low,weight,60
Davis.csv,repht:low,weight,64
Davis.csv,repht:low,weight,64
Davis.csv,repht:low,weight,52
Davis.csv,repht:low,weight,55
Davis.csv,repht:low,weight,56
Davis.csv,repht:low,weight,50
Davis.csv,repht:low,weight,50
Davis.csv,repht:low,weight,63
Davis.csv,repht:low,weight,61
Davis.csv,repht:low,weight,60
Davis.csv,repht:low,weight,53
Davis.csv,repht:low,weight,57
Davis.csv,repht:low,weight,57
Davis.csv,repht:low,weight,56
Davis.csv,repht:low,weight,56
Davis.csv,repht:low,weight,50
Davis.csv,repht:low,weight,52
Davis.csv,repht:low,weight,55
Davis.csv,repht:low,weight,47
Davis.csv,repht:low,weight,45
Davis.csv,repht:low,weight,53
Davis.csv,repht:low,weight,52
Davis.csv,repht:low,weight,57
Davis.csv,repht:low,weight,64
Davis.csv,repht:low,weight,59
Davis.csv,repht:low,weight,76
Davis.csv,repht:low,weight,62
Davis.csv,repht:low,weight,75
Davis.csv,repht:low,weight,69
Davis.csv,repht:low,weight,55
Davis.csv,repht:low,weight,45
Davis.csv,repht:low,weight,44
Davis.csv,repht:low,weight,62
Davis.csv,repht:low,weight,56
Davis.csv,repht:low,weight,50
Davis.csv,repht:low,weight,53
Davis.csv,repht:low,weight,64
Davis.csv,repht:low,weight,52
Davis.csv,repht:low,weight,53
Davis.csv,repht:low,weight,55
Davis.csv,repht:low,weight,55
Davis.csv,repht:low,weight,59
Davis.csv,repht:low,weight,57
Davis.csv,repht:low,weight,47
Davis.csv,repht:low,weight,47
Davis.csv,repht:low,weight,48
Davis.csv,repht:low,weight,54
Davis.csv,repht:low,weight,57
Davis.csv,repht:low,weight,51
Davis.csv,repht:low,weight,54
Davis.csv,repht:low,weight,53
Davis.csv,repht:low,weight,56
Davis.csv,repht:low,weight,59
Davis.csv,repht:low,weight,63
Davis.csv,repht:low,weight,66
Davis.csv,repht:low,weight,53
Davis.csv,repht:low,weight,76
Davis.csv,repht:low,weight,62
Davis.csv,repht:low,weight,66
Davis.csv,repht:low,weight,63
Davis.csv,repht:low,weight,56
Davis.csv,repht:low,weight,60
Davis.csv,repht:low,weight,58
Davis.csv,repht:low,weight,50
Davis.csv,repht:low,weight,59
Davis.csv,repht:low,weight,51
Davis.csv,repht:low,weight,62
Davis.csv,repht:high,weight,77
Davis.csv,repht:high,weight,68
Davis.csv,repht:high,weight,69
Davis.csv,repht:high,weight,71
Davis.csv,repht:high,weight,65
Davis.csv,repht:high,weight,70
Davis.csv,repht:high,weight,92
Davis.csv,repht:high,weight,76
Davis.csv,repht:high,weight,61
Davis.csv,repht:high,weight,119
Davis.csv,repht:high,weight,61
Davis.csv,repht:high,weight,65
Davis.csv,repht:high,weight,66
Davis.csv,repht:high,weight,101
Davis.csv,repht:high,weight,75
Davis.csv,repht:high,weight,79
Davis.csv,repht:high,weight,68
Davis.csv,repht:high,weight,64
Davis.csv,repht:high,weight,69
Davis.csv,repht:high,weight,88
Davis.csv,repht:high,weight,65
Davis.csv,repht:high,weight,80
Davis.csv,repht:high,weight,78
Davis.csv,repht:high,weight,85
Davis.csv,repht:high,weight,54
Davis.csv,repht:high,weight,82
Davis.csv,repht:high,weight,74
Davis.csv,repht:high,weight,102
Davis.csv,repht:high,weight,65
Davis.csv,repht:high,weight,73
Davis.csv,repht:high,weight,75
Davis.csv,repht:high,weight,57
Davis.csv,repht:high,weight,71
Davis.csv,repht:high,weight,71
Davis.csv,repht:high,weight,78
Davis.csv,repht:high,weight,97
Davis.csv,repht:high,weight,80
Davis.csv,repht:high,weight,62
Davis.csv,repht:high,weight,66
Davis.csv,repht:high,weight,69
Davis.csv,repht:high,weight,69
Davis.csv,repht:high,weight,55
Davis.csv,repht:high,weight,53
Davis.csv,repht:high,weight,56
Davis.csv,repht:high,weight,59
Davis.csv,repht:high,weight,62
Davis.csv,repht:high,weight,70
Davis.csv,repht:high,weight,84
Davis.csv,repht:high,weight,69
Davis.csv,repht:high,weight,88
Davis.csv,repht:high,weight,103
Davis.csv,repht:high,weight,63
Davis.csv,repht:high,weight,62
Davis.csv,repht:high,weight,84
Davis.csv,repht:high,weight,79
Davis.csv,repht:high,weight,55
Davis.csv,repht:high,weight,67
Davis.csv,repht:high,weight,83
Davis.csv,repht:high,weight,96
Davis.csv,repht:high,weight,65
Davis.csv,repht:high,weight,78
Davis.csv,repht:high,weight,68
Davis.csv,repht:high,weight,68
Davis.csv,repht:high,weight,87
Davis.csv,repht:high,weight,83
Davis.csv,repht:high,weight,90
Davis.csv,repht:high,weight,85
Davis.csv,repht:high,weight,66
Davis.csv,repht:high,weight,54
Davis.csv,repht:high,weight,64
Davis.csv,repht:high,weight,70
Davis.csv,repht:high,weight,88
Davis.csv,repht:high,weight,69
Davis.csv,repht:high,weight,59
Davis.csv,repht:high,weight,96
Davis.csv,repht:high,weight,61
Davis.csv,repht:high,weight,71
Davis.csv,repht:high,weight,81
Davis.csv,repht:high,weight,68
Davis.csv,repht:high,weight,80
Davis.csv,repht:high,weight,70
Davis.csv,repht:high,weight,76
Davis.csv,repht:high,weight,88
Davis.csv,repht:high,weight,89
Davis.csv,repht:high,weight,74
Davis.csv,repht:high,weight,83
Davis.csv,repht:high,weight,90
Davis.csv,repht:high,weight,79
