fileName,groupName,attributeName,attributeValue
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,165
Davis.csv,sex:M,repht,165
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,170
Davis.csv,sex:M,repht,174
Davis.csv,sex:M,repht,185
Davis.csv,sex:M,repht,200
Davis.csv,sex:M,repht,178
Davis.csv,sex:M,repht,173
Davis.csv,sex:M,repht,170
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,173
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,171
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,188
Davis.csv,sex:M,repht,178
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,183
Davis.csv,sex:M,repht,170
Davis.csv,sex:M,repht,185
Davis.csv,sex:M,repht,172
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,169
Davis.csv,sex:M,repht,170
Davis.csv,sex:M,repht,165
Davis.csv,sex:M,repht,170
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,185
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,183
Davis.csv,sex:M,repht,170
Davis.csv,sex:M,repht,183
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,170
Davis.csv,sex:M,repht,183
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,185
Davis.csv,sex:M,repht,182
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,183
Davis.csv,sex:M,repht,171
Davis.csv,sex:M,repht,179
Davis.csv,sex:M,repht,181
Davis.csv,sex:M,repht,183
Davis.csv,sex:M,repht,165
Davis.csv,sex:M,repht,178
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,165
Davis.csv,sex:M,repht,185
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,185
Davis.csv,sex:M,repht,188
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,183
Davis.csv,sex:M,repht,165
Davis.csv,sex:M,repht,174
Davis.csv,sex:M,repht,161
Davis.csv,sex:M,repht,188
Davis.csv,sex:M,repht,165
Davis.csv,sex:M,repht,170
Davis.csv,sex:M,repht,168
Davis.csv,sex:M,repht,178
Davis.csv,sex:M,repht,165
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,173
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,173
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,188
Davis.csv,sex:M,repht,173
Davis.csv,sex:M,repht,175
Davis.csv,sex:M,repht,180
Davis.csv,sex:M,repht,178
Davis.csv,sex:M,repht,178
Davis.csv,sex:F,repht,159
Davis.csv,sex:F,repht,158
Davis.csv,sex:F,repht,155
Davis.csv,sex:F,repht,163
Davis.csv,sex:F,repht,158
Davis.csv,sex:F,repht,165
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,165
Davis.csv,sex:F,repht,165
Davis.csv,sex:F,repht,171
Davis.csv,sex:F,repht,170
Davis.csv,sex:F,repht,168
Davis.csv,sex:F,repht,165
Davis.csv,sex:F,repht,168
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,153
Davis.csv,sex:F,repht,165
Davis.csv,sex:F,repht,161
Davis.csv,sex:F,repht,170
Davis.csv,sex:F,repht,165
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,159
Davis.csv,sex:F,repht,158
Davis.csv,sex:F,repht,173
Davis.csv,sex:F,repht,158
Davis.csv,sex:F,repht,163
Davis.csv,sex:F,repht,169
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,163
Davis.csv,sex:F,repht,161
Davis.csv,sex:F,repht,155
Davis.csv,sex:F,repht,171
Davis.csv,sex:F,repht,163
Davis.csv,sex:F,repht,159
Davis.csv,sex:F,repht,161
Davis.csv,sex:F,repht,150
Davis.csv,sex:F,repht,158
Davis.csv,sex:F,repht,163
Davis.csv,sex:F,repht,175
Davis.csv,sex:F,repht,163
Davis.csv,sex:F,repht,170
Davis.csv,sex:F,repht,165
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,161
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,165
Davis.csv,sex:F,repht,153
Davis.csv,sex:F,repht,163
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,173
Davis.csv,sex:F,repht,160
Davis.csv,sex:F,repht,150
