fileName,groupName,attributeName,attributeValue
Davis.csv,sex:M,repwt,77
Davis.csv,sex:M,repwt,70
Davis.csv,sex:M,repwt,76
Davis.csv,sex:M,repwt,77
Davis.csv,sex:M,repwt,73
Davis.csv,sex:M,repwt,71
Davis.csv,sex:M,repwt,64
Davis.csv,sex:M,repwt,75
Davis.csv,sex:M,repwt,101
Davis.csv,sex:M,repwt,75
Davis.csv,sex:M,repwt,124
Davis.csv,sex:M,repwt,66
Davis.csv,sex:M,repwt,70
Davis.csv,sex:M,repwt,100
Davis.csv,sex:M,repwt,73
Davis.csv,sex:M,repwt,76
Davis.csv,sex:M,repwt,65
Davis.csv,sex:M,repwt,69
Davis.csv,sex:M,repwt,86
Davis.csv,sex:M,repwt,67
Davis.csv,sex:M,repwt,80
Davis.csv,sex:M,repwt,80
Davis.csv,sex:M,repwt,82
Davis.csv,sex:M,repwt,85
Davis.csv,sex:M,repwt,73
Davis.csv,sex:M,repwt,107
Davis.csv,sex:M,repwt,64
Davis.csv,sex:M,repwt,74
Davis.csv,sex:M,repwt,70
Davis.csv,sex:M,repwt,58
Davis.csv,sex:M,repwt,69
Davis.csv,sex:M,repwt,71
Davis.csv,sex:M,repwt,76
Davis.csv,sex:M,repwt,98
Davis.csv,sex:M,repwt,76
Davis.csv,sex:M,repwt,66
Davis.csv,sex:M,repwt,70
Davis.csv,sex:M,repwt,70
Davis.csv,sex:M,repwt,56
Davis.csv,sex:M,repwt,61
Davis.csv,sex:M,repwt,66
Davis.csv,sex:M,repwt,68
Davis.csv,sex:M,repwt,86
Davis.csv,sex:M,repwt,71
Davis.csv,sex:M,repwt,87
Davis.csv,sex:M,repwt,101
Davis.csv,sex:M,repwt,63
Davis.csv,sex:M,repwt,90
Davis.csv,sex:M,repwt,79
Davis.csv,sex:M,repwt,67
Davis.csv,sex:M,repwt,83
Davis.csv,sex:M,repwt,94
Davis.csv,sex:M,repwt,76
Davis.csv,sex:M,repwt,66
Davis.csv,sex:M,repwt,77
Davis.csv,sex:M,repwt,73
Davis.csv,sex:M,repwt,89
Davis.csv,sex:M,repwt,84
Davis.csv,sex:M,repwt,91
Davis.csv,sex:M,repwt,83
Davis.csv,sex:M,repwt,68
Davis.csv,sex:M,repwt,86
Davis.csv,sex:M,repwt,58
Davis.csv,sex:M,repwt,68
Davis.csv,sex:M,repwt,58
Davis.csv,sex:M,repwt,95
Davis.csv,sex:M,repwt,75
Davis.csv,sex:M,repwt,61
Davis.csv,sex:M,repwt,64
Davis.csv,sex:M,repwt,68
Davis.csv,sex:M,repwt,67
