fileName,groupName,attributeName,attributeValue
Davis.csv,sex:M,weight,77
Davis.csv,sex:M,weight,68
Davis.csv,sex:M,weight,76
Davis.csv,sex:M,weight,76
Davis.csv,sex:M,weight,69
Davis.csv,sex:M,weight,71
Davis.csv,sex:M,weight,65
Davis.csv,sex:M,weight,70
Davis.csv,sex:M,weight,92
Davis.csv,sex:M,weight,76
Davis.csv,sex:M,weight,119
Davis.csv,sex:M,weight,65
Davis.csv,sex:M,weight,66
Davis.csv,sex:M,weight,101
Davis.csv,sex:M,weight,75
Davis.csv,sex:M,weight,79
Davis.csv,sex:M,weight,64
Davis.csv,sex:M,weight,69
Davis.csv,sex:M,weight,88
Davis.csv,sex:M,weight,65
Davis.csv,sex:M,weight,80
Davis.csv,sex:M,weight,78
Davis.csv,sex:M,weight,85
Davis.csv,sex:M,weight,82
Davis.csv,sex:M,weight,74
Davis.csv,sex:M,weight,102
Davis.csv,sex:M,weight,65
Davis.csv,sex:M,weight,73
Davis.csv,sex:M,weight,75
Davis.csv,sex:M,weight,57
Davis.csv,sex:M,weight,68
Davis.csv,sex:M,weight,71
Davis.csv,sex:M,weight,71
Davis.csv,sex:M,weight,97
Davis.csv,sex:M,weight,80
Davis.csv,sex:M,weight,66
Davis.csv,sex:M,weight,69
Davis.csv,sex:M,weight,69
Davis.csv,sex:M,weight,55
Davis.csv,sex:M,weight,59
Davis.csv,sex:M,weight,62
Davis.csv,sex:M,weight,70
Davis.csv,sex:M,weight,84
Davis.csv,sex:M,weight,69
Davis.csv,sex:M,weight,88
Davis.csv,sex:M,weight,103
Davis.csv,sex:M,weight,63
Davis.csv,sex:M,weight,84
Davis.csv,sex:M,weight,79
Davis.csv,sex:M,weight,67
Davis.csv,sex:M,weight,83
Davis.csv,sex:M,weight,96
Davis.csv,sex:M,weight,75
Davis.csv,sex:M,weight,65
Davis.csv,sex:M,weight,78
Davis.csv,sex:M,weight,69
Davis.csv,sex:M,weight,87
Davis.csv,sex:M,weight,83
Davis.csv,sex:M,weight,90
Davis.csv,sex:M,weight,85
Davis.csv,sex:M,weight,66
Davis.csv,sex:M,weight,88
Davis.csv,sex:M,weight,54
Davis.csv,sex:M,weight,69
Davis.csv,sex:M,weight,56
Davis.csv,sex:M,weight,96
Davis.csv,sex:M,weight,76
Davis.csv,sex:M,weight,61
Davis.csv,sex:M,weight,62
Davis.csv,sex:M,weight,71
Davis.csv,sex:M,weight,66
Davis.csv,sex:M,weight,81
Davis.csv,sex:M,weight,68
Davis.csv,sex:M,weight,80
Davis.csv,sex:M,weight,70
Davis.csv,sex:M,weight,76
Davis.csv,sex:M,weight,88
Davis.csv,sex:M,weight,89
Davis.csv,sex:M,weight,74
Davis.csv,sex:M,weight,83
Davis.csv,sex:M,weight,90
Davis.csv,sex:M,weight,79
Davis.csv,sex:F,weight,58
Davis.csv,sex:F,weight,53
Davis.csv,sex:F,weight,59
Davis.csv,sex:F,weight,166
Davis.csv,sex:F,weight,51
Davis.csv,sex:F,weight,64
Davis.csv,sex:F,weight,52
Davis.csv,sex:F,weight,65
Davis.csv,sex:F,weight,62
Davis.csv,sex:F,weight,61
Davis.csv,sex:F,weight,61
Davis.csv,sex:F,weight,54
Davis.csv,sex:F,weight,50
Davis.csv,sex:F,weight,63
Davis.csv,sex:F,weight,58
Davis.csv,sex:F,weight,39
Davis.csv,sex:F,weight,71
Davis.csv,sex:F,weight,52
Davis.csv,sex:F,weight,68
Davis.csv,sex:F,weight,56
Davis.csv,sex:F,weight,54
Davis.csv,sex:F,weight,63
Davis.csv,sex:F,weight,54
Davis.csv,sex:F,weight,54
Davis.csv,sex:F,weight,75
Davis.csv,sex:F,weight,56
Davis.csv,sex:F,weight,78
Davis.csv,sex:F,weight,60
Davis.csv,sex:F,weight,64
Davis.csv,sex:F,weight,64
Davis.csv,sex:F,weight,52
Davis.csv,sex:F,weight,62
Davis.csv,sex:F,weight,55
Davis.csv,sex:F,weight,56
Davis.csv,sex:F,weight,50
Davis.csv,sex:F,weight,50
Davis.csv,sex:F,weight,63
Davis.csv,sex:F,weight,61
Davis.csv,sex:F,weight,53
Davis.csv,sex:F,weight,60
Davis.csv,sex:F,weight,56
Davis.csv,sex:F,weight,53
Davis.csv,sex:F,weight,57
Davis.csv,sex:F,weight,57
Davis.csv,sex:F,weight,56
Davis.csv,sex:F,weight,56
Davis.csv,sex:F,weight,50
Davis.csv,sex:F,weight,52
Davis.csv,sex:F,weight,55
Davis.csv,sex:F,weight,47
Davis.csv,sex:F,weight,45
Davis.csv,sex:F,weight,62
Davis.csv,sex:F,weight,53
Davis.csv,sex:F,weight,52
Davis.csv,sex:F,weight,57
Davis.csv,sex:F,weight,64
Davis.csv,sex:F,weight,59
Davis.csv,sex:F,weight,55
Davis.csv,sex:F,weight,76
Davis.csv,sex:F,weight,62
Davis.csv,sex:F,weight,68
Davis.csv,sex:F,weight,55
Davis.csv,sex:F,weight,45
Davis.csv,sex:F,weight,68
Davis.csv,sex:F,weight,44
Davis.csv,sex:F,weight,62
Davis.csv,sex:F,weight,56
Davis.csv,sex:F,weight,50
Davis.csv,sex:F,weight,53
Davis.csv,sex:F,weight,64
Davis.csv,sex:F,weight,52
Davis.csv,sex:F,weight,53
Davis.csv,sex:F,weight,54
Davis.csv,sex:F,weight,64
Davis.csv,sex:F,weight,55
Davis.csv,sex:F,weight,55
Davis.csv,sex:F,weight,59
Davis.csv,sex:F,weight,70
Davis.csv,sex:F,weight,57
Davis.csv,sex:F,weight,47
Davis.csv,sex:F,weight,47
Davis.csv,sex:F,weight,48
Davis.csv,sex:F,weight,57
Davis.csv,sex:F,weight,51
Davis.csv,sex:F,weight,54
Davis.csv,sex:F,weight,53
Davis.csv,sex:F,weight,59
Davis.csv,sex:F,weight,59
Davis.csv,sex:F,weight,63
Davis.csv,sex:F,weight,66
Davis.csv,sex:F,weight,53
Davis.csv,sex:F,weight,63
Davis.csv,sex:F,weight,56
Davis.csv,sex:F,weight,60
Davis.csv,sex:F,weight,58
Davis.csv,sex:F,weight,50
Davis.csv,sex:F,weight,59
Davis.csv,sex:F,weight,51
Davis.csv,sex:F,weight,62
