fileName,groupName,attributeName,attributeValue
Ericksen.csv,city:state,housing,7.6
Ericksen.csv,city:state,housing,23.6
Ericksen.csv,city:state,housing,8.1
Ericksen.csv,city:state,housing,7
Ericksen.csv,city:state,housing,11.8
Ericksen.csv,city:state,housing,9.2
Ericksen.csv,city:state,housing,21
Ericksen.csv,city:state,housing,8.9
Ericksen.csv,city:state,housing,10.1
Ericksen.csv,city:state,housing,10.2
Ericksen.csv,city:state,housing,17
Ericksen.csv,city:state,housing,9.1
Ericksen.csv,city:state,housing,13.5
Ericksen.csv,city:state,housing,9.9
Ericksen.csv,city:state,housing,10.4
Ericksen.csv,city:state,housing,8.5
Ericksen.csv,city:state,housing,10.6
Ericksen.csv,city:state,housing,9.7
Ericksen.csv,city:state,housing,19.5
Ericksen.csv,city:state,housing,10.5
Ericksen.csv,city:state,housing,26.9
Ericksen.csv,city:state,housing,9.4
Ericksen.csv,city:state,housing,10.7
Ericksen.csv,city:state,housing,7.2
Ericksen.csv,city:state,housing,9.1
Ericksen.csv,city:state,housing,12.8
Ericksen.csv,city:state,housing,9.7
Ericksen.csv,city:state,housing,11.7
Ericksen.csv,city:state,housing,20.3
Ericksen.csv,city:state,housing,23.7
Ericksen.csv,city:state,housing,10.7
Ericksen.csv,city:state,housing,21.6
Ericksen.csv,city:state,housing,8.2
Ericksen.csv,city:state,housing,15.1
Ericksen.csv,city:state,housing,11.3
Ericksen.csv,city:state,housing,8
Ericksen.csv,city:state,housing,7.9
Ericksen.csv,city:state,housing,13.3
Ericksen.csv,city:state,housing,29.6
Ericksen.csv,city:state,housing,7.9
Ericksen.csv,city:state,housing,12
Ericksen.csv,city:state,housing,9.4
Ericksen.csv,city:state,housing,7.7
Ericksen.csv,city:state,housing,11.3
Ericksen.csv,city:state,housing,20.8
Ericksen.csv,city:state,housing,10.3
Ericksen.csv,city:state,housing,9.4
Ericksen.csv,city:state,housing,9
Ericksen.csv,city:state,housing,12.8
Ericksen.csv,city:state,housing,13.2
Ericksen.csv,city:city,housing,23.3
Ericksen.csv,city:city,housing,52.1
Ericksen.csv,city:city,housing,51.4
Ericksen.csv,city:city,housing,36.4
Ericksen.csv,city:city,housing,12.9
Ericksen.csv,city:city,housing,18.6
Ericksen.csv,city:city,housing,8.9
Ericksen.csv,city:city,housing,13.6
Ericksen.csv,city:city,housing,15
Ericksen.csv,city:city,housing,27.2
Ericksen.csv,city:city,housing,32.2
Ericksen.csv,city:city,housing,21.7
Ericksen.csv,city:city,housing,40.9
Ericksen.csv,city:city,housing,11.2
Ericksen.csv,city:city,housing,20.3
Ericksen.csv,city:city,housing,21
