fileName,groupName,attributeName,attributeValue
Ericksen.csv,minority:low,highschool,17.5
Ericksen.csv,minority:low,highschool,21.4
Ericksen.csv,minority:low,highschool,29.7
Ericksen.csv,minority:low,highschool,26.2
Ericksen.csv,minority:low,highschool,26.3
Ericksen.csv,minority:low,highschool,29.8
Ericksen.csv,minority:low,highschool,33.6
Ericksen.csv,minority:low,highschool,28.5
Ericksen.csv,minority:low,highschool,26.7
Ericksen.csv,minority:low,highschool,46.9
Ericksen.csv,minority:low,highschool,31.3
Ericksen.csv,minority:low,highschool,27.4
Ericksen.csv,minority:low,highschool,29.9
Ericksen.csv,minority:low,highschool,26.9
Ericksen.csv,minority:low,highschool,34.9
Ericksen.csv,minority:low,highschool,25.6
Ericksen.csv,minority:low,highschool,26.6
Ericksen.csv,minority:low,highschool,24.5
Ericksen.csv,minority:low,highschool,27.7
Ericksen.csv,minority:low,highschool,29.3
Ericksen.csv,minority:low,highschool,33.6
Ericksen.csv,minority:low,highschool,32.1
Ericksen.csv,minority:low,highschool,34
Ericksen.csv,minority:low,highschool,24.4
Ericksen.csv,minority:low,highschool,33.6
Ericksen.csv,minority:low,highschool,38.9
Ericksen.csv,minority:low,highschool,32.1
Ericksen.csv,minority:low,highschool,20
Ericksen.csv,minority:low,highschool,29
Ericksen.csv,minority:low,highschool,22.4
Ericksen.csv,minority:low,highschool,44
Ericksen.csv,minority:low,highschool,29.5
Ericksen.csv,minority:low,highschool,22.1
Ericksen.csv,minority:high,highschool,43.5
Ericksen.csv,minority:high,highschool,27.6
Ericksen.csv,minority:high,highschool,44.5
Ericksen.csv,minority:high,highschool,26
Ericksen.csv,minority:high,highschool,31.4
Ericksen.csv,minority:high,highschool,33.3
Ericksen.csv,minority:high,highschool,43.6
Ericksen.csv,minority:high,highschool,42.3
Ericksen.csv,minority:high,highschool,28.2
Ericksen.csv,minority:high,highschool,45.2
Ericksen.csv,minority:high,highschool,32.6
Ericksen.csv,minority:high,highschool,31.1
Ericksen.csv,minority:high,highschool,45.2
Ericksen.csv,minority:high,highschool,46.3
Ericksen.csv,minority:high,highschool,43.8
Ericksen.csv,minority:high,highschool,38.7
Ericksen.csv,minority:high,highschool,37.6
Ericksen.csv,minority:high,highschool,51.6
Ericksen.csv,minority:high,highschool,31.6
Ericksen.csv,minority:high,highschool,43.8
Ericksen.csv,minority:high,highschool,49.1
Ericksen.csv,minority:high,highschool,31.5
Ericksen.csv,minority:high,highschool,45.8
Ericksen.csv,minority:high,highschool,31.6
Ericksen.csv,minority:high,highschool,33.3
Ericksen.csv,minority:high,highschool,31.4
Ericksen.csv,minority:high,highschool,46.4
Ericksen.csv,minority:high,highschool,39.8
Ericksen.csv,minority:high,highschool,45.7
Ericksen.csv,minority:high,highschool,51.8
Ericksen.csv,minority:high,highschool,21.1
Ericksen.csv,minority:high,highschool,26
Ericksen.csv,minority:high,highschool,32.9
