fileName,groupName,attributeName,attributeValue
Gasoline.csv,lincomep:low,year,1960
Gasoline.csv,lincomep:low,year,1961
Gasoline.csv,lincomep:low,year,1962
Gasoline.csv,lincomep:low,year,1963
Gasoline.csv,lincomep:low,year,1964
Gasoline.csv,lincomep:low,year,1965
Gasoline.csv,lincomep:low,year,1966
Gasoline.csv,lincomep:low,year,1967
Gasoline.csv,lincomep:low,year,1968
Gasoline.csv,lincomep:low,year,1969
Gasoline.csv,lincomep:low,year,1970
Gasoline.csv,lincomep:low,year,1971
Gasoline.csv,lincomep:low,year,1960
Gasoline.csv,lincomep:low,year,1961
Gasoline.csv,lincomep:low,year,1962
Gasoline.csv,lincomep:low,year,1963
Gasoline.csv,lincomep:low,year,1964
Gasoline.csv,lincomep:low,year,1965
Gasoline.csv,lincomep:low,year,1966
Gasoline.csv,lincomep:low,year,1960
Gasoline.csv,lincomep:low,year,1961
Gasoline.csv,lincomep:low,year,1962
Gasoline.csv,lincomep:low,year,1960
Gasoline.csv,lincomep:low,year,1961
Gasoline.csv,lincomep:low,year,1962
Gasoline.csv,lincomep:low,year,1963
Gasoline.csv,lincomep:low,year,1964
Gasoline.csv,lincomep:low,year,1965
Gasoline.csv,lincomep:low,year,1966
Gasoline.csv,lincomep:low,year,1960
Gasoline.csv,lincomep:low,year,1961
Gasoline.csv,lincomep:low,year,1962
Gasoline.csv,lincomep:low,year,1963
Gasoline.csv,lincomep:low,year,1964
Gasoline.csv,lincomep:low,year,1960
Gasoline.csv,lincomep:low,year,1961
Gasoline.csv,lincomep:low,year,1962
Gasoline.csv,lincomep:low,year,1963
Gasoline.csv,lincomep:low,year,1964
Gasoline.csv,lincomep:low,year,1965
Gasoline.csv,lincomep:low,year,1966
Gasoline.csv,lincomep:low,year,1967
Gasoline.csv,lincomep:low,year,1968
Gasoline.csv,lincomep:low,year,1969
Gasoline.csv,lincomep:low,year,1970
Gasoline.csv,lincomep:low,year,1971
Gasoline.csv,lincomep:low,year,1972
Gasoline.csv,lincomep:low,year,1973
Gasoline.csv,lincomep:low,year,1974
Gasoline.csv,lincomep:low,year,1975
