fileName,groupName,attributeName,attributeValue
Hitters.csv,NewLeague:A,Years,1
Hitters.csv,NewLeague:A,Years,3
Hitters.csv,NewLeague:A,Years,11
Hitters.csv,NewLeague:A,Years,2
Hitters.csv,NewLeague:A,Years,3
Hitters.csv,NewLeague:A,Years,13
Hitters.csv,NewLeague:A,Years,10
Hitters.csv,NewLeague:A,Years,6
Hitters.csv,NewLeague:A,Years,3
Hitters.csv,NewLeague:A,Years,5
Hitters.csv,NewLeague:A,Years,12
Hitters.csv,NewLeague:A,Years,6
Hitters.csv,NewLeague:A,Years,18
Hitters.csv,NewLeague:A,Years,6
Hitters.csv,NewLeague:A,Years,14
Hitters.csv,NewLeague:A,Years,17
Hitters.csv,NewLeague:A,Years,5
Hitters.csv,NewLeague:A,Years,7
Hitters.csv,NewLeague:A,Years,4
Hitters.csv,NewLeague:A,Years,16
Hitters.csv,NewLeague:A,Years,2
Hitters.csv,NewLeague:A,Years,4
Hitters.csv,NewLeague:A,Years,11
Hitters.csv,NewLeague:A,Years,6
Hitters.csv,NewLeague:A,Years,5
Hitters.csv,NewLeague:A,Years,16
Hitters.csv,NewLeague:A,Years,17
Hitters.csv,NewLeague:A,Years,4
Hitters.csv,NewLeague:A,Years,9
Hitters.csv,NewLeague:A,Years,12
Hitters.csv,NewLeague:A,Years,14
Hitters.csv,NewLeague:A,Years,6
Hitters.csv,NewLeague:A,Years,1
Hitters.csv,NewLeague:A,Years,4
Hitters.csv,NewLeague:A,Years,3
Hitters.csv,NewLeague:A,Years,17
Hitters.csv,NewLeague:A,Years,3
Hitters.csv,NewLeague:A,Years,4
Hitters.csv,NewLeague:A,Years,12
Hitters.csv,NewLeague:A,Years,14
Hitters.csv,NewLeague:A,Years,18
Hitters.csv,NewLeague:A,Years,15
Hitters.csv,NewLeague:A,Years,4
Hitters.csv,NewLeague:A,Years,6
Hitters.csv,NewLeague:A,Years,4
Hitters.csv,NewLeague:A,Years,16
Hitters.csv,NewLeague:A,Years,5
Hitters.csv,NewLeague:A,Years,5
Hitters.csv,NewLeague:A,Years,9
Hitters.csv,NewLeague:A,Years,2
Hitters.csv,NewLeague:A,Years,16
