fileName,groupName,attributeName,attributeValue
Hitters.csv,PutOuts:low,Hits,141
Hitters.csv,PutOuts:low,Hits,37
Hitters.csv,PutOuts:low,Hits,73
Hitters.csv,PutOuts:low,Hits,81
Hitters.csv,PutOuts:low,Hits,92
Hitters.csv,PutOuts:low,Hits,113
Hitters.csv,PutOuts:low,Hits,60
Hitters.csv,PutOuts:low,Hits,43
Hitters.csv,PutOuts:low,Hits,39
Hitters.csv,PutOuts:low,Hits,158
Hitters.csv,PutOuts:low,Hits,46
Hitters.csv,PutOuts:low,Hits,32
Hitters.csv,PutOuts:low,Hits,84
Hitters.csv,PutOuts:low,Hits,168
Hitters.csv,PutOuts:low,Hits,106
Hitters.csv,PutOuts:low,Hits,36
Hitters.csv,PutOuts:low,Hits,98
Hitters.csv,PutOuts:low,Hits,61
Hitters.csv,PutOuts:low,Hits,54
Hitters.csv,PutOuts:low,Hits,57
Hitters.csv,PutOuts:low,Hits,132
Hitters.csv,PutOuts:low,Hits,57
Hitters.csv,PutOuts:low,Hits,53
Hitters.csv,PutOuts:low,Hits,7
Hitters.csv,PutOuts:low,Hits,168
Hitters.csv,PutOuts:low,Hits,102
Hitters.csv,PutOuts:low,Hits,58
Hitters.csv,PutOuts:low,Hits,78
Hitters.csv,PutOuts:low,Hits,113
Hitters.csv,PutOuts:low,Hits,44
Hitters.csv,PutOuts:low,Hits,56
Hitters.csv,PutOuts:low,Hits,53
Hitters.csv,PutOuts:low,Hits,3
Hitters.csv,PutOuts:low,Hits,139
Hitters.csv,PutOuts:low,Hits,53
Hitters.csv,PutOuts:low,Hits,142
Hitters.csv,PutOuts:low,Hits,113
Hitters.csv,PutOuts:low,Hits,81
Hitters.csv,PutOuts:low,Hits,131
Hitters.csv,PutOuts:low,Hits,55
Hitters.csv,PutOuts:low,Hits,103
Hitters.csv,PutOuts:low,Hits,96
Hitters.csv,PutOuts:low,Hits,70
Hitters.csv,PutOuts:low,Hits,46
Hitters.csv,PutOuts:low,Hits,82
Hitters.csv,PutOuts:low,Hits,41
Hitters.csv,PutOuts:low,Hits,78
Hitters.csv,PutOuts:low,Hits,138
Hitters.csv,PutOuts:low,Hits,69
Hitters.csv,PutOuts:low,Hits,119
Hitters.csv,PutOuts:low,Hits,49
Hitters.csv,PutOuts:low,Hits,37
Hitters.csv,PutOuts:low,Hits,95
Hitters.csv,PutOuts:low,Hits,51
Hitters.csv,PutOuts:low,Hits,128
Hitters.csv,PutOuts:low,Hits,64
Hitters.csv,PutOuts:low,Hits,171
Hitters.csv,PutOuts:low,Hits,77
Hitters.csv,PutOuts:low,Hits,85
Hitters.csv,PutOuts:low,Hits,96
Hitters.csv,PutOuts:low,Hits,77
Hitters.csv,PutOuts:low,Hits,84
Hitters.csv,PutOuts:low,Hits,126
Hitters.csv,PutOuts:low,Hits,59
Hitters.csv,PutOuts:low,Hits,104
Hitters.csv,PutOuts:low,Hits,54
Hitters.csv,PutOuts:low,Hits,70
Hitters.csv,PutOuts:low,Hits,39
Hitters.csv,PutOuts:low,Hits,40
Hitters.csv,PutOuts:low,Hits,103
Hitters.csv,PutOuts:low,Hits,69
Hitters.csv,PutOuts:low,Hits,45
Hitters.csv,PutOuts:low,Hits,39
Hitters.csv,PutOuts:low,Hits,70
Hitters.csv,PutOuts:low,Hits,61
Hitters.csv,PutOuts:low,Hits,41
Hitters.csv,PutOuts:low,Hits,86
Hitters.csv,PutOuts:low,Hits,95
Hitters.csv,PutOuts:low,Hits,147
Hitters.csv,PutOuts:low,Hits,102
Hitters.csv,PutOuts:low,Hits,94
Hitters.csv,PutOuts:low,Hits,100
Hitters.csv,PutOuts:low,Hits,93
Hitters.csv,PutOuts:low,Hits,163
Hitters.csv,PutOuts:low,Hits,66
Hitters.csv,PutOuts:low,Hits,69
Hitters.csv,PutOuts:low,Hits,47
Hitters.csv,PutOuts:low,Hits,58
Hitters.csv,PutOuts:low,Hits,118
Hitters.csv,PutOuts:low,Hits,150
Hitters.csv,PutOuts:low,Hits,74
Hitters.csv,PutOuts:low,Hits,91
Hitters.csv,PutOuts:low,Hits,159
Hitters.csv,PutOuts:low,Hits,136
Hitters.csv,PutOuts:low,Hits,85
Hitters.csv,PutOuts:low,Hits,64
Hitters.csv,PutOuts:low,Hits,70
Hitters.csv,PutOuts:low,Hits,128
Hitters.csv,PutOuts:low,Hits,34
Hitters.csv,PutOuts:low,Hits,92
Hitters.csv,PutOuts:low,Hits,53
Hitters.csv,PutOuts:low,Hits,56
Hitters.csv,PutOuts:low,Hits,93
Hitters.csv,PutOuts:low,Hits,148
