fileName,groupName,attributeName,attributeValue
Hitters.csv,PutOuts:low,Runs,65
Hitters.csv,PutOuts:low,Runs,23
Hitters.csv,PutOuts:low,Runs,24
Hitters.csv,PutOuts:low,Runs,26
Hitters.csv,PutOuts:low,Runs,49
Hitters.csv,PutOuts:low,Runs,48
Hitters.csv,PutOuts:low,Runs,30
Hitters.csv,PutOuts:low,Runs,29
Hitters.csv,PutOuts:low,Runs,20
Hitters.csv,PutOuts:low,Runs,89
Hitters.csv,PutOuts:low,Runs,24
Hitters.csv,PutOuts:low,Runs,16
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,83
Hitters.csv,PutOuts:low,Runs,38
Hitters.csv,PutOuts:low,Runs,19
Hitters.csv,PutOuts:low,Runs,31
Hitters.csv,PutOuts:low,Runs,34
Hitters.csv,PutOuts:low,Runs,21
Hitters.csv,PutOuts:low,Runs,23
Hitters.csv,PutOuts:low,Runs,57
Hitters.csv,PutOuts:low,Runs,34
Hitters.csv,PutOuts:low,Runs,30
Hitters.csv,PutOuts:low,Runs,1
Hitters.csv,PutOuts:low,Runs,80
Hitters.csv,PutOuts:low,Runs,49
Hitters.csv,PutOuts:low,Runs,28
Hitters.csv,PutOuts:low,Runs,32
Hitters.csv,PutOuts:low,Runs,58
Hitters.csv,PutOuts:low,Runs,21
Hitters.csv,PutOuts:low,Runs,27
Hitters.csv,PutOuts:low,Runs,31
Hitters.csv,PutOuts:low,Runs,1
Hitters.csv,PutOuts:low,Runs,93
Hitters.csv,PutOuts:low,Runs,29
Hitters.csv,PutOuts:low,Runs,67
Hitters.csv,PutOuts:low,Runs,44
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,69
Hitters.csv,PutOuts:low,Runs,24
Hitters.csv,PutOuts:low,Runs,59
Hitters.csv,PutOuts:low,Runs,37
Hitters.csv,PutOuts:low,Runs,49
Hitters.csv,PutOuts:low,Runs,23
Hitters.csv,PutOuts:low,Runs,44
Hitters.csv,PutOuts:low,Runs,21
Hitters.csv,PutOuts:low,Runs,35
Hitters.csv,PutOuts:low,Runs,76
Hitters.csv,PutOuts:low,Runs,24
Hitters.csv,PutOuts:low,Runs,54
Hitters.csv,PutOuts:low,Runs,41
Hitters.csv,PutOuts:low,Runs,15
Hitters.csv,PutOuts:low,Runs,55
Hitters.csv,PutOuts:low,Runs,19
Hitters.csv,PutOuts:low,Runs,70
Hitters.csv,PutOuts:low,Runs,30
Hitters.csv,PutOuts:low,Runs,91
Hitters.csv,PutOuts:low,Runs,45
Hitters.csv,PutOuts:low,Runs,30
Hitters.csv,PutOuts:low,Runs,49
Hitters.csv,PutOuts:low,Runs,36
Hitters.csv,PutOuts:low,Runs,62
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,45
Hitters.csv,PutOuts:low,Runs,50
Hitters.csv,PutOuts:low,Runs,30
Hitters.csv,PutOuts:low,Runs,22
Hitters.csv,PutOuts:low,Runs,18
Hitters.csv,PutOuts:low,Runs,23
Hitters.csv,PutOuts:low,Runs,48
Hitters.csv,PutOuts:low,Runs,33
Hitters.csv,PutOuts:low,Runs,38
Hitters.csv,PutOuts:low,Runs,18
Hitters.csv,PutOuts:low,Runs,32
Hitters.csv,PutOuts:low,Runs,32
Hitters.csv,PutOuts:low,Runs,26
Hitters.csv,PutOuts:low,Runs,33
Hitters.csv,PutOuts:low,Runs,48
Hitters.csv,PutOuts:low,Runs,58
Hitters.csv,PutOuts:low,Runs,56
Hitters.csv,PutOuts:low,Runs,37
Hitters.csv,PutOuts:low,Runs,60
Hitters.csv,PutOuts:low,Runs,35
Hitters.csv,PutOuts:low,Runs,83
Hitters.csv,PutOuts:low,Runs,31
Hitters.csv,PutOuts:low,Runs,32
Hitters.csv,PutOuts:low,Runs,20
Hitters.csv,PutOuts:low,Runs,34
Hitters.csv,PutOuts:low,Runs,84
Hitters.csv,PutOuts:low,Runs,69
Hitters.csv,PutOuts:low,Runs,34
Hitters.csv,PutOuts:low,Runs,51
Hitters.csv,PutOuts:low,Runs,72
Hitters.csv,PutOuts:low,Runs,62
Hitters.csv,PutOuts:low,Runs,69
Hitters.csv,PutOuts:low,Runs,31
Hitters.csv,PutOuts:low,Runs,33
Hitters.csv,PutOuts:low,Runs,67
Hitters.csv,PutOuts:low,Runs,20
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,18
Hitters.csv,PutOuts:low,Runs,22
Hitters.csv,PutOuts:low,Runs,47
Hitters.csv,PutOuts:low,Runs,64
Hitters.csv,PutOuts:low,Runs,25
Hitters.csv,PutOuts:low,Runs,47
Hitters.csv,PutOuts:low,Runs,71
Hitters.csv,PutOuts:low,Runs,0
Hitters.csv,PutOuts:low,Runs,34
Hitters.csv,PutOuts:low,Runs,43
Hitters.csv,PutOuts:low,Runs,46
Hitters.csv,PutOuts:low,Runs,43
Hitters.csv,PutOuts:low,Runs,82
Hitters.csv,PutOuts:low,Runs,62
Hitters.csv,PutOuts:low,Runs,41
Hitters.csv,PutOuts:low,Runs,33
Hitters.csv,PutOuts:low,Runs,35
Hitters.csv,PutOuts:low,Runs,50
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,65
Hitters.csv,PutOuts:low,Runs,2
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,51
Hitters.csv,PutOuts:low,Runs,28
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,35
Hitters.csv,PutOuts:low,Runs,31
Hitters.csv,PutOuts:low,Runs,50
Hitters.csv,PutOuts:low,Runs,32
Hitters.csv,PutOuts:low,Runs,57
Hitters.csv,PutOuts:low,Runs,8
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,38
Hitters.csv,PutOuts:low,Runs,32
Hitters.csv,PutOuts:low,Runs,50
Hitters.csv,PutOuts:low,Runs,59
Hitters.csv,PutOuts:low,Runs,25
Hitters.csv,PutOuts:low,Runs,35
Hitters.csv,PutOuts:low,Runs,54
Hitters.csv,PutOuts:low,Runs,82
Hitters.csv,PutOuts:low,Runs,67
Hitters.csv,PutOuts:low,Runs,42
Hitters.csv,PutOuts:low,Runs,48
Hitters.csv,PutOuts:low,Runs,26
Hitters.csv,PutOuts:low,Runs,26
Hitters.csv,PutOuts:low,Runs,36
Hitters.csv,PutOuts:low,Runs,53
Hitters.csv,PutOuts:low,Runs,24
Hitters.csv,PutOuts:low,Runs,19
Hitters.csv,PutOuts:low,Runs,17
Hitters.csv,PutOuts:low,Runs,56
Hitters.csv,PutOuts:low,Runs,76
Hitters.csv,PutOuts:low,Runs,17
Hitters.csv,PutOuts:low,Runs,14
Hitters.csv,PutOuts:low,Runs,35
Hitters.csv,PutOuts:low,Runs,50
Hitters.csv,PutOuts:low,Runs,37
Hitters.csv,PutOuts:low,Runs,67
Hitters.csv,PutOuts:low,Runs,107
Hitters.csv,PutOuts:low,Runs,61
Hitters.csv,PutOuts:high,Runs,30
Hitters.csv,PutOuts:high,Runs,24
Hitters.csv,PutOuts:high,Runs,66
Hitters.csv,PutOuts:high,Runs,39
Hitters.csv,PutOuts:high,Runs,74
Hitters.csv,PutOuts:high,Runs,107
Hitters.csv,PutOuts:high,Runs,31
Hitters.csv,PutOuts:high,Runs,57
Hitters.csv,PutOuts:high,Runs,72
Hitters.csv,PutOuts:high,Runs,55
Hitters.csv,PutOuts:high,Runs,4
Hitters.csv,PutOuts:high,Runs,60
Hitters.csv,PutOuts:high,Runs,73
Hitters.csv,PutOuts:high,Runs,92
Hitters.csv,PutOuts:high,Runs,32
Hitters.csv,PutOuts:high,Runs,50
Hitters.csv,PutOuts:high,Runs,92
Hitters.csv,PutOuts:high,Runs,90
Hitters.csv,PutOuts:high,Runs,55
Hitters.csv,PutOuts:high,Runs,70
Hitters.csv,PutOuts:high,Runs,23
Hitters.csv,PutOuts:high,Runs,24
Hitters.csv,PutOuts:high,Runs,15
Hitters.csv,PutOuts:high,Runs,32
Hitters.csv,PutOuts:high,Runs,19
Hitters.csv,PutOuts:high,Runs,28
Hitters.csv,PutOuts:high,Runs,46
Hitters.csv,PutOuts:high,Runs,71
Hitters.csv,PutOuts:high,Runs,42
Hitters.csv,PutOuts:high,Runs,45
Hitters.csv,PutOuts:high,Runs,24
Hitters.csv,PutOuts:high,Runs,98
Hitters.csv,PutOuts:high,Runs,12
Hitters.csv,PutOuts:high,Runs,18
Hitters.csv,PutOuts:high,Runs,78
Hitters.csv,PutOuts:high,Runs,86
Hitters.csv,PutOuts:high,Runs,57
Hitters.csv,PutOuts:high,Runs,55
Hitters.csv,PutOuts:high,Runs,70
Hitters.csv,PutOuts:high,Runs,117
Hitters.csv,PutOuts:high,Runs,89
Hitters.csv,PutOuts:high,Runs,50
Hitters.csv,PutOuts:high,Runs,89
Hitters.csv,PutOuts:high,Runs,67
Hitters.csv,PutOuts:high,Runs,39
Hitters.csv,PutOuts:high,Runs,76
Hitters.csv,PutOuts:high,Runs,90
Hitters.csv,PutOuts:high,Runs,27
Hitters.csv,PutOuts:high,Runs,97
Hitters.csv,PutOuts:high,Runs,70
Hitters.csv,PutOuts:high,Runs,61
Hitters.csv,PutOuts:high,Runs,69
Hitters.csv,PutOuts:high,Runs,48
Hitters.csv,PutOuts:high,Runs,67
Hitters.csv,PutOuts:high,Runs,76
Hitters.csv,PutOuts:high,Runs,101
Hitters.csv,PutOuts:high,Runs,33
Hitters.csv,PutOuts:high,Runs,81
Hitters.csv,PutOuts:high,Runs,91
Hitters.csv,PutOuts:high,Runs,63
Hitters.csv,PutOuts:high,Runs,42
Hitters.csv,PutOuts:high,Runs,93
Hitters.csv,PutOuts:high,Runs,37
Hitters.csv,PutOuts:high,Runs,54
Hitters.csv,PutOuts:high,Runs,70
Hitters.csv,PutOuts:high,Runs,72
Hitters.csv,PutOuts:high,Runs,46
Hitters.csv,PutOuts:high,Runs,107
Hitters.csv,PutOuts:high,Runs,65
Hitters.csv,PutOuts:high,Runs,85
Hitters.csv,PutOuts:high,Runs,108
Hitters.csv,PutOuts:high,Runs,34
Hitters.csv,PutOuts:high,Runs,48
Hitters.csv,PutOuts:high,Runs,61
Hitters.csv,PutOuts:high,Runs,80
Hitters.csv,PutOuts:high,Runs,58
Hitters.csv,PutOuts:high,Runs,24
Hitters.csv,PutOuts:high,Runs,67
Hitters.csv,PutOuts:high,Runs,13
Hitters.csv,PutOuts:high,Runs,98
Hitters.csv,PutOuts:high,Runs,35
Hitters.csv,PutOuts:high,Runs,90
Hitters.csv,PutOuts:high,Runs,54
Hitters.csv,PutOuts:high,Runs,23
