fileName,groupName,attributeName,attributeValue
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
Kakadu.csv,lower:low,answer,nn
