fileName,groupName,attributeName,attributeValue
Markets.csv,Nik225ch:low,lagNik,61
Markets.csv,Nik225ch:low,lagNik,80
Markets.csv,Nik225ch:low,lagNik,16
Markets.csv,Nik225ch:low,lagNik,179
Markets.csv,Nik225ch:low,lagNik,343
Markets.csv,Nik225ch:low,lagNik,142
Markets.csv,Nik225ch:low,lagNik,60
Markets.csv,Nik225ch:low,lagNik,38
Markets.csv,Nik225ch:low,lagNik,-250
Markets.csv,Nik225ch:low,lagNik,-66
Markets.csv,Nik225ch:low,lagNik,72
Markets.csv,Nik225ch:low,lagNik,202
Markets.csv,Nik225ch:low,lagNik,-69
Markets.csv,Nik225ch:low,lagNik,173
Markets.csv,Nik225ch:low,lagNik,174
Markets.csv,Nik225ch:low,lagNik,-278
Markets.csv,Nik225ch:low,lagNik,33
Markets.csv,Nik225ch:low,lagNik,-155
Markets.csv,Nik225ch:low,lagNik,-247
Markets.csv,Nik225ch:low,lagNik,60
Markets.csv,Nik225ch:low,lagNik,19
Markets.csv,Nik225ch:low,lagNik,100
Markets.csv,Nik225ch:low,lagNik,-3
Markets.csv,Nik225ch:low,lagNik,80
Markets.csv,Nik225ch:low,lagNik,-150
Markets.csv,Nik225ch:low,lagNik,-137
Markets.csv,Nik225ch:low,lagNik,144
Markets.csv,Nik225ch:high,lagNik,-122
Markets.csv,Nik225ch:high,lagNik,136
Markets.csv,Nik225ch:high,lagNik,24
Markets.csv,Nik225ch:high,lagNik,112
Markets.csv,Nik225ch:high,lagNik,-150
Markets.csv,Nik225ch:high,lagNik,82
Markets.csv,Nik225ch:high,lagNik,-329
Markets.csv,Nik225ch:high,lagNik,-81
Markets.csv,Nik225ch:high,lagNik,-145
Markets.csv,Nik225ch:high,lagNik,-84
Markets.csv,Nik225ch:high,lagNik,-166
Markets.csv,Nik225ch:high,lagNik,-42
Markets.csv,Nik225ch:high,lagNik,-28
Markets.csv,Nik225ch:high,lagNik,-81
Markets.csv,Nik225ch:high,lagNik,-242
Markets.csv,Nik225ch:high,lagNik,16
Markets.csv,Nik225ch:high,lagNik,53
Markets.csv,Nik225ch:high,lagNik,-256
Markets.csv,Nik225ch:high,lagNik,91
Markets.csv,Nik225ch:high,lagNik,-57
Markets.csv,Nik225ch:high,lagNik,17
Markets.csv,Nik225ch:high,lagNik,108
Markets.csv,Nik225ch:high,lagNik,33
Markets.csv,Nik225ch:high,lagNik,-16
Markets.csv,Nik225ch:high,lagNik,178
Markets.csv,Nik225ch:high,lagNik,-21
Markets.csv,Nik225ch:high,lagNik,-66
Markets.csv,Nik225ch:high,lagNik,16
Markets.csv,Nik225ch:high,lagNik,-184
