fileName,groupName,attributeName,attributeValue
Mroz.csv,work:yes,hoursh,2550
Mroz.csv,work:yes,hoursh,1928
Mroz.csv,work:yes,hoursh,1100
Mroz.csv,work:yes,hoursh,3193
Mroz.csv,work:yes,hoursh,2250
Mroz.csv,work:yes,hoursh,2012
Mroz.csv,work:yes,hoursh,3856
Mroz.csv,work:yes,hoursh,1645
Mroz.csv,work:yes,hoursh,1554
Mroz.csv,work:yes,hoursh,2352
Mroz.csv,work:yes,hoursh,1980
Mroz.csv,work:yes,hoursh,2352
Mroz.csv,work:yes,hoursh,1784
Mroz.csv,work:yes,hoursh,2500
Mroz.csv,work:yes,hoursh,2088
Mroz.csv,work:yes,hoursh,4640
Mroz.csv,work:yes,hoursh,3900
Mroz.csv,work:yes,hoursh,1988
Mroz.csv,work:yes,hoursh,1920
Mroz.csv,work:yes,hoursh,2400
Mroz.csv,work:yes,hoursh,1867
Mroz.csv,work:yes,hoursh,3570
Mroz.csv,work:yes,hoursh,2805
Mroz.csv,work:yes,hoursh,1110
Mroz.csv,work:yes,hoursh,2695
Mroz.csv,work:yes,hoursh,1950
Mroz.csv,work:yes,hoursh,2128
Mroz.csv,work:yes,hoursh,3260
Mroz.csv,work:yes,hoursh,1987
Mroz.csv,work:yes,hoursh,2185
Mroz.csv,work:yes,hoursh,2475
Mroz.csv,work:yes,hoursh,2610
Mroz.csv,work:yes,hoursh,1920
Mroz.csv,work:yes,hoursh,2352
Mroz.csv,work:yes,hoursh,3160
Mroz.csv,work:yes,hoursh,1040
Mroz.csv,work:yes,hoursh,3120
Mroz.csv,work:yes,hoursh,2240
Mroz.csv,work:yes,hoursh,1980
Mroz.csv,work:yes,hoursh,1960
Mroz.csv,work:yes,hoursh,2940
Mroz.csv,work:yes,hoursh,2467
Mroz.csv,work:yes,hoursh,2256
Mroz.csv,work:yes,hoursh,1680
Mroz.csv,work:yes,hoursh,2250
Mroz.csv,work:yes,hoursh,2400
Mroz.csv,work:yes,hoursh,2196
Mroz.csv,work:yes,hoursh,2400
Mroz.csv,work:yes,hoursh,3825
Mroz.csv,work:yes,hoursh,2860
Mroz.csv,work:yes,hoursh,2750
Mroz.csv,work:yes,hoursh,2103
Mroz.csv,work:yes,hoursh,1880
Mroz.csv,work:yes,hoursh,3185
Mroz.csv,work:yes,hoursh,2677
Mroz.csv,work:yes,hoursh,3600
Mroz.csv,work:yes,hoursh,4334
Mroz.csv,work:yes,hoursh,2874
Mroz.csv,work:yes,hoursh,1936
Mroz.csv,work:yes,hoursh,1964
Mroz.csv,work:yes,hoursh,1900
Mroz.csv,work:yes,hoursh,2500
Mroz.csv,work:yes,hoursh,3173
Mroz.csv,work:yes,hoursh,2916
Mroz.csv,work:yes,hoursh,2208
Mroz.csv,work:yes,hoursh,2094
Mroz.csv,work:yes,hoursh,2250
Mroz.csv,work:yes,hoursh,2000
Mroz.csv,work:yes,hoursh,2600
Mroz.csv,work:yes,hoursh,4368
Mroz.csv,work:yes,hoursh,3068
Mroz.csv,work:yes,hoursh,2218
Mroz.csv,work:yes,hoursh,1848
Mroz.csv,work:yes,hoursh,2430
Mroz.csv,work:yes,hoursh,2640
Mroz.csv,work:yes,hoursh,2108
Mroz.csv,work:yes,hoursh,1998
Mroz.csv,work:yes,hoursh,2500
Mroz.csv,work:yes,hoursh,1665
Mroz.csv,work:yes,hoursh,2990
Mroz.csv,work:yes,hoursh,1795
Mroz.csv,work:yes,hoursh,2500
Mroz.csv,work:yes,hoursh,2205
Mroz.csv,work:yes,hoursh,2460
Mroz.csv,work:yes,hoursh,1880
Mroz.csv,work:yes,hoursh,3481
Mroz.csv,work:yes,hoursh,2450
Mroz.csv,work:yes,hoursh,2062
Mroz.csv,work:yes,hoursh,2146
Mroz.csv,work:yes,hoursh,1575
Mroz.csv,work:yes,hoursh,3096
Mroz.csv,work:yes,hoursh,3280
Mroz.csv,work:yes,hoursh,1680
Mroz.csv,work:yes,hoursh,2625
Mroz.csv,work:yes,hoursh,1846
Mroz.csv,work:yes,hoursh,2178
Mroz.csv,work:yes,hoursh,960
Mroz.csv,work:yes,hoursh,2210
Mroz.csv,work:yes,hoursh,2192
Mroz.csv,work:yes,hoursh,1960
Mroz.csv,work:yes,hoursh,1920
Mroz.csv,work:yes,hoursh,2286
Mroz.csv,work:yes,hoursh,2000
Mroz.csv,work:yes,hoursh,2256
Mroz.csv,work:yes,hoursh,2370
Mroz.csv,work:yes,hoursh,1800
Mroz.csv,work:yes,hoursh,2250
Mroz.csv,work:yes,hoursh,1080
Mroz.csv,work:yes,hoursh,2840
Mroz.csv,work:yes,hoursh,2250
Mroz.csv,work:yes,hoursh,2746
Mroz.csv,work:yes,hoursh,2300
Mroz.csv,work:yes,hoursh,2860
Mroz.csv,work:yes,hoursh,1765
Mroz.csv,work:yes,hoursh,2520
Mroz.csv,work:yes,hoursh,2208
Mroz.csv,work:yes,hoursh,2119
Mroz.csv,work:yes,hoursh,2580
Mroz.csv,work:yes,hoursh,1984
Mroz.csv,work:yes,hoursh,1880
Mroz.csv,work:yes,hoursh,2185
Mroz.csv,work:yes,hoursh,2080
Mroz.csv,work:yes,hoursh,1920
Mroz.csv,work:yes,hoursh,3000
Mroz.csv,work:yes,hoursh,2100
Mroz.csv,work:yes,hoursh,1690
Mroz.csv,work:yes,hoursh,2600
Mroz.csv,work:yes,hoursh,1984
Mroz.csv,work:yes,hoursh,2064
Mroz.csv,work:yes,hoursh,2553
Mroz.csv,work:yes,hoursh,2776
Mroz.csv,work:yes,hoursh,2315
Mroz.csv,work:yes,hoursh,1880
Mroz.csv,work:yes,hoursh,2160
