fileName,groupName,attributeName,attributeValue
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,1
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,1
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,10
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,10
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,11
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,10
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,11
OME.csv,OME:low,Trials,9
OME.csv,OME:low,Trials,11
OME.csv,OME:low,Trials,9
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,10
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,9
OME.csv,OME:low,Trials,10
OME.csv,OME:low,Trials,9
OME.csv,OME:low,Trials,14
OME.csv,OME:low,Trials,11
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,11
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,1
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,10
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,4
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,9
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,6
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,11
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,10
OME.csv,OME:low,Trials,10
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,9
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,13
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,7
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,8
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,1
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,1
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,3
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,2
OME.csv,OME:low,Trials,5
OME.csv,OME:low,Trials,1
OME.csv,OME:low,Trials,2
