fileName,groupName,attributeName,attributeValue
Pima.te.csv,age:low,bmi,28.1
Pima.te.csv,age:low,bmi,31
Pima.te.csv,age:low,bmi,39.3
Pima.te.csv,age:low,bmi,23.2
Pima.te.csv,age:low,bmi,24.8
Pima.te.csv,age:low,bmi,38.2
Pima.te.csv,age:low,bmi,34
Pima.te.csv,age:low,bmi,42
Pima.te.csv,age:low,bmi,28
Pima.te.csv,age:low,bmi,19.4
Pima.te.csv,age:low,bmi,24.2
Pima.te.csv,age:low,bmi,23
Pima.te.csv,age:low,bmi,41.5
Pima.te.csv,age:low,bmi,19.6
Pima.te.csv,age:low,bmi,28.9
Pima.te.csv,age:low,bmi,35.1
Pima.te.csv,age:low,bmi,37.7
Pima.te.csv,age:low,bmi,25
Pima.te.csv,age:low,bmi,22.4
Pima.te.csv,age:low,bmi,24.6
Pima.te.csv,age:low,bmi,38.5
Pima.te.csv,age:low,bmi,31.6
Pima.te.csv,age:low,bmi,28.7
Pima.te.csv,age:low,bmi,26.6
Pima.te.csv,age:low,bmi,28.7
Pima.te.csv,age:low,bmi,31.2
Pima.te.csv,age:low,bmi,28.2
Pima.te.csv,age:low,bmi,53.2
Pima.te.csv,age:low,bmi,33.6
Pima.te.csv,age:low,bmi,55
Pima.te.csv,age:low,bmi,30.8
Pima.te.csv,age:low,bmi,28.7
Pima.te.csv,age:low,bmi,32.5
Pima.te.csv,age:low,bmi,27.3
Pima.te.csv,age:low,bmi,40.6
Pima.te.csv,age:low,bmi,29
Pima.te.csv,age:low,bmi,44.2
Pima.te.csv,age:low,bmi,67.1
Pima.te.csv,age:low,bmi,34.8
Pima.te.csv,age:low,bmi,31
Pima.te.csv,age:low,bmi,23.9
Pima.te.csv,age:low,bmi,27.7
Pima.te.csv,age:low,bmi,42.8
Pima.te.csv,age:low,bmi,35.8
Pima.te.csv,age:low,bmi,23.6
Pima.te.csv,age:low,bmi,34.6
Pima.te.csv,age:low,bmi,37.2
Pima.te.csv,age:low,bmi,45.2
Pima.te.csv,age:low,bmi,29.7
Pima.te.csv,age:low,bmi,44.1
Pima.te.csv,age:low,bmi,29.2
Pima.te.csv,age:low,bmi,33.1
Pima.te.csv,age:low,bmi,52.3
Pima.te.csv,age:low,bmi,30.1
Pima.te.csv,age:low,bmi,24.4
Pima.te.csv,age:low,bmi,33.6
Pima.te.csv,age:low,bmi,32.1
Pima.te.csv,age:low,bmi,40
Pima.te.csv,age:low,bmi,25.2
Pima.te.csv,age:low,bmi,40.5
Pima.te.csv,age:low,bmi,27.8
Pima.te.csv,age:low,bmi,25.3
Pima.te.csv,age:low,bmi,20.8
Pima.te.csv,age:low,bmi,36.9
Pima.te.csv,age:low,bmi,36.6
Pima.te.csv,age:low,bmi,30.7
Pima.te.csv,age:low,bmi,31.6
Pima.te.csv,age:low,bmi,30.5
Pima.te.csv,age:low,bmi,26.6
Pima.te.csv,age:low,bmi,29.5
Pima.te.csv,age:low,bmi,35.7
Pima.te.csv,age:low,bmi,25.6
Pima.te.csv,age:low,bmi,45.5
Pima.te.csv,age:low,bmi,32.7
Pima.te.csv,age:low,bmi,23.9
Pima.te.csv,age:low,bmi,25.9
Pima.te.csv,age:low,bmi,28.7
Pima.te.csv,age:low,bmi,21.8
Pima.te.csv,age:low,bmi,27.5
Pima.te.csv,age:low,bmi,38.4
Pima.te.csv,age:low,bmi,35.8
Pima.te.csv,age:low,bmi,25.2
Pima.te.csv,age:low,bmi,37.2
Pima.te.csv,age:low,bmi,20
Pima.te.csv,age:low,bmi,25.1
Pima.te.csv,age:low,bmi,24.3
Pima.te.csv,age:low,bmi,22.3
Pima.te.csv,age:low,bmi,23.7
Pima.te.csv,age:low,bmi,27.7
Pima.te.csv,age:low,bmi,34.9
Pima.te.csv,age:low,bmi,34.4
Pima.te.csv,age:low,bmi,42.4
Pima.te.csv,age:low,bmi,35.7
Pima.te.csv,age:low,bmi,45.3
Pima.te.csv,age:low,bmi,26
Pima.te.csv,age:low,bmi,40.6
Pima.te.csv,age:low,bmi,30
Pima.te.csv,age:low,bmi,33.2
Pima.te.csv,age:low,bmi,59.4
Pima.te.csv,age:low,bmi,33.6
Pima.te.csv,age:low,bmi,30.5
Pima.te.csv,age:low,bmi,21.2
Pima.te.csv,age:low,bmi,39.9
