fileName,groupName,attributeName,attributeValue
Pima.te.csv,age:low,bp,66
Pima.te.csv,age:low,bp,50
Pima.te.csv,age:low,bp,88
Pima.te.csv,age:low,bp,66
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,66
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,80
Pima.te.csv,age:low,bp,50
Pima.te.csv,age:low,bp,50
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,66
Pima.te.csv,age:low,bp,85
Pima.te.csv,age:low,bp,86
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,66
Pima.te.csv,age:low,bp,44
Pima.te.csv,age:low,bp,65
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,50
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,56
Pima.te.csv,age:low,bp,76
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,76
Pima.te.csv,age:low,bp,74
Pima.te.csv,age:low,bp,30
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,52
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,82
Pima.te.csv,age:low,bp,74
Pima.te.csv,age:low,bp,80
Pima.te.csv,age:low,bp,110
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,80
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,85
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,66
Pima.te.csv,age:low,bp,78
Pima.te.csv,age:low,bp,52
Pima.te.csv,age:low,bp,80
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,90
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,90
Pima.te.csv,age:low,bp,86
Pima.te.csv,age:low,bp,80
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,56
Pima.te.csv,age:low,bp,88
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,84
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,74
Pima.te.csv,age:low,bp,50
Pima.te.csv,age:low,bp,75
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,86
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,46
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,86
Pima.te.csv,age:low,bp,82
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,82
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,54
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,84
Pima.te.csv,age:low,bp,84
Pima.te.csv,age:low,bp,88
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,74
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,78
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,74
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,56
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,82
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,65
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,90
Pima.te.csv,age:low,bp,54
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,56
Pima.te.csv,age:low,bp,80
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,90
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,68
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,86
Pima.te.csv,age:low,bp,44
Pima.te.csv,age:low,bp,78
Pima.te.csv,age:low,bp,52
Pima.te.csv,age:low,bp,24
Pima.te.csv,age:low,bp,88
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,78
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,82
Pima.te.csv,age:low,bp,80
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:low,bp,65
Pima.te.csv,age:low,bp,78
Pima.te.csv,age:low,bp,82
Pima.te.csv,age:low,bp,72
Pima.te.csv,age:low,bp,50
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,52
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,80
Pima.te.csv,age:low,bp,100
Pima.te.csv,age:low,bp,76
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,74
Pima.te.csv,age:low,bp,46
Pima.te.csv,age:low,bp,64
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,78
Pima.te.csv,age:low,bp,84
Pima.te.csv,age:low,bp,88
Pima.te.csv,age:low,bp,56
Pima.te.csv,age:low,bp,86
Pima.te.csv,age:low,bp,60
Pima.te.csv,age:low,bp,44
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,94
Pima.te.csv,age:low,bp,62
Pima.te.csv,age:low,bp,88
Pima.te.csv,age:low,bp,58
Pima.te.csv,age:low,bp,70
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,66
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,84
Pima.te.csv,age:high,bp,30
Pima.te.csv,age:high,bp,80
Pima.te.csv,age:high,bp,75
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,60
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,92
Pima.te.csv,age:high,bp,110
Pima.te.csv,age:high,bp,66
Pima.te.csv,age:high,bp,66
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,88
Pima.te.csv,age:high,bp,66
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,80
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,90
Pima.te.csv,age:high,bp,58
Pima.te.csv,age:high,bp,54
Pima.te.csv,age:high,bp,88
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,82
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,86
Pima.te.csv,age:high,bp,88
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,90
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,98
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,60
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,80
Pima.te.csv,age:high,bp,84
Pima.te.csv,age:high,bp,50
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,85
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,56
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,86
Pima.te.csv,age:high,bp,60
Pima.te.csv,age:high,bp,88
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,86
Pima.te.csv,age:high,bp,62
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,80
Pima.te.csv,age:high,bp,66
Pima.te.csv,age:high,bp,90
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,88
Pima.te.csv,age:high,bp,50
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,108
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,54
Pima.te.csv,age:high,bp,100
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,100
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,56
Pima.te.csv,age:high,bp,84
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,90
Pima.te.csv,age:high,bp,82
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,82
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,104
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,82
Pima.te.csv,age:high,bp,86
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,88
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,90
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,88
Pima.te.csv,age:high,bp,90
Pima.te.csv,age:high,bp,85
Pima.te.csv,age:high,bp,78
Pima.te.csv,age:high,bp,90
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,64
Pima.te.csv,age:high,bp,68
Pima.te.csv,age:high,bp,60
Pima.te.csv,age:high,bp,44
Pima.te.csv,age:high,bp,86
Pima.te.csv,age:high,bp,84
Pima.te.csv,age:high,bp,72
Pima.te.csv,age:high,bp,58
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,82
Pima.te.csv,age:high,bp,88
Pima.te.csv,age:high,bp,76
Pima.te.csv,age:high,bp,74
Pima.te.csv,age:high,bp,84
Pima.te.csv,age:high,bp,82
Pima.te.csv,age:high,bp,70
Pima.te.csv,age:high,bp,58
