fileName,groupName,attributeName,attributeValue
Pima.te.csv,type:Yes,bmi,33.6
Pima.te.csv,type:Yes,bmi,31
Pima.te.csv,type:Yes,bmi,30.5
Pima.te.csv,type:Yes,bmi,25.8
Pima.te.csv,type:Yes,bmi,45.8
Pima.te.csv,type:Yes,bmi,29
Pima.te.csv,type:Yes,bmi,32.9
Pima.te.csv,type:Yes,bmi,38.2
Pima.te.csv,type:Yes,bmi,37.1
Pima.te.csv,type:Yes,bmi,45.4
Pima.te.csv,type:Yes,bmi,42
Pima.te.csv,type:Yes,bmi,32.5
Pima.te.csv,type:Yes,bmi,32.9
Pima.te.csv,type:Yes,bmi,37.1
Pima.te.csv,type:Yes,bmi,49.7
Pima.te.csv,type:Yes,bmi,30.5
Pima.te.csv,type:Yes,bmi,53.2
Pima.te.csv,type:Yes,bmi,55
Pima.te.csv,type:Yes,bmi,34.5
Pima.te.csv,type:Yes,bmi,29.7
Pima.te.csv,type:Yes,bmi,34.5
Pima.te.csv,type:Yes,bmi,34.3
Pima.te.csv,type:Yes,bmi,50
Pima.te.csv,type:Yes,bmi,40.9
Pima.te.csv,type:Yes,bmi,29.9
Pima.te.csv,type:Yes,bmi,32.7
Pima.te.csv,type:Yes,bmi,67.1
Pima.te.csv,type:Yes,bmi,32
Pima.te.csv,type:Yes,bmi,27.9
Pima.te.csv,type:Yes,bmi,34.8
Pima.te.csv,type:Yes,bmi,37.5
Pima.te.csv,type:Yes,bmi,35.8
Pima.te.csv,type:Yes,bmi,29
Pima.te.csv,type:Yes,bmi,37.2
Pima.te.csv,type:Yes,bmi,46.2
Pima.te.csv,type:Yes,bmi,35.9
Pima.te.csv,type:Yes,bmi,44.1
Pima.te.csv,type:Yes,bmi,27.1
Pima.te.csv,type:Yes,bmi,30
Pima.te.csv,type:Yes,bmi,33.6
Pima.te.csv,type:Yes,bmi,33.3
Pima.te.csv,type:Yes,bmi,45.6
Pima.te.csv,type:Yes,bmi,26.5
Pima.te.csv,type:Yes,bmi,45.6
Pima.te.csv,type:Yes,bmi,36.6
Pima.te.csv,type:Yes,bmi,28
Pima.te.csv,type:Yes,bmi,31.6
Pima.te.csv,type:Yes,bmi,25.5
Pima.te.csv,type:Yes,bmi,30.5
Pima.te.csv,type:Yes,bmi,32.9
Pima.te.csv,type:Yes,bmi,26.6
Pima.te.csv,type:Yes,bmi,35.9
Pima.te.csv,type:Yes,bmi,26.8
Pima.te.csv,type:Yes,bmi,35.1
Pima.te.csv,type:Yes,bmi,45.5
Pima.te.csv,type:Yes,bmi,33.3
Pima.te.csv,type:Yes,bmi,36.5
Pima.te.csv,type:Yes,bmi,31.2
Pima.te.csv,type:Yes,bmi,38.4
Pima.te.csv,type:Yes,bmi,32.3
Pima.te.csv,type:Yes,bmi,43.3
Pima.te.csv,type:Yes,bmi,34.9
Pima.te.csv,type:Yes,bmi,35
Pima.te.csv,type:Yes,bmi,42.4
Pima.te.csv,type:Yes,bmi,35.7
Pima.te.csv,type:Yes,bmi,38.5
Pima.te.csv,type:Yes,bmi,26.4
Pima.te.csv,type:Yes,bmi,42.9
Pima.te.csv,type:Yes,bmi,34.1
Pima.te.csv,type:Yes,bmi,35
Pima.te.csv,type:Yes,bmi,34.3
Pima.te.csv,type:Yes,bmi,59.4
Pima.te.csv,type:Yes,bmi,33.6
Pima.te.csv,type:Yes,bmi,35.5
Pima.te.csv,type:Yes,bmi,42.3
Pima.te.csv,type:Yes,bmi,28.9
Pima.te.csv,type:Yes,bmi,29.7
Pima.te.csv,type:Yes,bmi,31.6
Pima.te.csv,type:Yes,bmi,30.3
Pima.te.csv,type:Yes,bmi,32.4
Pima.te.csv,type:Yes,bmi,34.9
Pima.te.csv,type:Yes,bmi,34.5
Pima.te.csv,type:Yes,bmi,43.6
Pima.te.csv,type:Yes,bmi,33.3
Pima.te.csv,type:Yes,bmi,46.8
Pima.te.csv,type:Yes,bmi,40
Pima.te.csv,type:Yes,bmi,32.9
Pima.te.csv,type:Yes,bmi,36.1
Pima.te.csv,type:Yes,bmi,28.2
Pima.te.csv,type:Yes,bmi,40.9
Pima.te.csv,type:Yes,bmi,37.8
Pima.te.csv,type:Yes,bmi,28.3
Pima.te.csv,type:Yes,bmi,38.7
Pima.te.csv,type:Yes,bmi,32.5
Pima.te.csv,type:Yes,bmi,27.5
Pima.te.csv,type:Yes,bmi,49.6
Pima.te.csv,type:Yes,bmi,30.4
Pima.te.csv,type:Yes,bmi,29.9
Pima.te.csv,type:Yes,bmi,38
Pima.te.csv,type:Yes,bmi,41.2
Pima.te.csv,type:Yes,bmi,33.9
Pima.te.csv,type:Yes,bmi,33.8
Pima.te.csv,type:Yes,bmi,44.5
Pima.te.csv,type:Yes,bmi,42.3
Pima.te.csv,type:Yes,bmi,49.3
Pima.te.csv,type:Yes,bmi,36.4
Pima.te.csv,type:Yes,bmi,43.3
Pima.te.csv,type:Yes,bmi,36.5
Pima.te.csv,type:Yes,bmi,44
Pima.te.csv,type:No,bmi,26.6
Pima.te.csv,type:No,bmi,28.1
Pima.te.csv,type:No,bmi,43.3
Pima.te.csv,type:No,bmi,39.3
Pima.te.csv,type:No,bmi,23.2
Pima.te.csv,type:No,bmi,36
Pima.te.csv,type:No,bmi,24.8
Pima.te.csv,type:No,bmi,27.6
Pima.te.csv,type:No,bmi,24
Pima.te.csv,type:No,bmi,34
Pima.te.csv,type:No,bmi,22.7
Pima.te.csv,type:No,bmi,28
Pima.te.csv,type:No,bmi,19.4
Pima.te.csv,type:No,bmi,24.2
Pima.te.csv,type:No,bmi,24.4
Pima.te.csv,type:No,bmi,34.7
Pima.te.csv,type:No,bmi,23
Pima.te.csv,type:No,bmi,41.5
Pima.te.csv,type:No,bmi,29
Pima.te.csv,type:No,bmi,19.6
Pima.te.csv,type:No,bmi,28.9
Pima.te.csv,type:No,bmi,35.1
Pima.te.csv,type:No,bmi,37.7
Pima.te.csv,type:No,bmi,25
Pima.te.csv,type:No,bmi,22.4
Pima.te.csv,type:No,bmi,29.3
Pima.te.csv,type:No,bmi,24.6
Pima.te.csv,type:No,bmi,36.6
Pima.te.csv,type:No,bmi,38.5
Pima.te.csv,type:No,bmi,32
Pima.te.csv,type:No,bmi,46.7
Pima.te.csv,type:No,bmi,31.6
Pima.te.csv,type:No,bmi,28.7
Pima.te.csv,type:No,bmi,26.6
Pima.te.csv,type:No,bmi,28.7
Pima.te.csv,type:No,bmi,29.5
Pima.te.csv,type:No,bmi,31.2
Pima.te.csv,type:No,bmi,28.2
Pima.te.csv,type:No,bmi,33.6
Pima.te.csv,type:No,bmi,38.3
Pima.te.csv,type:No,bmi,30.8
Pima.te.csv,type:No,bmi,28.7
Pima.te.csv,type:No,bmi,39.5
Pima.te.csv,type:No,bmi,32.5
Pima.te.csv,type:No,bmi,30.5
Pima.te.csv,type:No,bmi,27.3
Pima.te.csv,type:No,bmi,40.6
Pima.te.csv,type:No,bmi,29
Pima.te.csv,type:No,bmi,29.7
Pima.te.csv,type:No,bmi,37.2
Pima.te.csv,type:No,bmi,44.2
Pima.te.csv,type:No,bmi,29.7
Pima.te.csv,type:No,bmi,31
Pima.te.csv,type:No,bmi,27.3
Pima.te.csv,type:No,bmi,23.9
Pima.te.csv,type:No,bmi,27.7
Pima.te.csv,type:No,bmi,42.8
Pima.te.csv,type:No,bmi,30
Pima.te.csv,type:No,bmi,28.8
Pima.te.csv,type:No,bmi,23.6
Pima.te.csv,type:No,bmi,34.6
Pima.te.csv,type:No,bmi,36.7
Pima.te.csv,type:No,bmi,45.2
Pima.te.csv,type:No,bmi,29.7
Pima.te.csv,type:No,bmi,29.2
Pima.te.csv,type:No,bmi,33.1
Pima.te.csv,type:No,bmi,38.2
Pima.te.csv,type:No,bmi,52.3
Pima.te.csv,type:No,bmi,35.4
Pima.te.csv,type:No,bmi,30.1
Pima.te.csv,type:No,bmi,24.4
Pima.te.csv,type:No,bmi,30.1
Pima.te.csv,type:No,bmi,32.1
Pima.te.csv,type:No,bmi,33.6
Pima.te.csv,type:No,bmi,40
Pima.te.csv,type:No,bmi,25.2
Pima.te.csv,type:No,bmi,40.5
Pima.te.csv,type:No,bmi,27.8
Pima.te.csv,type:No,bmi,25.3
Pima.te.csv,type:No,bmi,32.4
Pima.te.csv,type:No,bmi,26
Pima.te.csv,type:No,bmi,20.8
Pima.te.csv,type:No,bmi,36.9
Pima.te.csv,type:No,bmi,35.5
Pima.te.csv,type:No,bmi,30.7
Pima.te.csv,type:No,bmi,39.7
Pima.te.csv,type:No,bmi,29.5
Pima.te.csv,type:No,bmi,38.1
Pima.te.csv,type:No,bmi,35.7
Pima.te.csv,type:No,bmi,25.6
Pima.te.csv,type:No,bmi,30.8
Pima.te.csv,type:No,bmi,23.1
Pima.te.csv,type:No,bmi,32.7
Pima.te.csv,type:No,bmi,23.9
Pima.te.csv,type:No,bmi,25.9
Pima.te.csv,type:No,bmi,25.9
Pima.te.csv,type:No,bmi,38.5
Pima.te.csv,type:No,bmi,28.7
Pima.te.csv,type:No,bmi,21.8
Pima.te.csv,type:No,bmi,39.2
Pima.te.csv,type:No,bmi,34.9
Pima.te.csv,type:No,bmi,34
Pima.te.csv,type:No,bmi,27.5
Pima.te.csv,type:No,bmi,35.8
Pima.te.csv,type:No,bmi,25.2
Pima.te.csv,type:No,bmi,37.2
Pima.te.csv,type:No,bmi,43.4
Pima.te.csv,type:No,bmi,20
Pima.te.csv,type:No,bmi,25.1
Pima.te.csv,type:No,bmi,24.3
Pima.te.csv,type:No,bmi,22.3
Pima.te.csv,type:No,bmi,31.6
Pima.te.csv,type:No,bmi,23.7
Pima.te.csv,type:No,bmi,27.7
Pima.te.csv,type:No,bmi,24.7
Pima.te.csv,type:No,bmi,31.6
Pima.te.csv,type:No,bmi,35.7
Pima.te.csv,type:No,bmi,34.4
Pima.te.csv,type:No,bmi,42.4
Pima.te.csv,type:No,bmi,45.3
Pima.te.csv,type:No,bmi,26
Pima.te.csv,type:No,bmi,40.6
Pima.te.csv,type:No,bmi,30.4
Pima.te.csv,type:No,bmi,30
Pima.te.csv,type:No,bmi,24.5
Pima.te.csv,type:No,bmi,33.2
Pima.te.csv,type:No,bmi,30.5
Pima.te.csv,type:No,bmi,21.2
Pima.te.csv,type:No,bmi,39.9
Pima.te.csv,type:No,bmi,25.9
Pima.te.csv,type:No,bmi,20.8
Pima.te.csv,type:No,bmi,35.3
Pima.te.csv,type:No,bmi,27.6
Pima.te.csv,type:No,bmi,21.8
Pima.te.csv,type:No,bmi,36.8
Pima.te.csv,type:No,bmi,41.3
Pima.te.csv,type:No,bmi,33.2
Pima.te.csv,type:No,bmi,28
Pima.te.csv,type:No,bmi,35.2
Pima.te.csv,type:No,bmi,38.2
Pima.te.csv,type:No,bmi,40.7
Pima.te.csv,type:No,bmi,46.5
Pima.te.csv,type:No,bmi,36.8
Pima.te.csv,type:No,bmi,33.5
Pima.te.csv,type:No,bmi,32.8
Pima.te.csv,type:No,bmi,30.1
Pima.te.csv,type:No,bmi,29.3
Pima.te.csv,type:No,bmi,25.2
Pima.te.csv,type:No,bmi,37.2
Pima.te.csv,type:No,bmi,33.3
Pima.te.csv,type:No,bmi,37.3
Pima.te.csv,type:No,bmi,25.6
Pima.te.csv,type:No,bmi,19.6
Pima.te.csv,type:No,bmi,25
Pima.te.csv,type:No,bmi,21.8
Pima.te.csv,type:No,bmi,29.8
Pima.te.csv,type:No,bmi,33.3
Pima.te.csv,type:No,bmi,36.3
Pima.te.csv,type:No,bmi,39.5
Pima.te.csv,type:No,bmi,32
Pima.te.csv,type:No,bmi,33.1
Pima.te.csv,type:No,bmi,27.4
Pima.te.csv,type:No,bmi,31.9
Pima.te.csv,type:No,bmi,29.9
Pima.te.csv,type:No,bmi,36.9
Pima.te.csv,type:No,bmi,46.2
Pima.te.csv,type:No,bmi,26.9
Pima.te.csv,type:No,bmi,38.6
Pima.te.csv,type:No,bmi,29.5
Pima.te.csv,type:No,bmi,34.7
Pima.te.csv,type:No,bmi,30.1
Pima.te.csv,type:No,bmi,35.5
Pima.te.csv,type:No,bmi,24
Pima.te.csv,type:No,bmi,39.4
Pima.te.csv,type:No,bmi,28.5
Pima.te.csv,type:No,bmi,33.6
Pima.te.csv,type:No,bmi,27.8
Pima.te.csv,type:No,bmi,27.1
Pima.te.csv,type:No,bmi,35.8
Pima.te.csv,type:No,bmi,19.5
Pima.te.csv,type:No,bmi,41.5
