fileName,groupName,attributeName,attributeValue
Pima.te.csv,type:Yes,ped,0.627
Pima.te.csv,type:Yes,ped,0.248
Pima.te.csv,type:Yes,ped,0.158
Pima.te.csv,type:Yes,ped,0.587
Pima.te.csv,type:Yes,ped,0.551
Pima.te.csv,type:Yes,ped,0.263
Pima.te.csv,type:Yes,ped,0.665
Pima.te.csv,type:Yes,ped,0.503
Pima.te.csv,type:Yes,ped,1.39
Pima.te.csv,type:Yes,ped,0.721
Pima.te.csv,type:Yes,ped,1.893
Pima.te.csv,type:Yes,ped,0.855
Pima.te.csv,type:Yes,ped,0.867
Pima.te.csv,type:Yes,ped,0.153
Pima.te.csv,type:Yes,ped,0.325
Pima.te.csv,type:Yes,ped,0.588
Pima.te.csv,type:Yes,ped,0.759
Pima.te.csv,type:Yes,ped,0.496
Pima.te.csv,type:Yes,ped,0.403
Pima.te.csv,type:Yes,ped,0.361
Pima.te.csv,type:Yes,ped,0.356
Pima.te.csv,type:Yes,ped,1.189
Pima.te.csv,type:Yes,ped,0.337
Pima.te.csv,type:Yes,ped,0.817
Pima.te.csv,type:Yes,ped,0.722
Pima.te.csv,type:Yes,ped,0.719
Pima.te.csv,type:Yes,ped,0.319
Pima.te.csv,type:Yes,ped,1.321
Pima.te.csv,type:Yes,ped,0.64
Pima.te.csv,type:Yes,ped,0.905
Pima.te.csv,type:Yes,ped,0.605
Pima.te.csv,type:Yes,ped,0.514
Pima.te.csv,type:Yes,ped,1.224
Pima.te.csv,type:Yes,ped,0.652
Pima.te.csv,type:Yes,ped,0.238
Pima.te.csv,type:Yes,ped,0.586
Pima.te.csv,type:Yes,ped,0.686
Pima.te.csv,type:Yes,ped,1.318
Pima.te.csv,type:Yes,ped,1.213
Pima.te.csv,type:Yes,ped,0.543
Pima.te.csv,type:Yes,ped,1.353
Pima.te.csv,type:Yes,ped,1.136
Pima.te.csv,type:Yes,ped,0.296
Pima.te.csv,type:Yes,ped,0.808
Pima.te.csv,type:Yes,ped,0.757
Pima.te.csv,type:Yes,ped,0.337
Pima.te.csv,type:Yes,ped,0.422
Pima.te.csv,type:Yes,ped,0.326
Pima.te.csv,type:Yes,ped,1.391
Pima.te.csv,type:Yes,ped,0.875
Pima.te.csv,type:Yes,ped,0.433
Pima.te.csv,type:Yes,ped,1.127
Pima.te.csv,type:Yes,ped,0.731
Pima.te.csv,type:Yes,ped,0.692
Pima.te.csv,type:Yes,ped,0.127
Pima.te.csv,type:Yes,ped,0.962
Pima.te.csv,type:Yes,ped,0.875
Pima.te.csv,type:Yes,ped,0.583
Pima.te.csv,type:Yes,ped,2.137
Pima.te.csv,type:Yes,ped,0.66
Pima.te.csv,type:Yes,ped,0.239
Pima.te.csv,type:Yes,ped,0.241
Pima.te.csv,type:Yes,ped,0.286
Pima.te.csv,type:Yes,ped,0.702
Pima.te.csv,type:Yes,ped,0.258
Pima.te.csv,type:Yes,ped,0.554
Pima.te.csv,type:Yes,ped,0.219
Pima.te.csv,type:Yes,ped,0.516
Pima.te.csv,type:Yes,ped,0.328
Pima.te.csv,type:Yes,ped,0.233
Pima.te.csv,type:Yes,ped,0.435
Pima.te.csv,type:Yes,ped,2.42
Pima.te.csv,type:Yes,ped,0.51
Pima.te.csv,type:Yes,ped,0.344
Pima.te.csv,type:Yes,ped,0.365
Pima.te.csv,type:Yes,ped,1.144
Pima.te.csv,type:Yes,ped,0.297
Pima.te.csv,type:Yes,ped,0.268
Pima.te.csv,type:Yes,ped,0.771
Pima.te.csv,type:Yes,ped,0.549
Pima.te.csv,type:Yes,ped,0.825
Pima.te.csv,type:Yes,ped,0.423
Pima.te.csv,type:Yes,ped,1.034
Pima.te.csv,type:Yes,ped,1.154
Pima.te.csv,type:Yes,ped,0.925
Pima.te.csv,type:Yes,ped,1.258
Pima.te.csv,type:Yes,ped,0.593
Pima.te.csv,type:Yes,ped,0.557
Pima.te.csv,type:Yes,ped,1.282
Pima.te.csv,type:Yes,ped,0.871
Pima.te.csv,type:Yes,ped,0.455
Pima.te.csv,type:Yes,ped,0.26
Pima.te.csv,type:Yes,ped,0.24
Pima.te.csv,type:Yes,ped,0.235
Pima.te.csv,type:Yes,ped,0.141
Pima.te.csv,type:Yes,ped,0.364
Pima.te.csv,type:Yes,ped,0.128
Pima.te.csv,type:Yes,ped,0.268
Pima.te.csv,type:Yes,ped,0.674
Pima.te.csv,type:Yes,ped,0.441
Pima.te.csv,type:Yes,ped,0.826
Pima.te.csv,type:Yes,ped,0.97
Pima.te.csv,type:Yes,ped,0.646
Pima.te.csv,type:Yes,ped,0.785
Pima.te.csv,type:Yes,ped,0.358
Pima.te.csv,type:Yes,ped,0.408
Pima.te.csv,type:Yes,ped,0.222
Pima.te.csv,type:Yes,ped,1.057
Pima.te.csv,type:Yes,ped,0.403
Pima.te.csv,type:No,ped,0.351
Pima.te.csv,type:No,ped,0.167
Pima.te.csv,type:No,ped,0.183
Pima.te.csv,type:No,ped,0.704
Pima.te.csv,type:No,ped,0.487
Pima.te.csv,type:No,ped,0.546
Pima.te.csv,type:No,ped,0.267
Pima.te.csv,type:No,ped,0.512
Pima.te.csv,type:No,ped,0.966
Pima.te.csv,type:No,ped,0.271
Pima.te.csv,type:No,ped,0.235
Pima.te.csv,type:No,ped,0.586
Pima.te.csv,type:No,ped,0.491
Pima.te.csv,type:No,ped,0.526
Pima.te.csv,type:No,ped,0.342
Pima.te.csv,type:No,ped,0.718
Pima.te.csv,type:No,ped,0.248
Pima.te.csv,type:No,ped,0.173
Pima.te.csv,type:No,ped,0.203
Pima.te.csv,type:No,ped,0.334
Pima.te.csv,type:No,ped,0.189
Pima.te.csv,type:No,ped,0.231
Pima.te.csv,type:No,ped,0.37
Pima.te.csv,type:No,ped,0.307
Pima.te.csv,type:No,ped,0.14
Pima.te.csv,type:No,ped,0.767
Pima.te.csv,type:No,ped,0.237
Pima.te.csv,type:No,ped,0.178
Pima.te.csv,type:No,ped,0.324
Pima.te.csv,type:No,ped,0.443
Pima.te.csv,type:No,ped,0.261
Pima.te.csv,type:No,ped,0.13
Pima.te.csv,type:No,ped,0.356
Pima.te.csv,type:No,ped,0.283
Pima.te.csv,type:No,ped,0.801
Pima.te.csv,type:No,ped,0.287
Pima.te.csv,type:No,ped,0.192
Pima.te.csv,type:No,ped,0.443
Pima.te.csv,type:No,ped,0.404
Pima.te.csv,type:No,ped,0.457
Pima.te.csv,type:No,ped,0.597
Pima.te.csv,type:No,ped,0.532
Pima.te.csv,type:No,ped,0.286
Pima.te.csv,type:No,ped,0.318
Pima.te.csv,type:No,ped,1.4
Pima.te.csv,type:No,ped,0.085
Pima.te.csv,type:No,ped,0.687
Pima.te.csv,type:No,ped,0.229
Pima.te.csv,type:No,ped,0.294
Pima.te.csv,type:No,ped,0.204
Pima.te.csv,type:No,ped,0.167
Pima.te.csv,type:No,ped,0.37
Pima.te.csv,type:No,ped,0.874
Pima.te.csv,type:No,ped,0.787
Pima.te.csv,type:No,ped,0.407
Pima.te.csv,type:No,ped,0.29
Pima.te.csv,type:No,ped,0.375
Pima.te.csv,type:No,ped,0.464
Pima.te.csv,type:No,ped,0.687
Pima.te.csv,type:No,ped,0.666
Pima.te.csv,type:No,ped,0.101
Pima.te.csv,type:No,ped,2.329
Pima.te.csv,type:No,ped,0.089
Pima.te.csv,type:No,ped,0.293
Pima.te.csv,type:No,ped,0.192
Pima.te.csv,type:No,ped,0.446
Pima.te.csv,type:No,ped,0.329
Pima.te.csv,type:No,ped,0.427
Pima.te.csv,type:No,ped,0.282
Pima.te.csv,type:No,ped,0.143
Pima.te.csv,type:No,ped,0.249
Pima.te.csv,type:No,ped,0.557
Pima.te.csv,type:No,ped,0.612
Pima.te.csv,type:No,ped,0.997
Pima.te.csv,type:No,ped,1.101
Pima.te.csv,type:No,ped,0.128
Pima.te.csv,type:No,ped,0.677
Pima.te.csv,type:No,ped,0.454
Pima.te.csv,type:No,ped,0.881
Pima.te.csv,type:No,ped,0.262
Pima.te.csv,type:No,ped,0.647
Pima.te.csv,type:No,ped,0.34
Pima.te.csv,type:No,ped,0.434
Pima.te.csv,type:No,ped,0.692
Pima.te.csv,type:No,ped,0.52
Pima.te.csv,type:No,ped,0.215
Pima.te.csv,type:No,ped,0.626
Pima.te.csv,type:No,ped,0.15
Pima.te.csv,type:No,ped,0.148
Pima.te.csv,type:No,ped,0.123
Pima.te.csv,type:No,ped,0.122
Pima.te.csv,type:No,ped,1.476
Pima.te.csv,type:No,ped,0.166
Pima.te.csv,type:No,ped,0.26
Pima.te.csv,type:No,ped,0.472
Pima.te.csv,type:No,ped,0.673
Pima.te.csv,type:No,ped,0.349
Pima.te.csv,type:No,ped,0.654
Pima.te.csv,type:No,ped,0.279
Pima.te.csv,type:No,ped,0.305
Pima.te.csv,type:No,ped,0.385
Pima.te.csv,type:No,ped,0.499
Pima.te.csv,type:No,ped,0.306
Pima.te.csv,type:No,ped,0.545
Pima.te.csv,type:No,ped,0.299
Pima.te.csv,type:No,ped,0.509
Pima.te.csv,type:No,ped,1.021
Pima.te.csv,type:No,ped,0.236
Pima.te.csv,type:No,ped,1.268
Pima.te.csv,type:No,ped,0.221
Pima.te.csv,type:No,ped,0.205
Pima.te.csv,type:No,ped,0.949
Pima.te.csv,type:No,ped,0.389
Pima.te.csv,type:No,ped,1.6
Pima.te.csv,type:No,ped,0.944
Pima.te.csv,type:No,ped,0.28
Pima.te.csv,type:No,ped,0.674
Pima.te.csv,type:No,ped,0.528
Pima.te.csv,type:No,ped,1.076
Pima.te.csv,type:No,ped,0.507
Pima.te.csv,type:No,ped,0.561
Pima.te.csv,type:No,ped,0.496
Pima.te.csv,type:No,ped,0.551
Pima.te.csv,type:No,ped,0.527
Pima.te.csv,type:No,ped,1.138
Pima.te.csv,type:No,ped,0.23
Pima.te.csv,type:No,ped,0.285
Pima.te.csv,type:No,ped,0.415
Pima.te.csv,type:No,ped,0.381
Pima.te.csv,type:No,ped,0.46
Pima.te.csv,type:No,ped,0.733
Pima.te.csv,type:No,ped,0.705
Pima.te.csv,type:No,ped,0.258
Pima.te.csv,type:No,ped,0.452
Pima.te.csv,type:No,ped,0.6
Pima.te.csv,type:No,ped,0.607
Pima.te.csv,type:No,ped,0.17
Pima.te.csv,type:No,ped,0.419
Pima.te.csv,type:No,ped,0.197
Pima.te.csv,type:No,ped,0.233
Pima.te.csv,type:No,ped,0.536
Pima.te.csv,type:No,ped,1.159
Pima.te.csv,type:No,ped,0.629
Pima.te.csv,type:No,ped,0.292
