fileName,groupName,attributeName,attributeValue
Produc.csv,state:ALABAMA,pcap,15032.67
Produc.csv,state:ALABAMA,pcap,15501.94
Produc.csv,state:ALABAMA,pcap,15972.41
Produc.csv,state:ALABAMA,pcap,16406.26
Produc.csv,state:ALABAMA,pcap,16762.67
Produc.csv,state:ALABAMA,pcap,17316.26
Produc.csv,state:ALABAMA,pcap,17732.86
Produc.csv,state:ALABAMA,pcap,18111.93
Produc.csv,state:ALABAMA,pcap,18479.74
Produc.csv,state:ALABAMA,pcap,18881.49
Produc.csv,state:ALABAMA,pcap,19012.34
Produc.csv,state:ALABAMA,pcap,19118.52
Produc.csv,state:ALABAMA,pcap,19118.25
Produc.csv,state:ALABAMA,pcap,19122
Produc.csv,state:ALABAMA,pcap,19257.47
Produc.csv,state:ALABAMA,pcap,19433.36
Produc.csv,state:ALABAMA,pcap,19723.37
Produc.csv,state:GEORGIA,pcap,18270.44
Produc.csv,state:GEORGIA,pcap,19275.62
Produc.csv,state:GEORGIA,pcap,20167.45
Produc.csv,state:GEORGIA,pcap,21015.05
Produc.csv,state:GEORGIA,pcap,21882.27
Produc.csv,state:GEORGIA,pcap,22713.54
Produc.csv,state:GEORGIA,pcap,23556.37
Produc.csv,state:GEORGIA,pcap,24124.15
Produc.csv,state:GEORGIA,pcap,24622.13
Produc.csv,state:GEORGIA,pcap,25631.2
Produc.csv,state:GEORGIA,pcap,26685.37
Produc.csv,state:GEORGIA,pcap,27546.85
Produc.csv,state:GEORGIA,pcap,28209.03
Produc.csv,state:GEORGIA,pcap,28996.86
Produc.csv,state:GEORGIA,pcap,29702.75
Produc.csv,state:GEORGIA,pcap,30068.26
Produc.csv,state:GEORGIA,pcap,30991.33
