fileName,groupName,attributeName,attributeValue
Rabbit.csv,Treatment:Control,BPchange,0.5
Rabbit.csv,Treatment:Control,BPchange,4.5
Rabbit.csv,Treatment:Control,BPchange,10
Rabbit.csv,Treatment:Control,BPchange,26
Rabbit.csv,Treatment:Control,BPchange,37
Rabbit.csv,Treatment:Control,BPchange,32
Rabbit.csv,Treatment:Control,BPchange,1
Rabbit.csv,Treatment:Control,BPchange,1.25
Rabbit.csv,Treatment:Control,BPchange,4
Rabbit.csv,Treatment:Control,BPchange,12
Rabbit.csv,Treatment:Control,BPchange,27
Rabbit.csv,Treatment:Control,BPchange,29
Rabbit.csv,Treatment:Control,BPchange,0.75
Rabbit.csv,Treatment:Control,BPchange,3
Rabbit.csv,Treatment:Control,BPchange,3
Rabbit.csv,Treatment:Control,BPchange,14
Rabbit.csv,Treatment:Control,BPchange,22
Rabbit.csv,Treatment:Control,BPchange,24
Rabbit.csv,Treatment:Control,BPchange,1.25
Rabbit.csv,Treatment:Control,BPchange,1.5
Rabbit.csv,Treatment:Control,BPchange,6
Rabbit.csv,Treatment:Control,BPchange,19
Rabbit.csv,Treatment:Control,BPchange,33
Rabbit.csv,Treatment:Control,BPchange,33
Rabbit.csv,Treatment:Control,BPchange,1.5
Rabbit.csv,Treatment:Control,BPchange,1.5
Rabbit.csv,Treatment:Control,BPchange,5
Rabbit.csv,Treatment:Control,BPchange,16
Rabbit.csv,Treatment:Control,BPchange,20
Rabbit.csv,Treatment:Control,BPchange,18
Rabbit.csv,Treatment:MDL,BPchange,1.25
Rabbit.csv,Treatment:MDL,BPchange,0.75
Rabbit.csv,Treatment:MDL,BPchange,4
Rabbit.csv,Treatment:MDL,BPchange,9
Rabbit.csv,Treatment:MDL,BPchange,25
Rabbit.csv,Treatment:MDL,BPchange,37
Rabbit.csv,Treatment:MDL,BPchange,1.4
Rabbit.csv,Treatment:MDL,BPchange,1.7
Rabbit.csv,Treatment:MDL,BPchange,1
Rabbit.csv,Treatment:MDL,BPchange,2
Rabbit.csv,Treatment:MDL,BPchange,15
Rabbit.csv,Treatment:MDL,BPchange,28
Rabbit.csv,Treatment:MDL,BPchange,0.75
Rabbit.csv,Treatment:MDL,BPchange,2.3
Rabbit.csv,Treatment:MDL,BPchange,3
Rabbit.csv,Treatment:MDL,BPchange,5
Rabbit.csv,Treatment:MDL,BPchange,26
Rabbit.csv,Treatment:MDL,BPchange,25
Rabbit.csv,Treatment:MDL,BPchange,2.6
Rabbit.csv,Treatment:MDL,BPchange,1.2
Rabbit.csv,Treatment:MDL,BPchange,2
Rabbit.csv,Treatment:MDL,BPchange,3
Rabbit.csv,Treatment:MDL,BPchange,11
Rabbit.csv,Treatment:MDL,BPchange,22
Rabbit.csv,Treatment:MDL,BPchange,2.4
Rabbit.csv,Treatment:MDL,BPchange,2.5
Rabbit.csv,Treatment:MDL,BPchange,1.5
Rabbit.csv,Treatment:MDL,BPchange,2
Rabbit.csv,Treatment:MDL,BPchange,9
Rabbit.csv,Treatment:MDL,BPchange,19
