fileName,groupName,attributeName,attributeValue
RiceFarms.csv,pphosph:low,size,3
RiceFarms.csv,pphosph:low,size,2
RiceFarms.csv,pphosph:low,size,1
RiceFarms.csv,pphosph:low,size,2
RiceFarms.csv,pphosph:low,size,1.42
RiceFarms.csv,pphosph:low,size,1.42
RiceFarms.csv,pphosph:low,size,0.428
RiceFarms.csv,pphosph:low,size,0.214
RiceFarms.csv,pphosph:low,size,0.286
RiceFarms.csv,pphosph:low,size,0.07
RiceFarms.csv,pphosph:low,size,0.307
RiceFarms.csv,pphosph:low,size,0.286
RiceFarms.csv,pphosph:low,size,0.286
RiceFarms.csv,pphosph:low,size,0.284
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,0.17
RiceFarms.csv,pphosph:low,size,0.56
RiceFarms.csv,pphosph:low,size,0.18
RiceFarms.csv,pphosph:low,size,0.36
RiceFarms.csv,pphosph:low,size,0.355
RiceFarms.csv,pphosph:low,size,0.14
RiceFarms.csv,pphosph:low,size,0.28
RiceFarms.csv,pphosph:low,size,0.286
RiceFarms.csv,pphosph:low,size,0.714
RiceFarms.csv,pphosph:low,size,0.355
RiceFarms.csv,pphosph:low,size,0.18
RiceFarms.csv,pphosph:low,size,0.888
RiceFarms.csv,pphosph:low,size,0.377
RiceFarms.csv,pphosph:low,size,0.371
RiceFarms.csv,pphosph:low,size,0.142
RiceFarms.csv,pphosph:low,size,0.143
RiceFarms.csv,pphosph:low,size,0.355
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,0.714
RiceFarms.csv,pphosph:low,size,0.286
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,0.536
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,0.5
RiceFarms.csv,pphosph:low,size,1.071
RiceFarms.csv,pphosph:low,size,1.071
RiceFarms.csv,pphosph:low,size,0.179
RiceFarms.csv,pphosph:low,size,0.09
RiceFarms.csv,pphosph:low,size,1.286
RiceFarms.csv,pphosph:low,size,1.286
RiceFarms.csv,pphosph:low,size,0.533
RiceFarms.csv,pphosph:low,size,0.355
RiceFarms.csv,pphosph:low,size,1.065
RiceFarms.csv,pphosph:low,size,1.071
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,3.57
RiceFarms.csv,pphosph:low,size,3.57
RiceFarms.csv,pphosph:low,size,5
RiceFarms.csv,pphosph:low,size,3.571
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,1
RiceFarms.csv,pphosph:low,size,0.5
RiceFarms.csv,pphosph:low,size,0.5
RiceFarms.csv,pphosph:low,size,0.5
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,0.5
RiceFarms.csv,pphosph:low,size,0.214
RiceFarms.csv,pphosph:low,size,0.286
RiceFarms.csv,pphosph:low,size,5.322
RiceFarms.csv,pphosph:low,size,2.898
RiceFarms.csv,pphosph:low,size,2.923
RiceFarms.csv,pphosph:low,size,2.13
RiceFarms.csv,pphosph:low,size,1.82
RiceFarms.csv,pphosph:low,size,2.1
RiceFarms.csv,pphosph:low,size,1.429
RiceFarms.csv,pphosph:low,size,0.06
RiceFarms.csv,pphosph:low,size,0.07
RiceFarms.csv,pphosph:low,size,0.071
RiceFarms.csv,pphosph:low,size,1.356
RiceFarms.csv,pphosph:low,size,0.572
RiceFarms.csv,pphosph:low,size,0.285
RiceFarms.csv,pphosph:low,size,0.286
RiceFarms.csv,pphosph:low,size,0.357
RiceFarms.csv,pphosph:low,size,0.098
RiceFarms.csv,pphosph:low,size,3.5
