fileName,groupName,attributeName,attributeValue
RiceFarms.csv,pphosph:low,totlabor,2915
RiceFarms.csv,pphosph:low,totlabor,2155
RiceFarms.csv,pphosph:low,totlabor,1075
RiceFarms.csv,pphosph:low,totlabor,2091
RiceFarms.csv,pphosph:low,totlabor,810
RiceFarms.csv,pphosph:low,totlabor,855
RiceFarms.csv,pphosph:low,totlabor,460
RiceFarms.csv,pphosph:low,totlabor,109
RiceFarms.csv,pphosph:low,totlabor,163
RiceFarms.csv,pphosph:low,totlabor,80
RiceFarms.csv,pphosph:low,totlabor,278
RiceFarms.csv,pphosph:low,totlabor,265
RiceFarms.csv,pphosph:low,totlabor,263
RiceFarms.csv,pphosph:low,totlabor,130
RiceFarms.csv,pphosph:low,totlabor,350
RiceFarms.csv,pphosph:low,totlabor,193
RiceFarms.csv,pphosph:low,totlabor,550
RiceFarms.csv,pphosph:low,totlabor,156
RiceFarms.csv,pphosph:low,totlabor,262
RiceFarms.csv,pphosph:low,totlabor,452
RiceFarms.csv,pphosph:low,totlabor,166
RiceFarms.csv,pphosph:low,totlabor,383
RiceFarms.csv,pphosph:low,totlabor,380
RiceFarms.csv,pphosph:low,totlabor,580
RiceFarms.csv,pphosph:low,totlabor,239
RiceFarms.csv,pphosph:low,totlabor,136
RiceFarms.csv,pphosph:low,totlabor,565
RiceFarms.csv,pphosph:low,totlabor,367
RiceFarms.csv,pphosph:low,totlabor,170
RiceFarms.csv,pphosph:low,totlabor,149
RiceFarms.csv,pphosph:low,totlabor,156
RiceFarms.csv,pphosph:low,totlabor,273
RiceFarms.csv,pphosph:low,totlabor,120
RiceFarms.csv,pphosph:low,totlabor,530
RiceFarms.csv,pphosph:low,totlabor,270
RiceFarms.csv,pphosph:low,totlabor,228
RiceFarms.csv,pphosph:low,totlabor,471
RiceFarms.csv,pphosph:low,totlabor,380
RiceFarms.csv,pphosph:low,totlabor,340
RiceFarms.csv,pphosph:low,totlabor,313
RiceFarms.csv,pphosph:low,totlabor,1110
RiceFarms.csv,pphosph:low,totlabor,1305
RiceFarms.csv,pphosph:low,totlabor,98
RiceFarms.csv,pphosph:low,totlabor,86
RiceFarms.csv,pphosph:low,totlabor,635
RiceFarms.csv,pphosph:low,totlabor,448
RiceFarms.csv,pphosph:low,totlabor,345
RiceFarms.csv,pphosph:low,totlabor,232
RiceFarms.csv,pphosph:low,totlabor,905
RiceFarms.csv,pphosph:low,totlabor,302
RiceFarms.csv,pphosph:low,totlabor,325
RiceFarms.csv,pphosph:low,totlabor,160
RiceFarms.csv,pphosph:low,totlabor,3410
RiceFarms.csv,pphosph:low,totlabor,1760
RiceFarms.csv,pphosph:low,totlabor,2775
RiceFarms.csv,pphosph:low,totlabor,1550
RiceFarms.csv,pphosph:low,totlabor,456
RiceFarms.csv,pphosph:low,totlabor,456
RiceFarms.csv,pphosph:low,totlabor,324
RiceFarms.csv,pphosph:low,totlabor,386
RiceFarms.csv,pphosph:low,totlabor,315
RiceFarms.csv,pphosph:low,totlabor,200
RiceFarms.csv,pphosph:low,totlabor,269
RiceFarms.csv,pphosph:low,totlabor,116
RiceFarms.csv,pphosph:low,totlabor,331
RiceFarms.csv,pphosph:low,totlabor,4774
RiceFarms.csv,pphosph:low,totlabor,2012
RiceFarms.csv,pphosph:low,totlabor,2782
RiceFarms.csv,pphosph:low,totlabor,2406
RiceFarms.csv,pphosph:low,totlabor,1483
RiceFarms.csv,pphosph:low,totlabor,2568
RiceFarms.csv,pphosph:low,totlabor,603
RiceFarms.csv,pphosph:low,totlabor,133
RiceFarms.csv,pphosph:low,totlabor,135
RiceFarms.csv,pphosph:low,totlabor,82
RiceFarms.csv,pphosph:low,totlabor,713
RiceFarms.csv,pphosph:low,totlabor,334
RiceFarms.csv,pphosph:low,totlabor,185
RiceFarms.csv,pphosph:low,totlabor,177
RiceFarms.csv,pphosph:low,totlabor,392
RiceFarms.csv,pphosph:low,totlabor,110
RiceFarms.csv,pphosph:low,totlabor,4213
RiceFarms.csv,pphosph:low,totlabor,357
RiceFarms.csv,pphosph:low,totlabor,3836
RiceFarms.csv,pphosph:low,totlabor,348
RiceFarms.csv,pphosph:low,totlabor,131
RiceFarms.csv,pphosph:low,totlabor,130
RiceFarms.csv,pphosph:low,totlabor,896
RiceFarms.csv,pphosph:low,totlabor,559
RiceFarms.csv,pphosph:low,totlabor,576
RiceFarms.csv,pphosph:low,totlabor,377
RiceFarms.csv,pphosph:low,totlabor,148
RiceFarms.csv,pphosph:low,totlabor,185
RiceFarms.csv,pphosph:low,totlabor,516
RiceFarms.csv,pphosph:low,totlabor,132
RiceFarms.csv,pphosph:low,totlabor,106
RiceFarms.csv,pphosph:low,totlabor,77
RiceFarms.csv,pphosph:low,totlabor,116
RiceFarms.csv,pphosph:low,totlabor,243
RiceFarms.csv,pphosph:low,totlabor,488
RiceFarms.csv,pphosph:low,totlabor,185
RiceFarms.csv,pphosph:low,totlabor,3124
RiceFarms.csv,pphosph:low,totlabor,2931
RiceFarms.csv,pphosph:low,totlabor,190
RiceFarms.csv,pphosph:low,totlabor,95
RiceFarms.csv,pphosph:low,totlabor,448
RiceFarms.csv,pphosph:low,totlabor,245
RiceFarms.csv,pphosph:low,totlabor,436
RiceFarms.csv,pphosph:low,totlabor,349
RiceFarms.csv,pphosph:low,totlabor,156
RiceFarms.csv,pphosph:low,totlabor,224
RiceFarms.csv,pphosph:low,totlabor,306
RiceFarms.csv,pphosph:low,totlabor,699
RiceFarms.csv,pphosph:low,totlabor,402
RiceFarms.csv,pphosph:low,totlabor,552
RiceFarms.csv,pphosph:low,totlabor,428
RiceFarms.csv,pphosph:low,totlabor,250
RiceFarms.csv,pphosph:low,totlabor,118
RiceFarms.csv,pphosph:low,totlabor,252
RiceFarms.csv,pphosph:low,totlabor,334
RiceFarms.csv,pphosph:low,totlabor,126
RiceFarms.csv,pphosph:low,totlabor,97
RiceFarms.csv,pphosph:low,totlabor,176
RiceFarms.csv,pphosph:low,totlabor,157
RiceFarms.csv,pphosph:low,totlabor,106
RiceFarms.csv,pphosph:low,totlabor,120
RiceFarms.csv,pphosph:low,totlabor,86
RiceFarms.csv,pphosph:low,totlabor,91
RiceFarms.csv,pphosph:low,totlabor,90
RiceFarms.csv,pphosph:low,totlabor,90
RiceFarms.csv,pphosph:low,totlabor,116
RiceFarms.csv,pphosph:low,totlabor,182
RiceFarms.csv,pphosph:low,totlabor,647
RiceFarms.csv,pphosph:low,totlabor,1186
RiceFarms.csv,pphosph:low,totlabor,564
RiceFarms.csv,pphosph:low,totlabor,306
RiceFarms.csv,pphosph:low,totlabor,307
RiceFarms.csv,pphosph:low,totlabor,543
RiceFarms.csv,pphosph:low,totlabor,396
RiceFarms.csv,pphosph:low,totlabor,47
RiceFarms.csv,pphosph:low,totlabor,111
RiceFarms.csv,pphosph:low,totlabor,642
RiceFarms.csv,pphosph:low,totlabor,742
RiceFarms.csv,pphosph:low,totlabor,175
RiceFarms.csv,pphosph:low,totlabor,383
RiceFarms.csv,pphosph:low,totlabor,216
RiceFarms.csv,pphosph:low,totlabor,123
RiceFarms.csv,pphosph:low,totlabor,389
RiceFarms.csv,pphosph:low,totlabor,419
RiceFarms.csv,pphosph:low,totlabor,275
RiceFarms.csv,pphosph:low,totlabor,203
RiceFarms.csv,pphosph:low,totlabor,224
RiceFarms.csv,pphosph:low,totlabor,240
RiceFarms.csv,pphosph:low,totlabor,256
RiceFarms.csv,pphosph:low,totlabor,266
RiceFarms.csv,pphosph:low,totlabor,25
RiceFarms.csv,pphosph:low,totlabor,431
RiceFarms.csv,pphosph:low,totlabor,114
RiceFarms.csv,pphosph:low,totlabor,235
RiceFarms.csv,pphosph:low,totlabor,184
RiceFarms.csv,pphosph:low,totlabor,221
RiceFarms.csv,pphosph:low,totlabor,89
RiceFarms.csv,pphosph:low,totlabor,61
RiceFarms.csv,pphosph:low,totlabor,595
RiceFarms.csv,pphosph:low,totlabor,148
RiceFarms.csv,pphosph:low,totlabor,387
RiceFarms.csv,pphosph:low,totlabor,210
RiceFarms.csv,pphosph:low,totlabor,344
RiceFarms.csv,pphosph:low,totlabor,343
RiceFarms.csv,pphosph:low,totlabor,357
RiceFarms.csv,pphosph:low,totlabor,96
RiceFarms.csv,pphosph:low,totlabor,118
RiceFarms.csv,pphosph:low,totlabor,53
RiceFarms.csv,pphosph:low,totlabor,261
RiceFarms.csv,pphosph:low,totlabor,591
RiceFarms.csv,pphosph:low,totlabor,402
RiceFarms.csv,pphosph:low,totlabor,299
RiceFarms.csv,pphosph:low,totlabor,435
RiceFarms.csv,pphosph:low,totlabor,319
RiceFarms.csv,pphosph:low,totlabor,184
RiceFarms.csv,pphosph:low,totlabor,416
RiceFarms.csv,pphosph:low,totlabor,417
RiceFarms.csv,pphosph:low,totlabor,54
RiceFarms.csv,pphosph:low,totlabor,48
RiceFarms.csv,pphosph:low,totlabor,47
RiceFarms.csv,pphosph:low,totlabor,79
RiceFarms.csv,pphosph:low,totlabor,232
RiceFarms.csv,pphosph:low,totlabor,208
RiceFarms.csv,pphosph:low,totlabor,475
RiceFarms.csv,pphosph:low,totlabor,500
RiceFarms.csv,pphosph:low,totlabor,798
RiceFarms.csv,pphosph:low,totlabor,865
RiceFarms.csv,pphosph:low,totlabor,445
RiceFarms.csv,pphosph:low,totlabor,470
RiceFarms.csv,pphosph:low,totlabor,396
RiceFarms.csv,pphosph:low,totlabor,643
RiceFarms.csv,pphosph:low,totlabor,349
RiceFarms.csv,pphosph:low,totlabor,430
RiceFarms.csv,pphosph:low,totlabor,340
RiceFarms.csv,pphosph:low,totlabor,218
RiceFarms.csv,pphosph:low,totlabor,227
RiceFarms.csv,pphosph:low,totlabor,502
RiceFarms.csv,pphosph:low,totlabor,234
RiceFarms.csv,pphosph:low,totlabor,264
RiceFarms.csv,pphosph:low,totlabor,328
RiceFarms.csv,pphosph:low,totlabor,411
RiceFarms.csv,pphosph:low,totlabor,121
RiceFarms.csv,pphosph:low,totlabor,293
RiceFarms.csv,pphosph:low,totlabor,132
RiceFarms.csv,pphosph:low,totlabor,90
RiceFarms.csv,pphosph:low,totlabor,383
RiceFarms.csv,pphosph:low,totlabor,540
RiceFarms.csv,pphosph:low,totlabor,120
RiceFarms.csv,pphosph:low,totlabor,130
RiceFarms.csv,pphosph:low,totlabor,235
RiceFarms.csv,pphosph:low,totlabor,112
RiceFarms.csv,pphosph:low,totlabor,320
RiceFarms.csv,pphosph:low,totlabor,546
RiceFarms.csv,pphosph:low,totlabor,479
RiceFarms.csv,pphosph:low,totlabor,1320
RiceFarms.csv,pphosph:low,totlabor,340
RiceFarms.csv,pphosph:low,totlabor,87
RiceFarms.csv,pphosph:low,totlabor,218
RiceFarms.csv,pphosph:low,totlabor,371
RiceFarms.csv,pphosph:low,totlabor,374
RiceFarms.csv,pphosph:low,totlabor,614
RiceFarms.csv,pphosph:low,totlabor,814
RiceFarms.csv,pphosph:low,totlabor,714
RiceFarms.csv,pphosph:low,totlabor,331
RiceFarms.csv,pphosph:low,totlabor,215
RiceFarms.csv,pphosph:low,totlabor,221
RiceFarms.csv,pphosph:low,totlabor,280
RiceFarms.csv,pphosph:low,totlabor,90
RiceFarms.csv,pphosph:low,totlabor,69
RiceFarms.csv,pphosph:low,totlabor,116
RiceFarms.csv,pphosph:low,totlabor,105
RiceFarms.csv,pphosph:low,totlabor,692
RiceFarms.csv,pphosph:low,totlabor,147
RiceFarms.csv,pphosph:low,totlabor,175
RiceFarms.csv,pphosph:low,totlabor,63
RiceFarms.csv,pphosph:low,totlabor,90
RiceFarms.csv,pphosph:low,totlabor,91
RiceFarms.csv,pphosph:low,totlabor,118
RiceFarms.csv,pphosph:low,totlabor,126
RiceFarms.csv,pphosph:low,totlabor,98
RiceFarms.csv,pphosph:low,totlabor,104
RiceFarms.csv,pphosph:low,totlabor,199
RiceFarms.csv,pphosph:low,totlabor,190
RiceFarms.csv,pphosph:low,totlabor,369
RiceFarms.csv,pphosph:low,totlabor,636
RiceFarms.csv,pphosph:low,totlabor,149
RiceFarms.csv,pphosph:low,totlabor,422
RiceFarms.csv,pphosph:low,totlabor,130
RiceFarms.csv,pphosph:low,totlabor,253
RiceFarms.csv,pphosph:low,totlabor,130
RiceFarms.csv,pphosph:low,totlabor,426
RiceFarms.csv,pphosph:low,totlabor,166
RiceFarms.csv,pphosph:low,totlabor,76
RiceFarms.csv,pphosph:low,totlabor,70
RiceFarms.csv,pphosph:low,totlabor,141
RiceFarms.csv,pphosph:low,totlabor,62
RiceFarms.csv,pphosph:low,totlabor,103
RiceFarms.csv,pphosph:low,totlabor,58
RiceFarms.csv,pphosph:low,totlabor,167
RiceFarms.csv,pphosph:low,totlabor,178
RiceFarms.csv,pphosph:low,totlabor,157
RiceFarms.csv,pphosph:low,totlabor,217
RiceFarms.csv,pphosph:low,totlabor,178
RiceFarms.csv,pphosph:low,totlabor,161
RiceFarms.csv,pphosph:low,totlabor,99
RiceFarms.csv,pphosph:low,totlabor,673
RiceFarms.csv,pphosph:low,totlabor,366
RiceFarms.csv,pphosph:low,totlabor,354
RiceFarms.csv,pphosph:low,totlabor,643
RiceFarms.csv,pphosph:low,totlabor,128
RiceFarms.csv,pphosph:low,totlabor,110
RiceFarms.csv,pphosph:low,totlabor,156
RiceFarms.csv,pphosph:low,totlabor,229
RiceFarms.csv,pphosph:low,totlabor,299
RiceFarms.csv,pphosph:low,totlabor,130
RiceFarms.csv,pphosph:low,totlabor,191
RiceFarms.csv,pphosph:low,totlabor,130
RiceFarms.csv,pphosph:low,totlabor,177
RiceFarms.csv,pphosph:low,totlabor,599
RiceFarms.csv,pphosph:low,totlabor,281
RiceFarms.csv,pphosph:low,totlabor,382
RiceFarms.csv,pphosph:low,totlabor,257
RiceFarms.csv,pphosph:low,totlabor,322
RiceFarms.csv,pphosph:low,totlabor,87
RiceFarms.csv,pphosph:low,totlabor,134
RiceFarms.csv,pphosph:low,totlabor,89
RiceFarms.csv,pphosph:low,totlabor,239
RiceFarms.csv,pphosph:low,totlabor,288
RiceFarms.csv,pphosph:low,totlabor,156
RiceFarms.csv,pphosph:low,totlabor,446
RiceFarms.csv,pphosph:low,totlabor,265
RiceFarms.csv,pphosph:low,totlabor,134
RiceFarms.csv,pphosph:low,totlabor,126
RiceFarms.csv,pphosph:low,totlabor,195
RiceFarms.csv,pphosph:low,totlabor,103
RiceFarms.csv,pphosph:low,totlabor,76
RiceFarms.csv,pphosph:low,totlabor,57
RiceFarms.csv,pphosph:low,totlabor,220
RiceFarms.csv,pphosph:low,totlabor,126
RiceFarms.csv,pphosph:low,totlabor,82
RiceFarms.csv,pphosph:low,totlabor,665
RiceFarms.csv,pphosph:low,totlabor,317
RiceFarms.csv,pphosph:low,totlabor,199
RiceFarms.csv,pphosph:low,totlabor,310
RiceFarms.csv,pphosph:low,totlabor,264
RiceFarms.csv,pphosph:low,totlabor,228
RiceFarms.csv,pphosph:low,totlabor,248
RiceFarms.csv,pphosph:low,totlabor,54
RiceFarms.csv,pphosph:low,totlabor,72
RiceFarms.csv,pphosph:low,totlabor,409
RiceFarms.csv,pphosph:low,totlabor,309
RiceFarms.csv,pphosph:low,totlabor,292
RiceFarms.csv,pphosph:low,totlabor,528
RiceFarms.csv,pphosph:low,totlabor,130
RiceFarms.csv,pphosph:low,totlabor,287
RiceFarms.csv,pphosph:low,totlabor,156
RiceFarms.csv,pphosph:low,totlabor,441
RiceFarms.csv,pphosph:low,totlabor,120
RiceFarms.csv,pphosph:low,totlabor,227
RiceFarms.csv,pphosph:low,totlabor,290
RiceFarms.csv,pphosph:low,totlabor,296
RiceFarms.csv,pphosph:low,totlabor,145
RiceFarms.csv,pphosph:low,totlabor,188
RiceFarms.csv,pphosph:low,totlabor,216
