fileName,groupName,attributeName,attributeValue
RiceFarms.csv,pphosph:low,urea,900
RiceFarms.csv,pphosph:low,urea,600
RiceFarms.csv,pphosph:low,urea,700
RiceFarms.csv,pphosph:low,urea,600
RiceFarms.csv,pphosph:low,urea,120
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,15
RiceFarms.csv,pphosph:low,urea,60
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,40
RiceFarms.csv,pphosph:low,urea,40
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,60
RiceFarms.csv,pphosph:low,urea,80
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,40
RiceFarms.csv,pphosph:low,urea,70
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,65
RiceFarms.csv,pphosph:low,urea,30
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,90
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,200
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,250
RiceFarms.csv,pphosph:low,urea,250
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,10
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,125
RiceFarms.csv,pphosph:low,urea,125
RiceFarms.csv,pphosph:low,urea,250
RiceFarms.csv,pphosph:low,urea,300
RiceFarms.csv,pphosph:low,urea,20
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,1250
RiceFarms.csv,pphosph:low,urea,1250
RiceFarms.csv,pphosph:low,urea,1000
RiceFarms.csv,pphosph:low,urea,700
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,200
RiceFarms.csv,pphosph:low,urea,125
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,15
RiceFarms.csv,pphosph:low,urea,1
RiceFarms.csv,pphosph:low,urea,450
RiceFarms.csv,pphosph:low,urea,300
RiceFarms.csv,pphosph:low,urea,750
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,480
RiceFarms.csv,pphosph:low,urea,225
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,20
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,1
RiceFarms.csv,pphosph:low,urea,1
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,700
RiceFarms.csv,pphosph:low,urea,200
RiceFarms.csv,pphosph:low,urea,1000
RiceFarms.csv,pphosph:low,urea,200
RiceFarms.csv,pphosph:low,urea,80
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,250
RiceFarms.csv,pphosph:low,urea,200
RiceFarms.csv,pphosph:low,urea,300
RiceFarms.csv,pphosph:low,urea,300
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,10
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,30
RiceFarms.csv,pphosph:low,urea,40
RiceFarms.csv,pphosph:low,urea,40
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,225
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,600
RiceFarms.csv,pphosph:low,urea,400
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,1
RiceFarms.csv,pphosph:low,urea,1
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,10
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,220
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,250
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,60
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,30
RiceFarms.csv,pphosph:low,urea,7
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,20
RiceFarms.csv,pphosph:low,urea,20
RiceFarms.csv,pphosph:low,urea,15
RiceFarms.csv,pphosph:low,urea,15
RiceFarms.csv,pphosph:low,urea,15
RiceFarms.csv,pphosph:low,urea,15
RiceFarms.csv,pphosph:low,urea,20
RiceFarms.csv,pphosph:low,urea,20
RiceFarms.csv,pphosph:low,urea,200
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,165
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,20
RiceFarms.csv,pphosph:low,urea,300
RiceFarms.csv,pphosph:low,urea,300
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,70
RiceFarms.csv,pphosph:low,urea,45
RiceFarms.csv,pphosph:low,urea,6
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,60
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,65
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,5
RiceFarms.csv,pphosph:low,urea,30
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,12
RiceFarms.csv,pphosph:low,urea,10
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,120
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,30
RiceFarms.csv,pphosph:low,urea,10
RiceFarms.csv,pphosph:low,urea,50
RiceFarms.csv,pphosph:low,urea,200
RiceFarms.csv,pphosph:low,urea,140
RiceFarms.csv,pphosph:low,urea,125
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,70
RiceFarms.csv,pphosph:low,urea,7
RiceFarms.csv,pphosph:low,urea,7
RiceFarms.csv,pphosph:low,urea,5
RiceFarms.csv,pphosph:low,urea,6
RiceFarms.csv,pphosph:low,urea,250
RiceFarms.csv,pphosph:low,urea,85
RiceFarms.csv,pphosph:low,urea,210
RiceFarms.csv,pphosph:low,urea,210
RiceFarms.csv,pphosph:low,urea,60
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,80
RiceFarms.csv,pphosph:low,urea,80
RiceFarms.csv,pphosph:low,urea,125
RiceFarms.csv,pphosph:low,urea,95
RiceFarms.csv,pphosph:low,urea,75
RiceFarms.csv,pphosph:low,urea,100
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,40
RiceFarms.csv,pphosph:low,urea,70
RiceFarms.csv,pphosph:low,urea,90
RiceFarms.csv,pphosph:low,urea,125
RiceFarms.csv,pphosph:low,urea,125
RiceFarms.csv,pphosph:low,urea,150
RiceFarms.csv,pphosph:low,urea,141
RiceFarms.csv,pphosph:low,urea,40
RiceFarms.csv,pphosph:low,urea,40
RiceFarms.csv,pphosph:low,urea,25
RiceFarms.csv,pphosph:low,urea,25
