fileName,groupName,attributeName,attributeValue
Sitka.csv,treat:ozone,size,4.51
Sitka.csv,treat:ozone,size,4.98
Sitka.csv,treat:ozone,size,5.41
Sitka.csv,treat:ozone,size,5.9
Sitka.csv,treat:ozone,size,6.15
Sitka.csv,treat:ozone,size,4.24
Sitka.csv,treat:ozone,size,4.2
Sitka.csv,treat:ozone,size,4.68
Sitka.csv,treat:ozone,size,4.92
Sitka.csv,treat:ozone,size,4.96
Sitka.csv,treat:ozone,size,3.98
Sitka.csv,treat:ozone,size,4.36
Sitka.csv,treat:ozone,size,4.79
Sitka.csv,treat:ozone,size,4.99
Sitka.csv,treat:ozone,size,5.03
Sitka.csv,treat:ozone,size,4.36
Sitka.csv,treat:ozone,size,4.77
Sitka.csv,treat:ozone,size,5.1
Sitka.csv,treat:ozone,size,5.3
Sitka.csv,treat:ozone,size,5.36
Sitka.csv,treat:ozone,size,4.34
Sitka.csv,treat:ozone,size,4.95
Sitka.csv,treat:ozone,size,5.42
Sitka.csv,treat:ozone,size,5.97
Sitka.csv,treat:ozone,size,6.28
Sitka.csv,treat:ozone,size,4.59
Sitka.csv,treat:ozone,size,5.08
Sitka.csv,treat:ozone,size,5.36
Sitka.csv,treat:ozone,size,5.76
Sitka.csv,treat:ozone,size,6
Sitka.csv,treat:ozone,size,4.41
Sitka.csv,treat:ozone,size,4.56
Sitka.csv,treat:ozone,size,4.95
Sitka.csv,treat:ozone,size,5.23
Sitka.csv,treat:ozone,size,5.33
Sitka.csv,treat:ozone,size,4.24
Sitka.csv,treat:ozone,size,4.64
Sitka.csv,treat:ozone,size,4.95
Sitka.csv,treat:ozone,size,5.38
Sitka.csv,treat:ozone,size,5.48
Sitka.csv,treat:ozone,size,4.82
Sitka.csv,treat:ozone,size,5.17
Sitka.csv,treat:ozone,size,5.76
Sitka.csv,treat:ozone,size,6.12
Sitka.csv,treat:ozone,size,6.24
Sitka.csv,treat:ozone,size,3.84
Sitka.csv,treat:ozone,size,4.17
Sitka.csv,treat:ozone,size,4.67
Sitka.csv,treat:ozone,size,4.67
Sitka.csv,treat:ozone,size,4.8
Sitka.csv,treat:ozone,size,4.07
Sitka.csv,treat:ozone,size,4.31
Sitka.csv,treat:ozone,size,4.9
Sitka.csv,treat:ozone,size,5.1
Sitka.csv,treat:ozone,size,5.1
Sitka.csv,treat:ozone,size,4.28
Sitka.csv,treat:ozone,size,4.8
Sitka.csv,treat:ozone,size,5.27
Sitka.csv,treat:ozone,size,5.55
Sitka.csv,treat:ozone,size,5.65
Sitka.csv,treat:ozone,size,4.47
Sitka.csv,treat:ozone,size,4.89
Sitka.csv,treat:ozone,size,5.23
Sitka.csv,treat:ozone,size,5.55
Sitka.csv,treat:ozone,size,5.74
Sitka.csv,treat:ozone,size,4.46
Sitka.csv,treat:ozone,size,4.84
Sitka.csv,treat:ozone,size,5.11
Sitka.csv,treat:ozone,size,5.34
Sitka.csv,treat:ozone,size,5.46
Sitka.csv,treat:ozone,size,4.6
Sitka.csv,treat:ozone,size,4.08
Sitka.csv,treat:ozone,size,4.17
Sitka.csv,treat:ozone,size,4.35
Sitka.csv,treat:ozone,size,4.59
Sitka.csv,treat:ozone,size,3.73
Sitka.csv,treat:ozone,size,4.15
Sitka.csv,treat:ozone,size,4.61
Sitka.csv,treat:ozone,size,4.87
Sitka.csv,treat:ozone,size,4.93
Sitka.csv,treat:ozone,size,4.67
Sitka.csv,treat:ozone,size,4.88
Sitka.csv,treat:ozone,size,5.18
Sitka.csv,treat:ozone,size,5.34
Sitka.csv,treat:ozone,size,5.49
Sitka.csv,treat:ozone,size,2.96
Sitka.csv,treat:ozone,size,3.47
Sitka.csv,treat:ozone,size,3.76
Sitka.csv,treat:ozone,size,3.89
Sitka.csv,treat:ozone,size,4.3
Sitka.csv,treat:ozone,size,3.24
Sitka.csv,treat:ozone,size,3.93
Sitka.csv,treat:ozone,size,4.76
Sitka.csv,treat:ozone,size,4.62
Sitka.csv,treat:ozone,size,4.64
Sitka.csv,treat:ozone,size,4.36
Sitka.csv,treat:ozone,size,4.77
Sitka.csv,treat:ozone,size,5.02
Sitka.csv,treat:ozone,size,5.26
Sitka.csv,treat:ozone,size,5.45
Sitka.csv,treat:ozone,size,4.04
Sitka.csv,treat:ozone,size,4.64
Sitka.csv,treat:ozone,size,4.86
Sitka.csv,treat:ozone,size,5.09
Sitka.csv,treat:ozone,size,5.25
Sitka.csv,treat:ozone,size,3.53
Sitka.csv,treat:ozone,size,4.25
Sitka.csv,treat:ozone,size,4.68
Sitka.csv,treat:ozone,size,4.97
Sitka.csv,treat:ozone,size,5.18
Sitka.csv,treat:ozone,size,4.22
Sitka.csv,treat:ozone,size,4.69
Sitka.csv,treat:ozone,size,5.07
Sitka.csv,treat:ozone,size,5.37
Sitka.csv,treat:ozone,size,5.58
Sitka.csv,treat:ozone,size,2.79
Sitka.csv,treat:ozone,size,3.1
Sitka.csv,treat:ozone,size,3.3
Sitka.csv,treat:ozone,size,3.38
Sitka.csv,treat:ozone,size,3.55
Sitka.csv,treat:ozone,size,3.3
Sitka.csv,treat:ozone,size,3.9
Sitka.csv,treat:ozone,size,4.34
Sitka.csv,treat:ozone,size,4.96
Sitka.csv,treat:ozone,size,5.4
Sitka.csv,treat:ozone,size,3.34
Sitka.csv,treat:ozone,size,3.81
Sitka.csv,treat:ozone,size,4.21
Sitka.csv,treat:ozone,size,4.54
Sitka.csv,treat:ozone,size,4.86
Sitka.csv,treat:ozone,size,3.76
Sitka.csv,treat:ozone,size,4.36
Sitka.csv,treat:ozone,size,4.7
Sitka.csv,treat:ozone,size,5.44
Sitka.csv,treat:ozone,size,5.32
Sitka.csv,treat:ozone,size,4.49
