fileName,groupName,attributeName,attributeValue
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,R
UScereal.csv,calories:low,mfr,P
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,R
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,R
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,P
UScereal.csv,calories:low,mfr,P
UScereal.csv,calories:low,mfr,Q
UScereal.csv,calories:low,mfr,P
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,Q
UScereal.csv,calories:low,mfr,R
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,N
UScereal.csv,calories:low,mfr,N
UScereal.csv,calories:low,mfr,K
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:low,mfr,G
UScereal.csv,calories:high,mfr,N
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,Q
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,P
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,P
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,P
UScereal.csv,calories:high,mfr,P
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,Q
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,P
UScereal.csv,calories:high,mfr,Q
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,K
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,G
UScereal.csv,calories:high,mfr,R
UScereal.csv,calories:high,mfr,G
