fileName,groupName,attributeName,attributeValue
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,100%
UScereal.csv,calories:low,vitamins,none
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,none
UScereal.csv,calories:low,vitamins,none
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,100%
UScereal.csv,calories:low,vitamins,100%
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:low,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,100%
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,100%
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
UScereal.csv,calories:high,vitamins,enriched
