fileName,groupName,attributeName,attributeValue
UScereal.csv,carbo:low,protein,12.1212121
UScereal.csv,carbo:low,protein,8
UScereal.csv,carbo:low,protein,2.6666667
UScereal.csv,carbo:low,protein,2
UScereal.csv,carbo:low,protein,1.3333333
UScereal.csv,carbo:low,protein,4.8
UScereal.csv,carbo:low,protein,1.3333333
UScereal.csv,carbo:low,protein,1
UScereal.csv,carbo:low,protein,1
UScereal.csv,carbo:low,protein,1
UScereal.csv,carbo:low,protein,2.6666667
UScereal.csv,carbo:low,protein,2
UScereal.csv,carbo:low,protein,3.75
UScereal.csv,carbo:low,protein,4.4776119
UScereal.csv,carbo:low,protein,1.3333333
UScereal.csv,carbo:low,protein,2.2727273
UScereal.csv,carbo:low,protein,3.4090909
UScereal.csv,carbo:low,protein,1
UScereal.csv,carbo:low,protein,4
UScereal.csv,carbo:low,protein,0.7518797
UScereal.csv,carbo:low,protein,1.3333333
UScereal.csv,carbo:low,protein,5.9701493
UScereal.csv,carbo:low,protein,2
UScereal.csv,carbo:low,protein,2
UScereal.csv,carbo:low,protein,4.4776119
UScereal.csv,carbo:low,protein,1
UScereal.csv,carbo:low,protein,2.6666667
UScereal.csv,carbo:low,protein,6
UScereal.csv,carbo:low,protein,3
UScereal.csv,carbo:low,protein,3
UScereal.csv,carbo:low,protein,1
UScereal.csv,carbo:low,protein,3
UScereal.csv,carbo:high,protein,12.1212121
UScereal.csv,carbo:high,protein,4
UScereal.csv,carbo:high,protein,2.9850746
UScereal.csv,carbo:high,protein,4.4776119
UScereal.csv,carbo:high,protein,6
UScereal.csv,carbo:high,protein,2
UScereal.csv,carbo:high,protein,2
UScereal.csv,carbo:high,protein,6
UScereal.csv,carbo:high,protein,2
UScereal.csv,carbo:high,protein,2.6666667
UScereal.csv,carbo:high,protein,1.3333333
UScereal.csv,carbo:high,protein,4.4776119
UScereal.csv,carbo:high,protein,1.3333333
UScereal.csv,carbo:high,protein,12
UScereal.csv,carbo:high,protein,9.0909091
UScereal.csv,carbo:high,protein,4
UScereal.csv,carbo:high,protein,4.4776119
UScereal.csv,carbo:high,protein,2.9850746
UScereal.csv,carbo:high,protein,4.4776119
UScereal.csv,carbo:high,protein,6
UScereal.csv,carbo:high,protein,3
UScereal.csv,carbo:high,protein,8
UScereal.csv,carbo:high,protein,4
UScereal.csv,carbo:high,protein,6
UScereal.csv,carbo:high,protein,4
UScereal.csv,carbo:high,protein,0.8849558
UScereal.csv,carbo:high,protein,2
UScereal.csv,carbo:high,protein,4.4776119
UScereal.csv,carbo:high,protein,4.4776119
UScereal.csv,carbo:high,protein,2
UScereal.csv,carbo:high,protein,2.6666667
UScereal.csv,carbo:high,protein,4.4776119
UScereal.csv,carbo:high,protein,2.6666667
