fileName,groupName,attributeName,attributeValue
UScereal.csv,carbo:low,sugars,18.181818
UScereal.csv,carbo:low,sugars,0
UScereal.csv,carbo:low,sugars,13.333333
UScereal.csv,carbo:low,sugars,14
UScereal.csv,carbo:low,sugars,16
UScereal.csv,carbo:low,sugars,0.8
UScereal.csv,carbo:low,sugars,12
UScereal.csv,carbo:low,sugars,13
UScereal.csv,carbo:low,sugars,12
UScereal.csv,carbo:low,sugars,13
UScereal.csv,carbo:low,sugars,13.333333
UScereal.csv,carbo:low,sugars,13
UScereal.csv,carbo:low,sugars,8.75
UScereal.csv,carbo:low,sugars,14.925373
UScereal.csv,carbo:low,sugars,16
UScereal.csv,carbo:low,sugars,17.045455
UScereal.csv,carbo:low,sugars,5.681818
UScereal.csv,carbo:low,sugars,11
UScereal.csv,carbo:low,sugars,13.333333
UScereal.csv,carbo:low,sugars,8.270677
UScereal.csv,carbo:low,sugars,2
UScereal.csv,carbo:low,sugars,8.955224
UScereal.csv,carbo:low,sugars,12
UScereal.csv,carbo:low,sugars,6
UScereal.csv,carbo:low,sugars,20.895522
UScereal.csv,carbo:low,sugars,0
UScereal.csv,carbo:low,sugars,20
UScereal.csv,carbo:low,sugars,3
UScereal.csv,carbo:low,sugars,14
UScereal.csv,carbo:low,sugars,3
UScereal.csv,carbo:low,sugars,12
UScereal.csv,carbo:low,sugars,3
UScereal.csv,carbo:high,sugars,15.151515
UScereal.csv,carbo:high,sugars,10.666667
UScereal.csv,carbo:high,sugars,8.955224
UScereal.csv,carbo:high,sugars,7.462687
UScereal.csv,carbo:high,sugars,14
UScereal.csv,carbo:high,sugars,3
UScereal.csv,carbo:high,sugars,2
UScereal.csv,carbo:high,sugars,14
UScereal.csv,carbo:high,sugars,3
UScereal.csv,carbo:high,sugars,6.666667
UScereal.csv,carbo:high,sugars,14.666667
UScereal.csv,carbo:high,sugars,17.910448
UScereal.csv,carbo:high,sugars,12
UScereal.csv,carbo:high,sugars,12
UScereal.csv,carbo:high,sugars,12.121212
UScereal.csv,carbo:high,sugars,12
UScereal.csv,carbo:high,sugars,19.402985
UScereal.csv,carbo:high,sugars,13.432836
UScereal.csv,carbo:high,sugars,10.447761
UScereal.csv,carbo:high,sugars,20
UScereal.csv,carbo:high,sugars,3
UScereal.csv,carbo:high,sugars,12
UScereal.csv,carbo:high,sugars,16
UScereal.csv,carbo:high,sugars,16
UScereal.csv,carbo:high,sugars,12
UScereal.csv,carbo:high,sugars,1.769912
UScereal.csv,carbo:high,sugars,3
UScereal.csv,carbo:high,sugars,0
UScereal.csv,carbo:high,sugars,0
UScereal.csv,carbo:high,sugars,3
UScereal.csv,carbo:high,sugars,4
UScereal.csv,carbo:high,sugars,4.477612
UScereal.csv,carbo:high,sugars,10.666667
