fileName,groupName,attributeName,attributeValue
UScereal.csv,protein:low,carbo,14
UScereal.csv,protein:low,carbo,11
UScereal.csv,protein:low,carbo,22.38806
UScereal.csv,protein:low,carbo,16
UScereal.csv,protein:low,carbo,17.33333
UScereal.csv,protein:low,carbo,12
UScereal.csv,protein:low,carbo,22
UScereal.csv,protein:low,carbo,21
UScereal.csv,protein:low,carbo,13
UScereal.csv,protein:low,carbo,12
UScereal.csv,protein:low,carbo,21
UScereal.csv,protein:low,carbo,14.66667
UScereal.csv,protein:low,carbo,24
UScereal.csv,protein:low,carbo,11
UScereal.csv,protein:low,carbo,18.66667
UScereal.csv,protein:low,carbo,17.33333
UScereal.csv,protein:low,carbo,12.5
UScereal.csv,protein:low,carbo,20
UScereal.csv,protein:low,carbo,12
UScereal.csv,protein:low,carbo,10.52632
UScereal.csv,protein:low,carbo,14
UScereal.csv,protein:low,carbo,12
UScereal.csv,protein:low,carbo,15
UScereal.csv,protein:low,carbo,22.38806
UScereal.csv,protein:low,carbo,13
UScereal.csv,protein:low,carbo,20.35398
UScereal.csv,protein:low,carbo,22
UScereal.csv,protein:low,carbo,12
UScereal.csv,protein:low,carbo,21
UScereal.csv,protein:low,carbo,28
UScereal.csv,protein:low,carbo,13
UScereal.csv,protein:low,carbo,21.33333
UScereal.csv,protein:high,carbo,15.15152
UScereal.csv,protein:high,carbo,21.21212
UScereal.csv,protein:high,carbo,16
UScereal.csv,protein:high,carbo,24
UScereal.csv,protein:high,carbo,19.40299
UScereal.csv,protein:high,carbo,13.6
UScereal.csv,protein:high,carbo,26
UScereal.csv,protein:high,carbo,20
UScereal.csv,protein:high,carbo,17.5
UScereal.csv,protein:high,carbo,17.91045
UScereal.csv,protein:high,carbo,20.89552
UScereal.csv,protein:high,carbo,17.04545
UScereal.csv,protein:high,carbo,68
UScereal.csv,protein:high,carbo,39.39394
UScereal.csv,protein:high,carbo,15.33333
UScereal.csv,protein:high,carbo,26.66667
UScereal.csv,protein:high,carbo,17.91045
UScereal.csv,protein:high,carbo,25.37313
UScereal.csv,protein:high,carbo,31.34328
UScereal.csv,protein:high,carbo,27
UScereal.csv,protein:high,carbo,16.41791
UScereal.csv,protein:high,carbo,20
UScereal.csv,protein:high,carbo,28
UScereal.csv,protein:high,carbo,18.66667
UScereal.csv,protein:high,carbo,21
UScereal.csv,protein:high,carbo,30
UScereal.csv,protein:high,carbo,28.35821
UScereal.csv,protein:high,carbo,29.85075
UScereal.csv,protein:high,carbo,16
UScereal.csv,protein:high,carbo,15
UScereal.csv,protein:high,carbo,16
UScereal.csv,protein:high,carbo,25.37313
UScereal.csv,protein:high,carbo,17
