fileName,groupName,attributeName,attributeValue
UScereal.csv,protein:low,fibre,2
UScereal.csv,protein:low,fibre,1
UScereal.csv,protein:low,fibre,5.970149
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,1
UScereal.csv,protein:low,fibre,1
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,1
UScereal.csv,protein:low,fibre,2.666667
UScereal.csv,protein:low,fibre,1.333333
UScereal.csv,protein:low,fibre,1
UScereal.csv,protein:low,fibre,1.333333
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,1
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,2
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,1.333333
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,0
UScereal.csv,protein:low,fibre,1.333333
UScereal.csv,protein:high,fibre,30.30303
UScereal.csv,protein:high,fibre,27.272727
UScereal.csv,protein:high,fibre,28
UScereal.csv,protein:high,fibre,2.666667
UScereal.csv,protein:high,fibre,7.462687
UScereal.csv,protein:high,fibre,1.6
UScereal.csv,protein:high,fibre,4
UScereal.csv,protein:high,fibre,8
UScereal.csv,protein:high,fibre,3.75
UScereal.csv,protein:high,fibre,7.462687
UScereal.csv,protein:high,fibre,7.462687
UScereal.csv,protein:high,fibre,3.409091
UScereal.csv,protein:high,fibre,12
UScereal.csv,protein:high,fibre,9.090909
UScereal.csv,protein:high,fibre,2
UScereal.csv,protein:high,fibre,2.666667
UScereal.csv,protein:high,fibre,2.985075
UScereal.csv,protein:high,fibre,4.477612
UScereal.csv,protein:high,fibre,4.477612
UScereal.csv,protein:high,fibre,3
UScereal.csv,protein:high,fibre,8.955224
UScereal.csv,protein:high,fibre,1
UScereal.csv,protein:high,fibre,4
UScereal.csv,protein:high,fibre,6.666667
UScereal.csv,protein:high,fibre,5
UScereal.csv,protein:high,fibre,4
UScereal.csv,protein:high,fibre,5.970149
UScereal.csv,protein:high,fibre,4.477612
UScereal.csv,protein:high,fibre,1
UScereal.csv,protein:high,fibre,4
UScereal.csv,protein:high,fibre,3
UScereal.csv,protein:high,fibre,4.477612
UScereal.csv,protein:high,fibre,3
