fileName,groupName,attributeName,attributeValue
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,R
UScereal.csv,protein:low,mfr,Q
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,R
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,R
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,P
UScereal.csv,protein:low,mfr,P
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,Q
UScereal.csv,protein:low,mfr,P
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,Q
UScereal.csv,protein:low,mfr,R
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,K
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:low,mfr,G
UScereal.csv,protein:high,mfr,N
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,G
UScereal.csv,protein:high,mfr,P
UScereal.csv,protein:high,mfr,G
UScereal.csv,protein:high,mfr,G
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,P
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,P
UScereal.csv,protein:high,mfr,P
UScereal.csv,protein:high,mfr,P
UScereal.csv,protein:high,mfr,G
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,Q
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,G
UScereal.csv,protein:high,mfr,P
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,Q
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,G
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,N
UScereal.csv,protein:high,mfr,N
UScereal.csv,protein:high,mfr,K
UScereal.csv,protein:high,mfr,G
UScereal.csv,protein:high,mfr,G
UScereal.csv,protein:high,mfr,R
UScereal.csv,protein:high,mfr,G
