fileName,groupName,attributeName,attributeValue
UScereal.csv,protein:low,sodium,240
UScereal.csv,protein:low,sodium,125
UScereal.csv,protein:low,sodium,298.50746
UScereal.csv,protein:low,sodium,293.33333
UScereal.csv,protein:low,sodium,280
UScereal.csv,protein:low,sodium,180
UScereal.csv,protein:low,sodium,280
UScereal.csv,protein:low,sodium,290
UScereal.csv,protein:low,sodium,90
UScereal.csv,protein:low,sodium,180
UScereal.csv,protein:low,sodium,220
UScereal.csv,protein:low,sodium,186.66667
UScereal.csv,protein:low,sodium,253.33333
UScereal.csv,protein:low,sodium,125
UScereal.csv,protein:low,sodium,266.66667
UScereal.csv,protein:low,sodium,180
UScereal.csv,protein:low,sodium,51.13636
UScereal.csv,protein:low,sodium,373.33333
UScereal.csv,protein:low,sodium,220
UScereal.csv,protein:low,sodium,135.33835
UScereal.csv,protein:low,sodium,173.33333
UScereal.csv,protein:low,sodium,180
UScereal.csv,protein:low,sodium,220
UScereal.csv,protein:low,sodium,283.58209
UScereal.csv,protein:low,sodium,0
UScereal.csv,protein:low,sodium,212.38938
UScereal.csv,protein:low,sodium,290
UScereal.csv,protein:low,sodium,93.33333
UScereal.csv,protein:low,sodium,200
UScereal.csv,protein:low,sodium,333.33333
UScereal.csv,protein:low,sodium,140
UScereal.csv,protein:low,sodium,266.66667
UScereal.csv,protein:high,sodium,393.93939
UScereal.csv,protein:high,sodium,787.87879
UScereal.csv,protein:high,sodium,280
UScereal.csv,protein:high,sodium,280
UScereal.csv,protein:high,sodium,313.43284
UScereal.csv,protein:high,sodium,232
UScereal.csv,protein:high,sodium,280
UScereal.csv,protein:high,sodium,280
UScereal.csv,protein:high,sodium,0
UScereal.csv,protein:high,sodium,238.80597
UScereal.csv,protein:high,sodium,358.20896
UScereal.csv,protein:high,sodium,159.09091
UScereal.csv,protein:high,sodium,680
UScereal.csv,protein:high,sodium,227.27273
UScereal.csv,protein:high,sodium,333.33333
UScereal.csv,protein:high,sodium,226.66667
UScereal.csv,protein:high,sodium,223.8806
UScereal.csv,protein:high,sodium,223.8806
UScereal.csv,protein:high,sodium,328.35821
UScereal.csv,protein:high,sodium,340
UScereal.csv,protein:high,sodium,298.50746
UScereal.csv,protein:high,sodium,320
UScereal.csv,protein:high,sodium,270
UScereal.csv,protein:high,sodium,280
UScereal.csv,protein:high,sodium,280
UScereal.csv,protein:high,sodium,0
UScereal.csv,protein:high,sodium,0
UScereal.csv,protein:high,sodium,0
UScereal.csv,protein:high,sodium,230
UScereal.csv,protein:high,sodium,190
UScereal.csv,protein:high,sodium,200
UScereal.csv,protein:high,sodium,343.28358
UScereal.csv,protein:high,sodium,200
