fileName,groupName,attributeName,attributeValue
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,none
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,100%
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:low,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,100%
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,100%
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,none
UScereal.csv,protein:high,vitamins,none
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,100%
UScereal.csv,protein:high,vitamins,100%
UScereal.csv,protein:high,vitamins,enriched
UScereal.csv,protein:high,vitamins,enriched
