fileName,groupName,attributeName,attributeValue
UScereal.csv,shelf:1,mfr,G
UScereal.csv,shelf:1,mfr,R
UScereal.csv,shelf:1,mfr,G
UScereal.csv,shelf:1,mfr,R
UScereal.csv,shelf:1,mfr,K
UScereal.csv,shelf:1,mfr,K
UScereal.csv,shelf:1,mfr,P
UScereal.csv,shelf:1,mfr,G
UScereal.csv,shelf:1,mfr,P
UScereal.csv,shelf:1,mfr,G
UScereal.csv,shelf:1,mfr,R
UScereal.csv,shelf:1,mfr,K
UScereal.csv,shelf:1,mfr,N
UScereal.csv,shelf:1,mfr,N
UScereal.csv,shelf:1,mfr,K
UScereal.csv,shelf:1,mfr,R
UScereal.csv,shelf:1,mfr,G
UScereal.csv,shelf:1,mfr,G
UScereal.csv,shelf:3,mfr,N
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,G
UScereal.csv,shelf:3,mfr,P
UScereal.csv,shelf:3,mfr,G
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,G
UScereal.csv,shelf:3,mfr,R
UScereal.csv,shelf:3,mfr,P
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,P
UScereal.csv,shelf:3,mfr,P
UScereal.csv,shelf:3,mfr,P
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,G
UScereal.csv,shelf:3,mfr,P
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,Q
UScereal.csv,shelf:3,mfr,Q
UScereal.csv,shelf:3,mfr,G
UScereal.csv,shelf:3,mfr,K
UScereal.csv,shelf:3,mfr,G
UScereal.csv,shelf:3,mfr,G
UScereal.csv,shelf:3,mfr,G
UScereal.csv,shelf:3,mfr,G
