fileName,groupName,attributeName,attributeValue
UScereal.csv,vitamins:100%,protein,4
UScereal.csv,vitamins:100%,protein,3
UScereal.csv,vitamins:100%,protein,2
UScereal.csv,vitamins:100%,protein,3
UScereal.csv,vitamins:100%,protein,3
UScereal.csv,vitamins:enriched,protein,12.1212121
UScereal.csv,vitamins:enriched,protein,12.1212121
UScereal.csv,vitamins:enriched,protein,8
UScereal.csv,vitamins:enriched,protein,2.6666667
UScereal.csv,vitamins:enriched,protein,2
UScereal.csv,vitamins:enriched,protein,4
UScereal.csv,vitamins:enriched,protein,2.9850746
UScereal.csv,vitamins:enriched,protein,4.4776119
UScereal.csv,vitamins:enriched,protein,1.3333333
UScereal.csv,vitamins:enriched,protein,4.8
UScereal.csv,vitamins:enriched,protein,1.3333333
UScereal.csv,vitamins:enriched,protein,6
UScereal.csv,vitamins:enriched,protein,1
UScereal.csv,vitamins:enriched,protein,2
UScereal.csv,vitamins:enriched,protein,2
UScereal.csv,vitamins:enriched,protein,1
UScereal.csv,vitamins:enriched,protein,1
UScereal.csv,vitamins:enriched,protein,6
UScereal.csv,vitamins:enriched,protein,2
UScereal.csv,vitamins:enriched,protein,2.6666667
UScereal.csv,vitamins:enriched,protein,2.6666667
UScereal.csv,vitamins:enriched,protein,2
UScereal.csv,vitamins:enriched,protein,1.3333333
UScereal.csv,vitamins:enriched,protein,3.75
UScereal.csv,vitamins:enriched,protein,4.4776119
UScereal.csv,vitamins:enriched,protein,4.4776119
UScereal.csv,vitamins:enriched,protein,1.3333333
UScereal.csv,vitamins:enriched,protein,2.2727273
UScereal.csv,vitamins:enriched,protein,1.3333333
UScereal.csv,vitamins:enriched,protein,3.4090909
UScereal.csv,vitamins:enriched,protein,12
UScereal.csv,vitamins:enriched,protein,9.0909091
UScereal.csv,vitamins:enriched,protein,1
UScereal.csv,vitamins:enriched,protein,4
UScereal.csv,vitamins:enriched,protein,0.7518797
UScereal.csv,vitamins:enriched,protein,1.3333333
UScereal.csv,vitamins:enriched,protein,5.9701493
UScereal.csv,vitamins:enriched,protein,2
UScereal.csv,vitamins:enriched,protein,4.4776119
UScereal.csv,vitamins:enriched,protein,2
UScereal.csv,vitamins:enriched,protein,2.9850746
UScereal.csv,vitamins:enriched,protein,4.4776119
UScereal.csv,vitamins:enriched,protein,6
UScereal.csv,vitamins:enriched,protein,4.4776119
UScereal.csv,vitamins:enriched,protein,8
UScereal.csv,vitamins:enriched,protein,4
UScereal.csv,vitamins:enriched,protein,6
UScereal.csv,vitamins:enriched,protein,4
UScereal.csv,vitamins:enriched,protein,0.8849558
UScereal.csv,vitamins:enriched,protein,2
UScereal.csv,vitamins:enriched,protein,2.6666667
UScereal.csv,vitamins:enriched,protein,6
UScereal.csv,vitamins:enriched,protein,2.6666667
UScereal.csv,vitamins:enriched,protein,1
UScereal.csv,vitamins:enriched,protein,4.4776119
UScereal.csv,vitamins:enriched,protein,3
UScereal.csv,vitamins:enriched,protein,2.6666667
