fileName,groupName,attributeName,attributeValue
UScereal.csv,vitamins:100%,sodium,226.66667
UScereal.csv,vitamins:100%,sodium,320
UScereal.csv,vitamins:100%,sodium,200
UScereal.csv,vitamins:100%,sodium,190
UScereal.csv,vitamins:100%,sodium,200
UScereal.csv,vitamins:enriched,sodium,393.93939
UScereal.csv,vitamins:enriched,sodium,787.87879
UScereal.csv,vitamins:enriched,sodium,280
UScereal.csv,vitamins:enriched,sodium,240
UScereal.csv,vitamins:enriched,sodium,125
UScereal.csv,vitamins:enriched,sodium,280
UScereal.csv,vitamins:enriched,sodium,298.50746
UScereal.csv,vitamins:enriched,sodium,313.43284
UScereal.csv,vitamins:enriched,sodium,293.33333
UScereal.csv,vitamins:enriched,sodium,232
UScereal.csv,vitamins:enriched,sodium,280
UScereal.csv,vitamins:enriched,sodium,280
UScereal.csv,vitamins:enriched,sodium,180
UScereal.csv,vitamins:enriched,sodium,280
UScereal.csv,vitamins:enriched,sodium,290
UScereal.csv,vitamins:enriched,sodium,90
UScereal.csv,vitamins:enriched,sodium,180
UScereal.csv,vitamins:enriched,sodium,280
UScereal.csv,vitamins:enriched,sodium,220
UScereal.csv,vitamins:enriched,sodium,186.66667
UScereal.csv,vitamins:enriched,sodium,253.33333
UScereal.csv,vitamins:enriched,sodium,125
UScereal.csv,vitamins:enriched,sodium,266.66667
UScereal.csv,vitamins:enriched,sodium,0
UScereal.csv,vitamins:enriched,sodium,238.80597
UScereal.csv,vitamins:enriched,sodium,358.20896
UScereal.csv,vitamins:enriched,sodium,180
UScereal.csv,vitamins:enriched,sodium,51.13636
UScereal.csv,vitamins:enriched,sodium,373.33333
UScereal.csv,vitamins:enriched,sodium,159.09091
UScereal.csv,vitamins:enriched,sodium,680
UScereal.csv,vitamins:enriched,sodium,227.27273
UScereal.csv,vitamins:enriched,sodium,220
UScereal.csv,vitamins:enriched,sodium,333.33333
UScereal.csv,vitamins:enriched,sodium,135.33835
UScereal.csv,vitamins:enriched,sodium,173.33333
UScereal.csv,vitamins:enriched,sodium,223.8806
UScereal.csv,vitamins:enriched,sodium,180
UScereal.csv,vitamins:enriched,sodium,223.8806
UScereal.csv,vitamins:enriched,sodium,220
UScereal.csv,vitamins:enriched,sodium,283.58209
UScereal.csv,vitamins:enriched,sodium,328.35821
UScereal.csv,vitamins:enriched,sodium,340
UScereal.csv,vitamins:enriched,sodium,298.50746
UScereal.csv,vitamins:enriched,sodium,270
UScereal.csv,vitamins:enriched,sodium,280
UScereal.csv,vitamins:enriched,sodium,280
UScereal.csv,vitamins:enriched,sodium,0
UScereal.csv,vitamins:enriched,sodium,212.38938
UScereal.csv,vitamins:enriched,sodium,290
UScereal.csv,vitamins:enriched,sodium,93.33333
UScereal.csv,vitamins:enriched,sodium,230
UScereal.csv,vitamins:enriched,sodium,333.33333
UScereal.csv,vitamins:enriched,sodium,140
UScereal.csv,vitamins:enriched,sodium,343.28358
UScereal.csv,vitamins:enriched,sodium,200
UScereal.csv,vitamins:enriched,sodium,266.66667
