fileName,groupName,attributeName,attributeValue
VA.csv,cell:1,Karn,60
VA.csv,cell:1,Karn,70
VA.csv,cell:1,Karn,60
VA.csv,cell:1,Karn,60
VA.csv,cell:1,Karn,70
VA.csv,cell:1,Karn,20
VA.csv,cell:1,Karn,40
VA.csv,cell:1,Karn,80
VA.csv,cell:1,Karn,50
VA.csv,cell:1,Karn,70
VA.csv,cell:1,Karn,60
VA.csv,cell:1,Karn,40
VA.csv,cell:1,Karn,30
VA.csv,cell:1,Karn,80
VA.csv,cell:1,Karn,70
VA.csv,cell:1,Karn,90
VA.csv,cell:1,Karn,80
VA.csv,cell:1,Karn,80
VA.csv,cell:1,Karn,50
VA.csv,cell:1,Karn,50
VA.csv,cell:1,Karn,70
VA.csv,cell:1,Karn,70
VA.csv,cell:1,Karn,20
VA.csv,cell:1,Karn,60
VA.csv,cell:1,Karn,90
VA.csv,cell:1,Karn,30
VA.csv,cell:1,Karn,20
VA.csv,cell:1,Karn,70
VA.csv,cell:1,Karn,90
VA.csv,cell:1,Karn,80
VA.csv,cell:1,Karn,50
VA.csv,cell:1,Karn,70
VA.csv,cell:1,Karn,60
VA.csv,cell:1,Karn,90
VA.csv,cell:1,Karn,50
VA.csv,cell:4,Karn,50
VA.csv,cell:4,Karn,80
VA.csv,cell:4,Karn,50
VA.csv,cell:4,Karn,70
VA.csv,cell:4,Karn,60
VA.csv,cell:4,Karn,40
VA.csv,cell:4,Karn,80
VA.csv,cell:4,Karn,80
VA.csv,cell:4,Karn,70
VA.csv,cell:4,Karn,90
VA.csv,cell:4,Karn,90
VA.csv,cell:4,Karn,80
VA.csv,cell:4,Karn,80
VA.csv,cell:4,Karn,70
VA.csv,cell:4,Karn,60
VA.csv,cell:4,Karn,60
VA.csv,cell:4,Karn,70
VA.csv,cell:4,Karn,30
VA.csv,cell:4,Karn,60
VA.csv,cell:4,Karn,30
VA.csv,cell:4,Karn,60
VA.csv,cell:4,Karn,80
VA.csv,cell:4,Karn,75
VA.csv,cell:4,Karn,60
VA.csv,cell:4,Karn,70
VA.csv,cell:4,Karn,80
VA.csv,cell:4,Karn,30
