fileName,groupName,attributeName,attributeValue
VA.csv,cell:1,stime,72
VA.csv,cell:1,stime,411
VA.csv,cell:1,stime,228
VA.csv,cell:1,stime,126
VA.csv,cell:1,stime,118
VA.csv,cell:1,stime,10
VA.csv,cell:1,stime,82
VA.csv,cell:1,stime,110
VA.csv,cell:1,stime,314
VA.csv,cell:1,stime,100
VA.csv,cell:1,stime,42
VA.csv,cell:1,stime,8
VA.csv,cell:1,stime,144
VA.csv,cell:1,stime,25
VA.csv,cell:1,stime,11
VA.csv,cell:1,stime,999
VA.csv,cell:1,stime,112
VA.csv,cell:1,stime,87
VA.csv,cell:1,stime,231
VA.csv,cell:1,stime,242
VA.csv,cell:1,stime,991
VA.csv,cell:1,stime,111
VA.csv,cell:1,stime,1
VA.csv,cell:1,stime,587
VA.csv,cell:1,stime,389
VA.csv,cell:1,stime,33
VA.csv,cell:1,stime,25
VA.csv,cell:1,stime,357
VA.csv,cell:1,stime,467
VA.csv,cell:1,stime,201
VA.csv,cell:1,stime,1
VA.csv,cell:1,stime,30
VA.csv,cell:1,stime,44
VA.csv,cell:1,stime,283
VA.csv,cell:1,stime,15
VA.csv,cell:4,stime,177
VA.csv,cell:4,stime,162
VA.csv,cell:4,stime,216
VA.csv,cell:4,stime,553
VA.csv,cell:4,stime,278
VA.csv,cell:4,stime,12
VA.csv,cell:4,stime,260
VA.csv,cell:4,stime,200
VA.csv,cell:4,stime,156
VA.csv,cell:4,stime,182
VA.csv,cell:4,stime,143
VA.csv,cell:4,stime,105
VA.csv,cell:4,stime,103
VA.csv,cell:4,stime,250
VA.csv,cell:4,stime,100
VA.csv,cell:4,stime,52
VA.csv,cell:4,stime,164
VA.csv,cell:4,stime,19
VA.csv,cell:4,stime,53
VA.csv,cell:4,stime,15
VA.csv,cell:4,stime,43
VA.csv,cell:4,stime,340
VA.csv,cell:4,stime,133
VA.csv,cell:4,stime,111
VA.csv,cell:4,stime,231
VA.csv,cell:4,stime,378
VA.csv,cell:4,stime,49
