fileName,groupName,attributeName,attributeValue
VA.csv,status:1,stime,72
VA.csv,status:1,stime,411
VA.csv,status:1,stime,228
VA.csv,status:1,stime,126
VA.csv,status:1,stime,118
VA.csv,status:1,stime,10
VA.csv,status:1,stime,82
VA.csv,status:1,stime,110
VA.csv,status:1,stime,314
VA.csv,status:1,stime,42
VA.csv,status:1,stime,8
VA.csv,status:1,stime,144
VA.csv,status:1,stime,11
VA.csv,status:1,stime,30
VA.csv,status:1,stime,384
VA.csv,status:1,stime,4
VA.csv,status:1,stime,54
VA.csv,status:1,stime,13
VA.csv,status:1,stime,153
VA.csv,status:1,stime,59
VA.csv,status:1,stime,117
VA.csv,status:1,stime,16
VA.csv,status:1,stime,151
VA.csv,status:1,stime,22
VA.csv,status:1,stime,56
VA.csv,status:1,stime,21
VA.csv,status:1,stime,18
VA.csv,status:1,stime,139
VA.csv,status:1,stime,20
VA.csv,status:1,stime,31
VA.csv,status:1,stime,52
VA.csv,status:1,stime,287
VA.csv,status:1,stime,18
VA.csv,status:1,stime,51
VA.csv,status:1,stime,122
VA.csv,status:1,stime,27
VA.csv,status:1,stime,54
VA.csv,status:1,stime,7
VA.csv,status:1,stime,63
VA.csv,status:1,stime,392
VA.csv,status:1,stime,10
VA.csv,status:1,stime,8
VA.csv,status:1,stime,92
VA.csv,status:1,stime,35
VA.csv,status:1,stime,117
VA.csv,status:1,stime,132
VA.csv,status:1,stime,12
VA.csv,status:1,stime,162
VA.csv,status:1,stime,3
VA.csv,status:1,stime,95
VA.csv,status:1,stime,177
VA.csv,status:1,stime,162
VA.csv,status:1,stime,216
VA.csv,status:1,stime,553
VA.csv,status:1,stime,278
VA.csv,status:1,stime,12
VA.csv,status:1,stime,260
VA.csv,status:1,stime,200
VA.csv,status:1,stime,156
VA.csv,status:1,stime,143
VA.csv,status:1,stime,105
VA.csv,status:1,stime,103
VA.csv,status:1,stime,250
VA.csv,status:1,stime,100
VA.csv,status:1,stime,999
VA.csv,status:1,stime,112
VA.csv,status:1,stime,242
VA.csv,status:1,stime,991
VA.csv,status:1,stime,111
VA.csv,status:1,stime,1
VA.csv,status:1,stime,587
VA.csv,status:1,stime,389
VA.csv,status:1,stime,33
VA.csv,status:1,stime,25
VA.csv,status:1,stime,357
VA.csv,status:1,stime,467
VA.csv,status:1,stime,201
VA.csv,status:1,stime,1
VA.csv,status:1,stime,30
VA.csv,status:1,stime,44
VA.csv,status:1,stime,283
VA.csv,status:1,stime,15
VA.csv,status:1,stime,25
VA.csv,status:1,stime,21
VA.csv,status:1,stime,13
VA.csv,status:1,stime,87
VA.csv,status:1,stime,2
VA.csv,status:1,stime,20
VA.csv,status:1,stime,7
VA.csv,status:1,stime,24
VA.csv,status:1,stime,99
VA.csv,status:1,stime,8
VA.csv,status:1,stime,99
VA.csv,status:1,stime,61
VA.csv,status:1,stime,25
VA.csv,status:1,stime,95
VA.csv,status:1,stime,80
VA.csv,status:1,stime,51
VA.csv,status:1,stime,29
VA.csv,status:1,stime,24
VA.csv,status:1,stime,18
VA.csv,status:1,stime,31
VA.csv,status:1,stime,51
VA.csv,status:1,stime,90
VA.csv,status:1,stime,52
VA.csv,status:1,stime,73
VA.csv,status:1,stime,8
VA.csv,status:1,stime,36
VA.csv,status:1,stime,48
VA.csv,status:1,stime,7
VA.csv,status:1,stime,140
VA.csv,status:1,stime,186
VA.csv,status:1,stime,84
VA.csv,status:1,stime,19
VA.csv,status:1,stime,45
VA.csv,status:1,stime,80
VA.csv,status:1,stime,52
VA.csv,status:1,stime,164
VA.csv,status:1,stime,19
VA.csv,status:1,stime,53
VA.csv,status:1,stime,15
VA.csv,status:1,stime,43
VA.csv,status:1,stime,340
VA.csv,status:1,stime,133
VA.csv,status:1,stime,111
VA.csv,status:1,stime,231
VA.csv,status:1,stime,378
VA.csv,status:1,stime,49
VA.csv,status:0,stime,100
VA.csv,status:0,stime,25
VA.csv,status:0,stime,123
VA.csv,status:0,stime,97
VA.csv,status:0,stime,182
VA.csv,status:0,stime,87
VA.csv,status:0,stime,231
VA.csv,status:0,stime,103
VA.csv,status:0,stime,83
