fileName,groupName,attributeName,attributeValue
ais.csv,bmi:low,hg,12.3
ais.csv,bmi:low,hg,12.7
ais.csv,bmi:low,hg,11.6
ais.csv,bmi:low,hg,12.6
ais.csv,bmi:low,hg,14
ais.csv,bmi:low,hg,12.5
ais.csv,bmi:low,hg,12.8
ais.csv,bmi:low,hg,13.2
ais.csv,bmi:low,hg,13.5
ais.csv,bmi:low,hg,12.7
ais.csv,bmi:low,hg,14.7
ais.csv,bmi:low,hg,14.1
ais.csv,bmi:low,hg,14.7
ais.csv,bmi:low,hg,13.3
ais.csv,bmi:low,hg,12.9
ais.csv,bmi:low,hg,14.7
ais.csv,bmi:low,hg,15.2
ais.csv,bmi:low,hg,14.3
ais.csv,bmi:low,hg,13.2
ais.csv,bmi:low,hg,14.5
ais.csv,bmi:low,hg,15
ais.csv,bmi:low,hg,14.8
ais.csv,bmi:low,hg,13.6
ais.csv,bmi:low,hg,12.7
ais.csv,bmi:low,hg,12.3
ais.csv,bmi:low,hg,12.3
ais.csv,bmi:low,hg,12.8
ais.csv,bmi:low,hg,11.8
ais.csv,bmi:low,hg,12.7
ais.csv,bmi:low,hg,12.4
ais.csv,bmi:low,hg,12.1
ais.csv,bmi:low,hg,13.1
ais.csv,bmi:low,hg,13.4
ais.csv,bmi:low,hg,12.8
ais.csv,bmi:low,hg,13.8
ais.csv,bmi:low,hg,13.3
ais.csv,bmi:low,hg,12.9
ais.csv,bmi:low,hg,14
ais.csv,bmi:low,hg,13.9
ais.csv,bmi:low,hg,14
ais.csv,bmi:low,hg,13.1
ais.csv,bmi:low,hg,13.3
ais.csv,bmi:low,hg,15.9
ais.csv,bmi:low,hg,12.4
ais.csv,bmi:low,hg,13.4
ais.csv,bmi:low,hg,14.7
ais.csv,bmi:low,hg,13
ais.csv,bmi:low,hg,13.8
ais.csv,bmi:low,hg,13.2
ais.csv,bmi:low,hg,12.6
ais.csv,bmi:low,hg,13.5
ais.csv,bmi:low,hg,14.4
ais.csv,bmi:low,hg,13.7
ais.csv,bmi:low,hg,14.8
ais.csv,bmi:low,hg,14.7
ais.csv,bmi:low,hg,14.2
ais.csv,bmi:low,hg,13.9
ais.csv,bmi:low,hg,13.5
ais.csv,bmi:low,hg,12.1
ais.csv,bmi:low,hg,14.8
ais.csv,bmi:low,hg,14.5
ais.csv,bmi:low,hg,13.9
ais.csv,bmi:low,hg,13.4
ais.csv,bmi:low,hg,14
ais.csv,bmi:low,hg,12.5
ais.csv,bmi:low,hg,14.5
ais.csv,bmi:low,hg,15.9
ais.csv,bmi:low,hg,15.6
ais.csv,bmi:low,hg,16.1
ais.csv,bmi:low,hg,15.3
ais.csv,bmi:low,hg,14.9
ais.csv,bmi:low,hg,15.6
ais.csv,bmi:low,hg,15.9
