fileName,groupName,attributeName,attributeValue
ais.csv,bmi:low,wcc,7.5
ais.csv,bmi:low,wcc,8.3
ais.csv,bmi:low,wcc,5
ais.csv,bmi:low,wcc,5.3
ais.csv,bmi:low,wcc,6.8
ais.csv,bmi:low,wcc,4.4
ais.csv,bmi:low,wcc,5.3
ais.csv,bmi:low,wcc,5.7
ais.csv,bmi:low,wcc,8.9
ais.csv,bmi:low,wcc,4.4
ais.csv,bmi:low,wcc,7.3
ais.csv,bmi:low,wcc,7.8
ais.csv,bmi:low,wcc,6
ais.csv,bmi:low,wcc,5.8
ais.csv,bmi:low,wcc,7.3
ais.csv,bmi:low,wcc,8.3
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,5.6
ais.csv,bmi:low,wcc,7.5
ais.csv,bmi:low,wcc,6.6
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,7.3
ais.csv,bmi:low,wcc,13.3
ais.csv,bmi:low,wcc,6
ais.csv,bmi:low,wcc,7.6
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,5.8
ais.csv,bmi:low,wcc,6.1
ais.csv,bmi:low,wcc,5
ais.csv,bmi:low,wcc,5.5
ais.csv,bmi:low,wcc,6.3
ais.csv,bmi:low,wcc,5.1
ais.csv,bmi:low,wcc,8.4
ais.csv,bmi:low,wcc,6.6
ais.csv,bmi:low,wcc,5.5
ais.csv,bmi:low,wcc,5.9
ais.csv,bmi:low,wcc,4.9
ais.csv,bmi:low,wcc,5.8
ais.csv,bmi:low,wcc,5.3
ais.csv,bmi:low,wcc,5.1
ais.csv,bmi:low,wcc,7
ais.csv,bmi:low,wcc,9.5
ais.csv,bmi:low,wcc,9.5
ais.csv,bmi:low,wcc,7.3
ais.csv,bmi:low,wcc,7.6
ais.csv,bmi:low,wcc,6.9
ais.csv,bmi:low,wcc,6.5
ais.csv,bmi:low,wcc,6.9
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,6.6
ais.csv,bmi:low,wcc,6
ais.csv,bmi:low,wcc,7.6
ais.csv,bmi:low,wcc,6.8
ais.csv,bmi:low,wcc,7.2
ais.csv,bmi:low,wcc,8.2
ais.csv,bmi:low,wcc,7.8
ais.csv,bmi:low,wcc,4
ais.csv,bmi:low,wcc,7.9
ais.csv,bmi:low,wcc,6.6
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,7.2
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,9
ais.csv,bmi:low,wcc,5
ais.csv,bmi:low,wcc,4.9
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,7.1
ais.csv,bmi:low,wcc,6.7
ais.csv,bmi:low,wcc,5.2
ais.csv,bmi:low,wcc,6.2
ais.csv,bmi:low,wcc,6.5
ais.csv,bmi:low,wcc,5.9
ais.csv,bmi:low,wcc,8.3
ais.csv,bmi:low,wcc,7.4
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,6.7
ais.csv,bmi:low,wcc,5.6
ais.csv,bmi:low,wcc,7.2
ais.csv,bmi:low,wcc,7.3
ais.csv,bmi:low,wcc,7.5
ais.csv,bmi:low,wcc,6.3
ais.csv,bmi:low,wcc,4.5
ais.csv,bmi:low,wcc,9
ais.csv,bmi:low,wcc,7.3
ais.csv,bmi:low,wcc,4.5
ais.csv,bmi:low,wcc,6.1
ais.csv,bmi:low,wcc,6.1
ais.csv,bmi:low,wcc,4
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,8.4
ais.csv,bmi:low,wcc,6.6
ais.csv,bmi:low,wcc,7.6
ais.csv,bmi:low,wcc,4.8
ais.csv,bmi:low,wcc,7.2
ais.csv,bmi:low,wcc,5.9
ais.csv,bmi:low,wcc,6.6
ais.csv,bmi:low,wcc,12.9
ais.csv,bmi:low,wcc,6
ais.csv,bmi:low,wcc,6.4
ais.csv,bmi:low,wcc,8.8
ais.csv,bmi:low,wcc,6.3
ais.csv,bmi:high,wcc,5.3
ais.csv,bmi:high,wcc,6.2
ais.csv,bmi:high,wcc,8.1
ais.csv,bmi:high,wcc,6.9
ais.csv,bmi:high,wcc,5.7
ais.csv,bmi:high,wcc,3.3
ais.csv,bmi:high,wcc,9.5
ais.csv,bmi:high,wcc,5.8
ais.csv,bmi:high,wcc,5.8
ais.csv,bmi:high,wcc,7.6
ais.csv,bmi:high,wcc,10.1
ais.csv,bmi:high,wcc,6.6
ais.csv,bmi:high,wcc,5.9
ais.csv,bmi:high,wcc,6.6
ais.csv,bmi:high,wcc,9.7
ais.csv,bmi:high,wcc,10.6
ais.csv,bmi:high,wcc,9.1
ais.csv,bmi:high,wcc,9.6
ais.csv,bmi:high,wcc,10.7
ais.csv,bmi:high,wcc,10.9
ais.csv,bmi:high,wcc,9.3
ais.csv,bmi:high,wcc,6.9
ais.csv,bmi:high,wcc,8.4
ais.csv,bmi:high,wcc,8.5
ais.csv,bmi:high,wcc,8.1
ais.csv,bmi:high,wcc,8.3
ais.csv,bmi:high,wcc,5.8
ais.csv,bmi:high,wcc,6.8
ais.csv,bmi:high,wcc,9
ais.csv,bmi:high,wcc,7.1
ais.csv,bmi:high,wcc,9.3
ais.csv,bmi:high,wcc,7.5
ais.csv,bmi:high,wcc,6.1
ais.csv,bmi:high,wcc,4.2
ais.csv,bmi:high,wcc,7.6
ais.csv,bmi:high,wcc,4.7
ais.csv,bmi:high,wcc,4.1
ais.csv,bmi:high,wcc,7.1
ais.csv,bmi:high,wcc,6
ais.csv,bmi:high,wcc,8.6
ais.csv,bmi:high,wcc,6.6
ais.csv,bmi:high,wcc,4.8
ais.csv,bmi:high,wcc,4.3
ais.csv,bmi:high,wcc,8.2
ais.csv,bmi:high,wcc,7.1
ais.csv,bmi:high,wcc,5.3
ais.csv,bmi:high,wcc,5.9
ais.csv,bmi:high,wcc,9.3
ais.csv,bmi:high,wcc,6.8
ais.csv,bmi:high,wcc,8.4
ais.csv,bmi:high,wcc,6.8
ais.csv,bmi:high,wcc,5.4
ais.csv,bmi:high,wcc,7.5
ais.csv,bmi:high,wcc,10.1
ais.csv,bmi:high,wcc,5
ais.csv,bmi:high,wcc,6
ais.csv,bmi:high,wcc,8
ais.csv,bmi:high,wcc,7.2
ais.csv,bmi:high,wcc,5.8
ais.csv,bmi:high,wcc,6.7
ais.csv,bmi:high,wcc,8
ais.csv,bmi:high,wcc,7.5
ais.csv,bmi:high,wcc,9.2
ais.csv,bmi:high,wcc,8.9
ais.csv,bmi:high,wcc,8.9
ais.csv,bmi:high,wcc,9.6
ais.csv,bmi:high,wcc,6.3
ais.csv,bmi:high,wcc,3.9
ais.csv,bmi:high,wcc,5.8
ais.csv,bmi:high,wcc,4.3
ais.csv,bmi:high,wcc,8.2
ais.csv,bmi:high,wcc,4.6
ais.csv,bmi:high,wcc,8.9
ais.csv,bmi:high,wcc,6.2
ais.csv,bmi:high,wcc,9
ais.csv,bmi:high,wcc,7.1
ais.csv,bmi:high,wcc,4.6
ais.csv,bmi:high,wcc,5.2
ais.csv,bmi:high,wcc,7.9
ais.csv,bmi:high,wcc,6.4
ais.csv,bmi:high,wcc,9.3
ais.csv,bmi:high,wcc,8.3
ais.csv,bmi:high,wcc,8.9
ais.csv,bmi:high,wcc,8.7
ais.csv,bmi:high,wcc,10.8
ais.csv,bmi:high,wcc,9.1
ais.csv,bmi:high,wcc,10.2
ais.csv,bmi:high,wcc,7.5
ais.csv,bmi:high,wcc,10
ais.csv,bmi:high,wcc,12.7
ais.csv,bmi:high,wcc,6.1
ais.csv,bmi:high,wcc,9.8
ais.csv,bmi:high,wcc,7.5
