fileName,groupName,attributeName,attributeValue
ais.csv,ht:low,rcc,4.14
ais.csv,ht:low,rcc,4.1
ais.csv,ht:low,rcc,4.42
ais.csv,ht:low,rcc,4.3
ais.csv,ht:low,rcc,4.35
ais.csv,ht:low,rcc,4.26
ais.csv,ht:low,rcc,4.63
ais.csv,ht:low,rcc,4.36
ais.csv,ht:low,rcc,4.51
ais.csv,ht:low,rcc,4.9
ais.csv,ht:low,rcc,4.46
ais.csv,ht:low,rcc,3.95
ais.csv,ht:low,rcc,4.46
ais.csv,ht:low,rcc,4.49
ais.csv,ht:low,rcc,4.21
ais.csv,ht:low,rcc,4.57
ais.csv,ht:low,rcc,4.44
ais.csv,ht:low,rcc,4.45
ais.csv,ht:low,rcc,4.56
ais.csv,ht:low,rcc,4.15
ais.csv,ht:low,rcc,4.16
ais.csv,ht:low,rcc,4.32
ais.csv,ht:low,rcc,4.12
ais.csv,ht:low,rcc,4.17
ais.csv,ht:low,rcc,3.8
ais.csv,ht:low,rcc,3.96
ais.csv,ht:low,rcc,4.44
ais.csv,ht:low,rcc,4.27
ais.csv,ht:low,rcc,4.02
ais.csv,ht:low,rcc,4.39
ais.csv,ht:low,rcc,4.52
ais.csv,ht:low,rcc,4.25
ais.csv,ht:low,rcc,4.46
ais.csv,ht:low,rcc,4.4
ais.csv,ht:low,rcc,3.95
ais.csv,ht:low,rcc,4.03
ais.csv,ht:low,rcc,4.36
ais.csv,ht:low,rcc,4.07
ais.csv,ht:low,rcc,4.23
ais.csv,ht:low,rcc,4.46
ais.csv,ht:low,rcc,4.31
ais.csv,ht:low,rcc,4.51
ais.csv,ht:low,rcc,4.13
ais.csv,ht:low,rcc,4.48
ais.csv,ht:low,rcc,5.31
ais.csv,ht:low,rcc,4.58
ais.csv,ht:low,rcc,4.81
ais.csv,ht:low,rcc,4.51
ais.csv,ht:low,rcc,4.77
ais.csv,ht:low,rcc,5.33
ais.csv,ht:low,rcc,4.75
ais.csv,ht:low,rcc,4.11
ais.csv,ht:low,rcc,4.76
ais.csv,ht:low,rcc,4.27
ais.csv,ht:low,rcc,4.44
ais.csv,ht:low,rcc,4.2
ais.csv,ht:low,rcc,4.71
ais.csv,ht:low,rcc,4.09
ais.csv,ht:low,rcc,4.24
ais.csv,ht:low,rcc,3.9
ais.csv,ht:low,rcc,4.82
ais.csv,ht:low,rcc,4.32
ais.csv,ht:low,rcc,4.77
ais.csv,ht:low,rcc,5.16
ais.csv,ht:low,rcc,4.97
ais.csv,ht:low,rcc,4
ais.csv,ht:low,rcc,4.4
ais.csv,ht:low,rcc,4.38
ais.csv,ht:low,rcc,4.08
ais.csv,ht:low,rcc,4.98
ais.csv,ht:low,rcc,5.16
ais.csv,ht:low,rcc,4.66
ais.csv,ht:low,rcc,4.19
