fileName,groupName,attributeName,attributeValue
birthwt.csv,age:low,bwt,2523
birthwt.csv,age:low,bwt,2557
birthwt.csv,age:low,bwt,2594
birthwt.csv,age:low,bwt,2600
birthwt.csv,age:low,bwt,2622
birthwt.csv,age:low,bwt,2637
birthwt.csv,age:low,bwt,2637
birthwt.csv,age:low,bwt,2722
birthwt.csv,age:low,bwt,2733
birthwt.csv,age:low,bwt,2751
birthwt.csv,age:low,bwt,2769
birthwt.csv,age:low,bwt,2769
birthwt.csv,age:low,bwt,2778
birthwt.csv,age:low,bwt,2807
birthwt.csv,age:low,bwt,2906
birthwt.csv,age:low,bwt,2920
birthwt.csv,age:low,bwt,2920
birthwt.csv,age:low,bwt,2977
birthwt.csv,age:low,bwt,3042
birthwt.csv,age:low,bwt,3062
birthwt.csv,age:low,bwt,3062
birthwt.csv,age:low,bwt,3062
birthwt.csv,age:low,bwt,3062
birthwt.csv,age:low,bwt,3090
birthwt.csv,age:low,bwt,3090
birthwt.csv,age:low,bwt,3100
birthwt.csv,age:low,bwt,3132
birthwt.csv,age:low,bwt,3175
birthwt.csv,age:low,bwt,3175
birthwt.csv,age:low,bwt,3203
birthwt.csv,age:low,bwt,3203
birthwt.csv,age:low,bwt,3225
birthwt.csv,age:low,bwt,3225
birthwt.csv,age:low,bwt,3274
birthwt.csv,age:low,bwt,3317
birthwt.csv,age:low,bwt,3317
birthwt.csv,age:low,bwt,3317
birthwt.csv,age:low,bwt,3374
birthwt.csv,age:low,bwt,3374
birthwt.csv,age:low,bwt,3402
birthwt.csv,age:low,bwt,3444
birthwt.csv,age:low,bwt,3460
birthwt.csv,age:low,bwt,3487
birthwt.csv,age:low,bwt,3572
birthwt.csv,age:low,bwt,3572
birthwt.csv,age:low,bwt,3614
birthwt.csv,age:low,bwt,3629
birthwt.csv,age:low,bwt,3629
birthwt.csv,age:low,bwt,3643
birthwt.csv,age:low,bwt,3651
birthwt.csv,age:low,bwt,3651
birthwt.csv,age:low,bwt,3756
birthwt.csv,age:low,bwt,3770
birthwt.csv,age:low,bwt,3827
birthwt.csv,age:low,bwt,3856
birthwt.csv,age:low,bwt,3860
birthwt.csv,age:low,bwt,3884
birthwt.csv,age:low,bwt,3940
birthwt.csv,age:low,bwt,3941
birthwt.csv,age:low,bwt,3997
birthwt.csv,age:low,bwt,3997
birthwt.csv,age:low,bwt,4054
birthwt.csv,age:low,bwt,4111
birthwt.csv,age:low,bwt,4238
birthwt.csv,age:low,bwt,1790
birthwt.csv,age:low,bwt,1885
birthwt.csv,age:low,bwt,1899
birthwt.csv,age:low,bwt,1928
birthwt.csv,age:low,bwt,1928
birthwt.csv,age:low,bwt,1970
birthwt.csv,age:low,bwt,2055
birthwt.csv,age:low,bwt,2082
birthwt.csv,age:low,bwt,2084
birthwt.csv,age:low,bwt,2125
birthwt.csv,age:low,bwt,2126
birthwt.csv,age:low,bwt,2187
birthwt.csv,age:low,bwt,2211
birthwt.csv,age:low,bwt,2225
birthwt.csv,age:low,bwt,2240
birthwt.csv,age:low,bwt,2282
birthwt.csv,age:low,bwt,2296
birthwt.csv,age:low,bwt,2296
birthwt.csv,age:low,bwt,2301
birthwt.csv,age:low,bwt,2353
birthwt.csv,age:low,bwt,2381
birthwt.csv,age:low,bwt,2381
birthwt.csv,age:low,bwt,2410
birthwt.csv,age:low,bwt,2414
birthwt.csv,age:low,bwt,2438
birthwt.csv,age:low,bwt,2450
birthwt.csv,age:low,bwt,2466
birthwt.csv,age:low,bwt,2495
birthwt.csv,age:low,bwt,2495
birthwt.csv,age:low,bwt,2495
birthwt.csv,age:high,bwt,2551
birthwt.csv,age:high,bwt,2663
birthwt.csv,age:high,bwt,2665
birthwt.csv,age:high,bwt,2750
birthwt.csv,age:high,bwt,2782
birthwt.csv,age:high,bwt,2821
birthwt.csv,age:high,bwt,2835
birthwt.csv,age:high,bwt,2835
birthwt.csv,age:high,bwt,2836
birthwt.csv,age:high,bwt,2863
birthwt.csv,age:high,bwt,2877
birthwt.csv,age:high,bwt,2877
birthwt.csv,age:high,bwt,2920
birthwt.csv,age:high,bwt,2920
birthwt.csv,age:high,bwt,2948
birthwt.csv,age:high,bwt,2948
birthwt.csv,age:high,bwt,2977
birthwt.csv,age:high,bwt,2977
birthwt.csv,age:high,bwt,2977
birthwt.csv,age:high,bwt,2922
birthwt.csv,age:high,bwt,3005
birthwt.csv,age:high,bwt,3033
birthwt.csv,age:high,bwt,3062
birthwt.csv,age:high,bwt,3080
birthwt.csv,age:high,bwt,3090
birthwt.csv,age:high,bwt,3104
birthwt.csv,age:high,bwt,3147
birthwt.csv,age:high,bwt,3203
birthwt.csv,age:high,bwt,3232
birthwt.csv,age:high,bwt,3232
birthwt.csv,age:high,bwt,3234
birthwt.csv,age:high,bwt,3260
birthwt.csv,age:high,bwt,3274
birthwt.csv,age:high,bwt,3303
birthwt.csv,age:high,bwt,3321
birthwt.csv,age:high,bwt,3331
birthwt.csv,age:high,bwt,3416
birthwt.csv,age:high,bwt,3430
birthwt.csv,age:high,bwt,3459
birthwt.csv,age:high,bwt,3473
birthwt.csv,age:high,bwt,3544
birthwt.csv,age:high,bwt,3544
birthwt.csv,age:high,bwt,3586
birthwt.csv,age:high,bwt,3600
birthwt.csv,age:high,bwt,3614
birthwt.csv,age:high,bwt,3637
birthwt.csv,age:high,bwt,3651
birthwt.csv,age:high,bwt,3651
birthwt.csv,age:high,bwt,3699
birthwt.csv,age:high,bwt,3728
birthwt.csv,age:high,bwt,3770
birthwt.csv,age:high,bwt,3770
birthwt.csv,age:high,bwt,3790
birthwt.csv,age:high,bwt,3799
birthwt.csv,age:high,bwt,3860
birthwt.csv,age:high,bwt,3884
birthwt.csv,age:high,bwt,3912
birthwt.csv,age:high,bwt,3941
birthwt.csv,age:high,bwt,3969
birthwt.csv,age:high,bwt,3983
birthwt.csv,age:high,bwt,4054
birthwt.csv,age:high,bwt,4153
birthwt.csv,age:high,bwt,4167
birthwt.csv,age:high,bwt,4174
birthwt.csv,age:high,bwt,4593
birthwt.csv,age:high,bwt,4990
birthwt.csv,age:high,bwt,709
birthwt.csv,age:high,bwt,1021
birthwt.csv,age:high,bwt,1135
birthwt.csv,age:high,bwt,1330
birthwt.csv,age:high,bwt,1474
birthwt.csv,age:high,bwt,1588
birthwt.csv,age:high,bwt,1588
birthwt.csv,age:high,bwt,1701
birthwt.csv,age:high,bwt,1729
birthwt.csv,age:high,bwt,1818
birthwt.csv,age:high,bwt,1893
birthwt.csv,age:high,bwt,1928
birthwt.csv,age:high,bwt,1936
birthwt.csv,age:high,bwt,2055
birthwt.csv,age:high,bwt,2084
birthwt.csv,age:high,bwt,2100
birthwt.csv,age:high,bwt,2187
birthwt.csv,age:high,bwt,2240
birthwt.csv,age:high,bwt,2325
birthwt.csv,age:high,bwt,2353
birthwt.csv,age:high,bwt,2367
birthwt.csv,age:high,bwt,2381
birthwt.csv,age:high,bwt,2410
birthwt.csv,age:high,bwt,2410
birthwt.csv,age:high,bwt,2424
birthwt.csv,age:high,bwt,2442
birthwt.csv,age:high,bwt,2466
birthwt.csv,age:high,bwt,2466
birthwt.csv,age:high,bwt,2495
