fileName,groupName,attributeName,attributeValue
birthwt.csv,bwt:low,lwt,182
birthwt.csv,bwt:low,lwt,155
birthwt.csv,bwt:low,lwt,105
birthwt.csv,bwt:low,lwt,108
birthwt.csv,bwt:low,lwt,107
birthwt.csv,bwt:low,lwt,124
birthwt.csv,bwt:low,lwt,118
birthwt.csv,bwt:low,lwt,103
birthwt.csv,bwt:low,lwt,123
birthwt.csv,bwt:low,lwt,113
birthwt.csv,bwt:low,lwt,95
birthwt.csv,bwt:low,lwt,150
birthwt.csv,bwt:low,lwt,95
birthwt.csv,bwt:low,lwt,107
birthwt.csv,bwt:low,lwt,100
birthwt.csv,bwt:low,lwt,100
birthwt.csv,bwt:low,lwt,98
birthwt.csv,bwt:low,lwt,118
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,121
birthwt.csv,bwt:low,lwt,100
birthwt.csv,bwt:low,lwt,202
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,167
birthwt.csv,bwt:low,lwt,122
birthwt.csv,bwt:low,lwt,150
birthwt.csv,bwt:low,lwt,168
birthwt.csv,bwt:low,lwt,113
birthwt.csv,bwt:low,lwt,113
birthwt.csv,bwt:low,lwt,90
birthwt.csv,bwt:low,lwt,121
birthwt.csv,bwt:low,lwt,124
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,130
birthwt.csv,bwt:low,lwt,187
birthwt.csv,bwt:low,lwt,105
birthwt.csv,bwt:low,lwt,85
birthwt.csv,bwt:low,lwt,150
birthwt.csv,bwt:low,lwt,97
birthwt.csv,bwt:low,lwt,128
birthwt.csv,bwt:low,lwt,132
birthwt.csv,bwt:low,lwt,165
birthwt.csv,bwt:low,lwt,105
birthwt.csv,bwt:low,lwt,91
birthwt.csv,bwt:low,lwt,115
birthwt.csv,bwt:low,lwt,130
birthwt.csv,bwt:low,lwt,92
birthwt.csv,bwt:low,lwt,150
birthwt.csv,bwt:low,lwt,200
birthwt.csv,bwt:low,lwt,155
birthwt.csv,bwt:low,lwt,103
birthwt.csv,bwt:low,lwt,125
birthwt.csv,bwt:low,lwt,89
birthwt.csv,bwt:low,lwt,102
birthwt.csv,bwt:low,lwt,112
birthwt.csv,bwt:low,lwt,117
birthwt.csv,bwt:low,lwt,138
birthwt.csv,bwt:low,lwt,130
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,130
birthwt.csv,bwt:low,lwt,130
birthwt.csv,bwt:low,lwt,80
birthwt.csv,bwt:low,lwt,110
birthwt.csv,bwt:low,lwt,105
birthwt.csv,bwt:low,lwt,109
birthwt.csv,bwt:low,lwt,148
birthwt.csv,bwt:low,lwt,110
birthwt.csv,bwt:low,lwt,121
birthwt.csv,bwt:low,lwt,100
birthwt.csv,bwt:low,lwt,96
birthwt.csv,bwt:low,lwt,102
birthwt.csv,bwt:low,lwt,110
birthwt.csv,bwt:low,lwt,187
birthwt.csv,bwt:low,lwt,122
birthwt.csv,bwt:low,lwt,105
birthwt.csv,bwt:low,lwt,115
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,142
birthwt.csv,bwt:low,lwt,130
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,110
birthwt.csv,bwt:low,lwt,120
birthwt.csv,bwt:low,lwt,154
birthwt.csv,bwt:low,lwt,105
birthwt.csv,bwt:low,lwt,190
birthwt.csv,bwt:low,lwt,101
birthwt.csv,bwt:low,lwt,95
birthwt.csv,bwt:low,lwt,100
birthwt.csv,bwt:low,lwt,94
birthwt.csv,bwt:low,lwt,142
birthwt.csv,bwt:low,lwt,130
birthwt.csv,bwt:high,lwt,155
birthwt.csv,bwt:high,lwt,125
birthwt.csv,bwt:high,lwt,140
birthwt.csv,bwt:high,lwt,138
birthwt.csv,bwt:high,lwt,215
birthwt.csv,bwt:high,lwt,109
birthwt.csv,bwt:high,lwt,185
birthwt.csv,bwt:high,lwt,189
birthwt.csv,bwt:high,lwt,130
birthwt.csv,bwt:high,lwt,160
birthwt.csv,bwt:high,lwt,90
birthwt.csv,bwt:high,lwt,90
birthwt.csv,bwt:high,lwt,132
birthwt.csv,bwt:high,lwt,132
birthwt.csv,bwt:high,lwt,115
birthwt.csv,bwt:high,lwt,85
birthwt.csv,bwt:high,lwt,120
birthwt.csv,bwt:high,lwt,128
birthwt.csv,bwt:high,lwt,130
birthwt.csv,bwt:high,lwt,95
birthwt.csv,bwt:high,lwt,115
birthwt.csv,bwt:high,lwt,110
birthwt.csv,bwt:high,lwt,110
birthwt.csv,bwt:high,lwt,153
birthwt.csv,bwt:high,lwt,103
birthwt.csv,bwt:high,lwt,119
birthwt.csv,bwt:high,lwt,119
birthwt.csv,bwt:high,lwt,119
birthwt.csv,bwt:high,lwt,110
birthwt.csv,bwt:high,lwt,140
birthwt.csv,bwt:high,lwt,133
birthwt.csv,bwt:high,lwt,169
birthwt.csv,bwt:high,lwt,115
birthwt.csv,bwt:high,lwt,250
