fileName,groupName,attributeName,attributeValue
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,18
birthwt.csv,ftv:low,age,21
birthwt.csv,ftv:low,age,26
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,22
birthwt.csv,ftv:low,age,18
birthwt.csv,ftv:low,age,18
birthwt.csv,ftv:low,age,15
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,28
birthwt.csv,ftv:low,age,28
birthwt.csv,ftv:low,age,17
birthwt.csv,ftv:low,age,26
birthwt.csv,ftv:low,age,25
birthwt.csv,ftv:low,age,27
birthwt.csv,ftv:low,age,21
birthwt.csv,ftv:low,age,18
birthwt.csv,ftv:low,age,18
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,22
birthwt.csv,ftv:low,age,23
birthwt.csv,ftv:low,age,22
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,16
birthwt.csv,ftv:low,age,21
birthwt.csv,ftv:low,age,30
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,17
birthwt.csv,ftv:low,age,17
birthwt.csv,ftv:low,age,24
birthwt.csv,ftv:low,age,28
birthwt.csv,ftv:low,age,26
birthwt.csv,ftv:low,age,22
birthwt.csv,ftv:low,age,16
birthwt.csv,ftv:low,age,16
birthwt.csv,ftv:low,age,18
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,23
birthwt.csv,ftv:low,age,32
birthwt.csv,ftv:low,age,30
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,23
birthwt.csv,ftv:low,age,17
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,23
birthwt.csv,ftv:low,age,36
birthwt.csv,ftv:low,age,24
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,25
birthwt.csv,ftv:low,age,16
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,24
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,25
birthwt.csv,ftv:low,age,22
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,14
birthwt.csv,ftv:low,age,28
birthwt.csv,ftv:low,age,26
birthwt.csv,ftv:low,age,22
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,28
birthwt.csv,ftv:low,age,34
birthwt.csv,ftv:low,age,25
birthwt.csv,ftv:low,age,25
birthwt.csv,ftv:low,age,27
birthwt.csv,ftv:low,age,24
birthwt.csv,ftv:low,age,32
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,25
birthwt.csv,ftv:low,age,25
birthwt.csv,ftv:low,age,24
birthwt.csv,ftv:low,age,21
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,19
birthwt.csv,ftv:low,age,26
birthwt.csv,ftv:low,age,24
birthwt.csv,ftv:low,age,17
birthwt.csv,ftv:low,age,27
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,17
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,18
birthwt.csv,ftv:low,age,18
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,26
birthwt.csv,ftv:low,age,15
birthwt.csv,ftv:low,age,20
birthwt.csv,ftv:low,age,24
birthwt.csv,ftv:low,age,15
birthwt.csv,ftv:low,age,23
birthwt.csv,ftv:low,age,30
birthwt.csv,ftv:low,age,23
birthwt.csv,ftv:low,age,26
birthwt.csv,ftv:low,age,14
birthwt.csv,ftv:low,age,23
birthwt.csv,ftv:low,age,17
birthwt.csv,ftv:high,age,33
birthwt.csv,ftv:high,age,20
birthwt.csv,ftv:high,age,21
birthwt.csv,ftv:high,age,22
birthwt.csv,ftv:high,age,17
birthwt.csv,ftv:high,age,29
birthwt.csv,ftv:high,age,19
birthwt.csv,ftv:high,age,30
birthwt.csv,ftv:high,age,25
birthwt.csv,ftv:high,age,28
birthwt.csv,ftv:high,age,32
birthwt.csv,ftv:high,age,31
birthwt.csv,ftv:high,age,36
birthwt.csv,ftv:high,age,25
birthwt.csv,ftv:high,age,29
birthwt.csv,ftv:high,age,17
birthwt.csv,ftv:high,age,17
birthwt.csv,ftv:high,age,24
birthwt.csv,ftv:high,age,35
birthwt.csv,ftv:high,age,25
birthwt.csv,ftv:high,age,29
birthwt.csv,ftv:high,age,19
birthwt.csv,ftv:high,age,31
birthwt.csv,ftv:high,age,33
birthwt.csv,ftv:high,age,21
birthwt.csv,ftv:high,age,19
birthwt.csv,ftv:high,age,23
