fileName,groupName,attributeName,attributeValue
channing.csv,ageentry:low,age,1003
channing.csv,ageentry:low,age,932
channing.csv,ageentry:low,age,908
channing.csv,ageentry:low,age,868
channing.csv,ageentry:low,age,940
channing.csv,ageentry:low,age,996
channing.csv,ageentry:low,age,969
channing.csv,ageentry:low,age,976
channing.csv,ageentry:low,age,1006
channing.csv,ageentry:low,age,1012
channing.csv,ageentry:low,age,1000
channing.csv,ageentry:low,age,1012
channing.csv,ageentry:low,age,996
channing.csv,ageentry:low,age,994
channing.csv,ageentry:low,age,966
channing.csv,ageentry:low,age,948
channing.csv,ageentry:low,age,963
channing.csv,ageentry:low,age,905
channing.csv,ageentry:low,age,970
channing.csv,ageentry:low,age,804
channing.csv,ageentry:low,age,991
channing.csv,ageentry:low,age,982
channing.csv,ageentry:low,age,989
channing.csv,ageentry:low,age,959
channing.csv,ageentry:low,age,848
channing.csv,ageentry:low,age,979
channing.csv,ageentry:low,age,876
channing.csv,ageentry:low,age,938
channing.csv,ageentry:low,age,929
channing.csv,ageentry:low,age,848
channing.csv,ageentry:low,age,804
channing.csv,ageentry:low,age,932
channing.csv,ageentry:low,age,932
channing.csv,ageentry:low,age,965
channing.csv,ageentry:low,age,1011
channing.csv,ageentry:low,age,1011
channing.csv,ageentry:low,age,955
channing.csv,ageentry:low,age,994
channing.csv,ageentry:low,age,836
channing.csv,ageentry:low,age,1020
channing.csv,ageentry:low,age,975
channing.csv,ageentry:low,age,940
channing.csv,ageentry:low,age,981
channing.csv,ageentry:low,age,928
channing.csv,ageentry:low,age,958
channing.csv,ageentry:low,age,975
channing.csv,ageentry:low,age,1023
channing.csv,ageentry:low,age,1010
channing.csv,ageentry:low,age,825
channing.csv,ageentry:low,age,952
channing.csv,ageentry:low,age,965
channing.csv,ageentry:low,age,1034
channing.csv,ageentry:low,age,938
channing.csv,ageentry:low,age,1015
channing.csv,ageentry:low,age,991
channing.csv,ageentry:low,age,1014
channing.csv,ageentry:low,age,955
channing.csv,ageentry:low,age,1036
channing.csv,ageentry:low,age,893
channing.csv,ageentry:low,age,964
channing.csv,ageentry:low,age,1037
channing.csv,ageentry:low,age,992
channing.csv,ageentry:low,age,895
channing.csv,ageentry:low,age,857
channing.csv,ageentry:low,age,1019
channing.csv,ageentry:low,age,973
channing.csv,ageentry:low,age,1036
channing.csv,ageentry:low,age,993
channing.csv,ageentry:low,age,1030
channing.csv,ageentry:low,age,998
channing.csv,ageentry:low,age,932
channing.csv,ageentry:low,age,1019
channing.csv,ageentry:low,age,1012
channing.csv,ageentry:low,age,970
channing.csv,ageentry:low,age,944
channing.csv,ageentry:low,age,982
channing.csv,ageentry:low,age,977
channing.csv,ageentry:low,age,1004
channing.csv,ageentry:low,age,913
channing.csv,ageentry:low,age,824
channing.csv,ageentry:low,age,898
channing.csv,ageentry:low,age,939
channing.csv,ageentry:low,age,899
channing.csv,ageentry:low,age,973
channing.csv,ageentry:low,age,1006
channing.csv,ageentry:low,age,955
channing.csv,ageentry:low,age,996
channing.csv,ageentry:low,age,1005
channing.csv,ageentry:low,age,891
channing.csv,ageentry:low,age,983
channing.csv,ageentry:low,age,861
channing.csv,ageentry:low,age,979
channing.csv,ageentry:low,age,905
channing.csv,ageentry:low,age,1033
channing.csv,ageentry:low,age,1014
channing.csv,ageentry:low,age,1022
channing.csv,ageentry:low,age,959
channing.csv,ageentry:low,age,904
channing.csv,ageentry:low,age,985
channing.csv,ageentry:low,age,1000
channing.csv,ageentry:low,age,950
channing.csv,ageentry:low,age,939
channing.csv,ageentry:low,age,945
channing.csv,ageentry:low,age,927
channing.csv,ageentry:low,age,897
channing.csv,ageentry:low,age,957
channing.csv,ageentry:low,age,1031
channing.csv,ageentry:low,age,989
channing.csv,ageentry:low,age,950
channing.csv,ageentry:low,age,1019
channing.csv,ageentry:low,age,952
channing.csv,ageentry:low,age,1032
channing.csv,ageentry:low,age,860
channing.csv,ageentry:low,age,1001
channing.csv,ageentry:low,age,994
channing.csv,ageentry:low,age,1029
channing.csv,ageentry:low,age,906
channing.csv,ageentry:low,age,1020
channing.csv,ageentry:low,age,872
channing.csv,ageentry:low,age,942
channing.csv,ageentry:low,age,912
channing.csv,ageentry:low,age,854
channing.csv,ageentry:low,age,882
channing.csv,ageentry:low,age,829
channing.csv,ageentry:low,age,905
channing.csv,ageentry:low,age,861
channing.csv,ageentry:low,age,919
channing.csv,ageentry:low,age,798
channing.csv,ageentry:low,age,830
channing.csv,ageentry:low,age,822
channing.csv,ageentry:low,age,905
channing.csv,ageentry:low,age,926
channing.csv,ageentry:low,age,812
channing.csv,ageentry:low,age,978
channing.csv,ageentry:low,age,1012
channing.csv,ageentry:low,age,927
channing.csv,ageentry:low,age,995
channing.csv,ageentry:low,age,957
channing.csv,ageentry:low,age,997
channing.csv,ageentry:low,age,984
channing.csv,ageentry:low,age,914
channing.csv,ageentry:low,age,934
channing.csv,ageentry:low,age,870
channing.csv,ageentry:low,age,953
channing.csv,ageentry:low,age,930
channing.csv,ageentry:low,age,875
channing.csv,ageentry:low,age,891
channing.csv,ageentry:low,age,912
channing.csv,ageentry:low,age,926
channing.csv,ageentry:low,age,918
channing.csv,ageentry:low,age,943
channing.csv,ageentry:low,age,924
channing.csv,ageentry:low,age,976
channing.csv,ageentry:low,age,976
channing.csv,ageentry:low,age,995
channing.csv,ageentry:low,age,967
channing.csv,ageentry:low,age,1005
channing.csv,ageentry:low,age,925
channing.csv,ageentry:low,age,888
channing.csv,ageentry:low,age,1035
channing.csv,ageentry:low,age,1003
channing.csv,ageentry:low,age,988
channing.csv,ageentry:low,age,944
channing.csv,ageentry:low,age,873
channing.csv,ageentry:low,age,897
channing.csv,ageentry:low,age,840
channing.csv,ageentry:low,age,912
channing.csv,ageentry:low,age,954
channing.csv,ageentry:low,age,927
channing.csv,ageentry:low,age,883
channing.csv,ageentry:low,age,941
channing.csv,ageentry:low,age,934
channing.csv,ageentry:low,age,908
channing.csv,ageentry:low,age,895
channing.csv,ageentry:low,age,845
channing.csv,ageentry:low,age,870
channing.csv,ageentry:low,age,930
channing.csv,ageentry:low,age,912
channing.csv,ageentry:low,age,874
channing.csv,ageentry:low,age,892
channing.csv,ageentry:low,age,885
channing.csv,ageentry:low,age,901
channing.csv,ageentry:low,age,926
channing.csv,ageentry:low,age,821
channing.csv,ageentry:low,age,819
channing.csv,ageentry:low,age,905
channing.csv,ageentry:low,age,911
channing.csv,ageentry:low,age,915
channing.csv,ageentry:low,age,909
channing.csv,ageentry:low,age,969
channing.csv,ageentry:low,age,983
channing.csv,ageentry:low,age,945
channing.csv,ageentry:low,age,869
channing.csv,ageentry:low,age,943
channing.csv,ageentry:low,age,1002
channing.csv,ageentry:low,age,945
channing.csv,ageentry:low,age,959
channing.csv,ageentry:low,age,843
channing.csv,ageentry:low,age,1012
channing.csv,ageentry:low,age,956
channing.csv,ageentry:low,age,940
channing.csv,ageentry:low,age,911
channing.csv,ageentry:low,age,1031
channing.csv,ageentry:low,age,996
channing.csv,ageentry:low,age,895
channing.csv,ageentry:low,age,1015
channing.csv,ageentry:low,age,957
channing.csv,ageentry:low,age,1016
channing.csv,ageentry:low,age,989
channing.csv,ageentry:low,age,1027
channing.csv,ageentry:low,age,973
channing.csv,ageentry:low,age,1023
channing.csv,ageentry:low,age,1013
channing.csv,ageentry:low,age,960
channing.csv,ageentry:low,age,943
channing.csv,ageentry:low,age,951
channing.csv,ageentry:low,age,984
channing.csv,ageentry:low,age,936
channing.csv,ageentry:low,age,906
channing.csv,ageentry:low,age,866
channing.csv,ageentry:low,age,872
channing.csv,ageentry:low,age,893
channing.csv,ageentry:low,age,894
channing.csv,ageentry:low,age,927
channing.csv,ageentry:low,age,948
channing.csv,ageentry:low,age,911
channing.csv,ageentry:low,age,876
channing.csv,ageentry:low,age,777
channing.csv,ageentry:low,age,907
channing.csv,ageentry:low,age,781
channing.csv,ageentry:low,age,932
channing.csv,ageentry:low,age,898
channing.csv,ageentry:high,age,1172
channing.csv,ageentry:high,age,1040
channing.csv,ageentry:high,age,1018
channing.csv,ageentry:high,age,1004
channing.csv,ageentry:high,age,1023
channing.csv,ageentry:high,age,990
channing.csv,ageentry:high,age,1033
channing.csv,ageentry:high,age,1056
channing.csv,ageentry:high,age,999
channing.csv,ageentry:high,age,1064
channing.csv,ageentry:high,age,1122
channing.csv,ageentry:high,age,1020
channing.csv,ageentry:high,age,1200
channing.csv,ageentry:high,age,1056
channing.csv,ageentry:high,age,1089
channing.csv,ageentry:high,age,1115
channing.csv,ageentry:high,age,1192
channing.csv,ageentry:high,age,1085
channing.csv,ageentry:high,age,1142
channing.csv,ageentry:high,age,1200
channing.csv,ageentry:high,age,1017
channing.csv,ageentry:high,age,1040
channing.csv,ageentry:high,age,1024
channing.csv,ageentry:high,age,1070
channing.csv,ageentry:high,age,1014
channing.csv,ageentry:high,age,944
channing.csv,ageentry:high,age,1085
channing.csv,ageentry:high,age,1097
channing.csv,ageentry:high,age,1029
channing.csv,ageentry:high,age,1015
channing.csv,ageentry:high,age,1041
channing.csv,ageentry:high,age,1084
channing.csv,ageentry:high,age,1131
channing.csv,ageentry:high,age,1068
channing.csv,ageentry:high,age,919
channing.csv,ageentry:high,age,1006
channing.csv,ageentry:high,age,1054
channing.csv,ageentry:high,age,1028
channing.csv,ageentry:high,age,1055
channing.csv,ageentry:high,age,1019
channing.csv,ageentry:high,age,1010
channing.csv,ageentry:high,age,1042
channing.csv,ageentry:high,age,1091
channing.csv,ageentry:high,age,1042
channing.csv,ageentry:high,age,946
channing.csv,ageentry:high,age,922
channing.csv,ageentry:high,age,1059
channing.csv,ageentry:high,age,961
channing.csv,ageentry:high,age,1023
channing.csv,ageentry:high,age,1072
channing.csv,ageentry:high,age,953
channing.csv,ageentry:high,age,998
channing.csv,ageentry:high,age,1105
channing.csv,ageentry:high,age,996
channing.csv,ageentry:high,age,1008
channing.csv,ageentry:high,age,1186
channing.csv,ageentry:high,age,960
channing.csv,ageentry:high,age,948
channing.csv,ageentry:high,age,1053
channing.csv,ageentry:high,age,992
channing.csv,ageentry:high,age,1071
channing.csv,ageentry:high,age,1047
channing.csv,ageentry:high,age,1119
channing.csv,ageentry:high,age,963
channing.csv,ageentry:high,age,1013
channing.csv,ageentry:high,age,959
channing.csv,ageentry:high,age,917
channing.csv,ageentry:high,age,947
channing.csv,ageentry:high,age,1014
channing.csv,ageentry:high,age,1049
channing.csv,ageentry:high,age,1065
channing.csv,ageentry:high,age,938
channing.csv,ageentry:high,age,1172
channing.csv,ageentry:high,age,971
channing.csv,ageentry:high,age,985
channing.csv,ageentry:high,age,944
channing.csv,ageentry:high,age,1085
channing.csv,ageentry:high,age,1105
channing.csv,ageentry:high,age,989
channing.csv,ageentry:high,age,1134
channing.csv,ageentry:high,age,954
channing.csv,ageentry:high,age,1001
channing.csv,ageentry:high,age,1061
channing.csv,ageentry:high,age,993
channing.csv,ageentry:high,age,1054
channing.csv,ageentry:high,age,1114
channing.csv,ageentry:high,age,1071
channing.csv,ageentry:high,age,1044
channing.csv,ageentry:high,age,1016
channing.csv,ageentry:high,age,971
channing.csv,ageentry:high,age,1024
channing.csv,ageentry:high,age,1083
channing.csv,ageentry:high,age,985
channing.csv,ageentry:high,age,957
channing.csv,ageentry:high,age,1147
channing.csv,ageentry:high,age,1207
channing.csv,ageentry:high,age,1063
channing.csv,ageentry:high,age,1109
channing.csv,ageentry:high,age,1088
channing.csv,ageentry:high,age,961
channing.csv,ageentry:high,age,1010
channing.csv,ageentry:high,age,1080
channing.csv,ageentry:high,age,958
channing.csv,ageentry:high,age,987
channing.csv,ageentry:high,age,962
channing.csv,ageentry:high,age,944
channing.csv,ageentry:high,age,935
channing.csv,ageentry:high,age,1010
channing.csv,ageentry:high,age,1027
channing.csv,ageentry:high,age,916
channing.csv,ageentry:high,age,933
channing.csv,ageentry:high,age,1041
channing.csv,ageentry:high,age,1021
channing.csv,ageentry:high,age,928
channing.csv,ageentry:high,age,1086
channing.csv,ageentry:high,age,923
channing.csv,ageentry:high,age,1015
channing.csv,ageentry:high,age,931
channing.csv,ageentry:high,age,1050
channing.csv,ageentry:high,age,1012
channing.csv,ageentry:high,age,948
channing.csv,ageentry:high,age,1073
channing.csv,ageentry:high,age,986
channing.csv,ageentry:high,age,1031
channing.csv,ageentry:high,age,988
channing.csv,ageentry:high,age,1057
channing.csv,ageentry:high,age,1051
channing.csv,ageentry:high,age,979
channing.csv,ageentry:high,age,985
channing.csv,ageentry:high,age,1005
channing.csv,ageentry:high,age,1102
channing.csv,ageentry:high,age,977
channing.csv,ageentry:high,age,1038
channing.csv,ageentry:high,age,1006
channing.csv,ageentry:high,age,1062
channing.csv,ageentry:high,age,1009
