fileName,groupName,attributeName,attributeValue
channing.csv,gender:1,age,909
channing.csv,gender:1,age,1128
channing.csv,gender:1,age,969
channing.csv,gender:1,age,957
channing.csv,gender:1,age,983
channing.csv,gender:1,age,1012
channing.csv,gender:1,age,1055
channing.csv,gender:1,age,1025
channing.csv,gender:1,age,1043
channing.csv,gender:1,age,945
channing.csv,gender:1,age,1009
channing.csv,gender:1,age,971
channing.csv,gender:1,age,1033
channing.csv,gender:1,age,869
channing.csv,gender:1,age,1139
channing.csv,gender:1,age,1036
channing.csv,gender:1,age,1085
channing.csv,gender:1,age,943
channing.csv,gender:1,age,1001
channing.csv,gender:1,age,1060
channing.csv,gender:1,age,1002
channing.csv,gender:1,age,1031
channing.csv,gender:1,age,945
channing.csv,gender:1,age,1006
channing.csv,gender:1,age,959
channing.csv,gender:1,age,843
channing.csv,gender:1,age,1012
channing.csv,gender:1,age,956
channing.csv,gender:1,age,1073
channing.csv,gender:1,age,1107
channing.csv,gender:1,age,940
channing.csv,gender:1,age,911
channing.csv,gender:1,age,1031
channing.csv,gender:1,age,996
channing.csv,gender:1,age,895
channing.csv,gender:1,age,1015
channing.csv,gender:1,age,957
channing.csv,gender:1,age,1043
channing.csv,gender:1,age,1016
channing.csv,gender:1,age,1093
channing.csv,gender:1,age,989
channing.csv,gender:1,age,1027
channing.csv,gender:1,age,1044
channing.csv,gender:1,age,1005
channing.csv,gender:1,age,973
channing.csv,gender:1,age,1064
channing.csv,gender:1,age,1023
channing.csv,gender:1,age,1013
channing.csv,gender:1,age,977
channing.csv,gender:1,age,960
channing.csv,gender:1,age,1047
channing.csv,gender:1,age,943
channing.csv,gender:1,age,951
channing.csv,gender:1,age,984
channing.csv,gender:1,age,1058
channing.csv,gender:1,age,1045
channing.csv,gender:1,age,953
channing.csv,gender:1,age,1018
channing.csv,gender:1,age,1118
channing.csv,gender:1,age,970
channing.csv,gender:1,age,1070
channing.csv,gender:1,age,1153
channing.csv,gender:1,age,1106
channing.csv,gender:1,age,936
channing.csv,gender:1,age,906
channing.csv,gender:1,age,866
channing.csv,gender:1,age,1029
channing.csv,gender:1,age,1053
channing.csv,gender:1,age,1080
channing.csv,gender:1,age,872
channing.csv,gender:1,age,893
channing.csv,gender:1,age,966
channing.csv,gender:1,age,894
channing.csv,gender:1,age,985
channing.csv,gender:1,age,1094
channing.csv,gender:1,age,927
channing.csv,gender:1,age,948
channing.csv,gender:1,age,1059
channing.csv,gender:1,age,1012
channing.csv,gender:1,age,911
channing.csv,gender:1,age,1094
channing.csv,gender:1,age,972
channing.csv,gender:1,age,993
channing.csv,gender:1,age,876
channing.csv,gender:1,age,993
channing.csv,gender:1,age,777
channing.csv,gender:1,age,966
channing.csv,gender:1,age,907
channing.csv,gender:1,age,1031
channing.csv,gender:1,age,781
channing.csv,gender:1,age,914
channing.csv,gender:1,age,998
channing.csv,gender:1,age,1022
channing.csv,gender:1,age,932
channing.csv,gender:1,age,898
channing.csv,gender:1,age,1060
channing.csv,gender:1,age,1044
channing.csv,gender:2,age,1172
channing.csv,gender:2,age,1040
channing.csv,gender:2,age,1003
channing.csv,gender:2,age,1018
channing.csv,gender:2,age,932
channing.csv,gender:2,age,1004
channing.csv,gender:2,age,1023
channing.csv,gender:2,age,908
channing.csv,gender:2,age,868
channing.csv,gender:2,age,990
channing.csv,gender:2,age,1033
channing.csv,gender:2,age,1056
channing.csv,gender:2,age,999
channing.csv,gender:2,age,1064
channing.csv,gender:2,age,1122
channing.csv,gender:2,age,1020
channing.csv,gender:2,age,1200
channing.csv,gender:2,age,1056
channing.csv,gender:2,age,940
channing.csv,gender:2,age,996
channing.csv,gender:2,age,969
channing.csv,gender:2,age,1089
channing.csv,gender:2,age,1115
channing.csv,gender:2,age,1192
channing.csv,gender:2,age,1085
channing.csv,gender:2,age,976
channing.csv,gender:2,age,1142
channing.csv,gender:2,age,1200
channing.csv,gender:2,age,1017
channing.csv,gender:2,age,1006
channing.csv,gender:2,age,1012
channing.csv,gender:2,age,1000
channing.csv,gender:2,age,1012
channing.csv,gender:2,age,1040
channing.csv,gender:2,age,1024
channing.csv,gender:2,age,1070
channing.csv,gender:2,age,1014
channing.csv,gender:2,age,996
channing.csv,gender:2,age,944
channing.csv,gender:2,age,1085
channing.csv,gender:2,age,994
channing.csv,gender:2,age,1097
channing.csv,gender:2,age,966
channing.csv,gender:2,age,948
channing.csv,gender:2,age,1029
channing.csv,gender:2,age,963
channing.csv,gender:2,age,905
channing.csv,gender:2,age,970
channing.csv,gender:2,age,1015
channing.csv,gender:2,age,804
channing.csv,gender:2,age,1041
channing.csv,gender:2,age,991
channing.csv,gender:2,age,982
channing.csv,gender:2,age,989
channing.csv,gender:2,age,959
channing.csv,gender:2,age,1084
channing.csv,gender:2,age,1131
channing.csv,gender:2,age,1068
